6'张诚左路套边上来，这里比较空                   6'第6分钟，此战担任左后卫的张诚似传似射直接形成吊门，皮球稍稍高出横梁
70'塔利斯卡再发前点，张成林甩头攻门击中了边网                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
70'张修维交给裴帅                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
70'分左侧的张诚                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
70'回传给裴帅，张修维接应直传禁区                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
70'刘越插上小角度打门，曾诚用脚将球挡出底线                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
71'张修维发角球                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
71'太低了，邹正解围                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
71'吴伟再高吊禁区，杨旭先越位                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
71'保利尼奥控球，与塔利斯卡做一下配合                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
71'邹正的传球被张修维断下                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
72'王杰上抢成功                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
72'张修维交给赵旭日，转移给张诚2                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
72'回传给裴帅                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
72'过顶长传，曾诚出击将球摘下                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
72'交给右侧的张琳芃                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
72'冯潇霆带球，回给张琳芃                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
72'分右侧的张成林                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'高拉特回后场要球，分左侧的邹正                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'保利尼奥接应交给高拉特                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'交给郜林                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'回传给冯潇霆                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'保利尼奥接应                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'交给高拉特                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'转移给右侧的塔利斯卡                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
73'传中太低了，塔利斯卡反抢交给于汉超，转移球打在了张诚的头出边线                   70'第70分钟，张修维斜传策动威胁攻势，刘越插入禁区右侧小角度攻门被曾诚挡出
78'廖力生就地反抢将球破坏出边线                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
78'天津权健换人，19号王晓龙换下了17号苏缘杰                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
78'张诚长传上来被顶一下                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
78'塔利斯卡接应                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
79'长传高拉特插上，禁区右肋部小角度劲射，打进了吗？                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
79'这球好像是打穿了边网                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
79'网子穿了，需要马上修补一下                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
79'张鹭发门球                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
80'张成林背后铲倒了郑达伦                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
81'郑达伦有抽筋的状况                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
81'刘越右路传中被解围                   78'第78分钟，恒大快速传球至权健防线身后，高拉特小禁区右侧小角度爆射，皮球居然打穿了边网
85'恒大获得一个对方禁区右犄角外一点的任意球机会                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
86'塔利斯卡直接打了，高了一点                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
86'高拉特与保利尼奥做配合，权敬源解围                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
86'刘越控球                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
87'权健右路的任意球                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
87'张诚斜吊禁区，直接出了底线                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
88'郑达伦的直传，被断了                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
88'冯潇霆带球出重围，杨旭绊人犯规                   85'第85分钟，高拉特右路直传，张成林加速超车时被王晓龙拉倒，王晓龙领到黄牌；任意球又是塔利斯卡喜欢的位置，他的左脚再次打出快速弧线，只是皮球稍稍高出横梁
