1'主裁判哨响，上半场开始了                   1'第1分钟长春队攻势凶猛，上港后卫沉着应对
33'范晓冬禁区内第二点解围出来                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
34'蒋哲受伤，倒在了草坪上                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
34'貌似蒋哲这下受伤不轻啊                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
34'果然啊，亚泰被动换人，，蒋哲被张笑非替下了                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
35'张笑非是左路的边卫，蒋哲是右边卫，这样的话，估计范晓冬要换过来                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
35'看下亚泰这次进攻，，太漂亮了，险些扩大比分                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
35'亚泰长传给到伊哈洛，前场把球卸下来                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
35'中路背身过来，分左路马里尼奥，转身过人，在交给身边维贝                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
36'维贝带入禁区，一个牛尾巴过人，抹过防守                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
36'禁区内直面门将，，推射远角，，居然偏出了                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
36'这球已经很容易了                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
36'颜骏凌大脚开起来                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
36'中圈左侧范晓冬把球拦截                   33'第33分钟长春队险些打进第二球，三位外援从右到左连续配合，最后是维贝漂亮过掉王燊超后禁区内推射，但皮球稍稍偏出
38'送入禁区内，伊哈洛拍马赶到                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
38'在横敲，小禁区右侧，马里尼奥跟上，，近在咫尺啊                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
38'一脚射门，居然是打在横梁弹出                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
38'亚泰上半场是把上港摁在了半场踢                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
39'若不是运气欠佳，亚泰可能早就2-0 了                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
39'中圈附近依旧是亚泰在拿球                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
39'左侧的维贝，盘带向前                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
39'压到前场，回敲给范晓冬                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
39'转移，，右侧马里尼奥把球卸下                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
39'右路衔枚疾走，杀到了禁区右肋                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
40'奥斯卡把球一捅，，，随后颜骏凌把球没收                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
40'手抛给到身前左路的于海                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
40'于海低球斜传，中路给到奥斯卡                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
40'奥斯卡横敲，右路给到艾哈迈多夫                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
40'压到前场，，分中路被何超拦截了                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
40'何超就地进攻，给到左路范晓冬                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
40'在给何超，，低球斜传，，出了边线                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'上港后场界外球，给到中路奥斯卡                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'组织一下，分身前的蔡慧康                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'在给奥斯卡，，挑传                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'左侧亚泰挡出来，，中圈内马里尼奥把球得到                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'转身又是风风火火的冲刺                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'杀到前场，被拉倒在地了                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'于海这球拉人很明显，绝对黄牌的动作啊                   38'第38分钟马里尼奥中路突破，于海明显两次拉人，马里尼奥硬撑不倒，死球后于海吃到黄牌
41'上港后场界外球，给到中路奥斯卡                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
41'组织一下，分身前的蔡慧康                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
41'在给奥斯卡，，挑传                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
41'左侧亚泰挡出来，，中圈内马里尼奥把球得到                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
41'转身又是风风火火的冲刺                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
41'杀到前场，被拉倒在地了                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
41'于海这球拉人很明显，绝对黄牌的动作啊                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
42'亚泰前场定位球，没有形成威胁                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
42'奥斯卡左侧拿球，组织进攻                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
42'斜传，，胡尔克左路插上                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
42'吸引了防守，，横敲                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
42'小禁区前武磊跟上，，推射空门得手                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
42'前场左侧！奥斯卡得球了！低平球斜传！！禁区里左侧胡尔克得球！横敲到了小禁区前沿！武磊跟上！右脚推射得手了                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
43'上港在非常被动的情况下扳平了比分                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
43'上港继续进攻                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
43'中路艾哈迈多夫分球左路                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
43'奥斯卡衔枚疾走，杀到禁区左侧                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
43'一扣，晃开，冷静的横敲                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
43'禁区前沿胡尔克得球，左脚低射                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
44'祎凡倒地把球摁住                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
44'大脚开起来                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
44'前场右侧马里尼奥停球被于海从身后推了一把，哨响，犯规了                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
44'亚泰右路前场定位球                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
44'开起来，传中到禁区中央                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
44'这球给的不好，被门将没收                   41'第41分钟奥斯卡左路送球，胡尔克中路射门被祎凡倒地扑住，半场补时两分钟，第46分钟谭龙被蔡慧康踢倒，他一瘸一拐自己走下场接受治疗
51'外围马里尼奥得球，分到了右路                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
51'范晓冬把球拿到，但是越位在先                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
51'上港后场定位球，，长传吊起来                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
51'前场中路拼抢，，，何超被撞翻在地                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
51'吹了胡尔克的犯规                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
51'亚泰定位球，长传起球，，，前场左路找谭龙                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
52'把球卸下来，遭遇逼抢，护球时候手上有动作，被吹了犯规                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
52'上港后场给到艾哈迈多夫                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
52'左路拿球，回敲颜骏凌，，大脚开起来                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
52'中圈附近争顶，，，球落下来，到了于海脚下                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
52'分前场右侧，给到陈彬彬                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
52'陈彬彬拿球，被李光绊倒在地                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
53'两个人都是倒在了地上                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
53'这个球吹了李光的犯规                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
54'这球慢镜头来看，李光是先触到了球，然后躲闪不及，和迎上来的陈彬彬相撞                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
54'上港定位球，，胡尔克主罚                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
54'挑传送入禁区                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
54'到了右侧底线附近，很深的位置                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
54'武磊跟上来，祎凡也出击了                   51'第51分钟陈彬彬被何超推倒，胡尔克在35米外直接任意球开射，祎凡扑球脱手，武磊快速上抢，在和祎凡纠缠下，武磊倒地
57'王燊超碰出了边线                   57'第57分钟吕文君换下陈彬彬
57'亚泰左路界外球，给到张笑非                   57'第57分钟吕文君换下陈彬彬
57'挑传向前，直接出了界外                   57'第57分钟吕文君换下陈彬彬
57'上港界外球，给到右侧，张笑非回防抢断                   57'第57分钟吕文君换下陈彬彬
57'左路给到孙捷，，长传向前                   57'第57分钟吕文君换下陈彬彬
58'马里尼奥中圈把球拿住，，自己转身突破                   57'第57分钟吕文君换下陈彬彬
59'马里尼奥过掉了蔡慧康，右侧杀入禁区                   57'第57分钟吕文君换下陈彬彬
59'马里尼奥摔倒在地，裁判没有理会                   57'第57分钟吕文君换下陈彬彬
59'奥斯卡左路拿球，分中路的胡尔克                   57'第57分钟吕文君换下陈彬彬
59'再分右路陈彬彬，，停球失误，出界了                   57'第57分钟吕文君换下陈彬彬
60'亚泰界外球，给到了左侧，伊哈洛头球摆渡                   57'第57分钟吕文君换下陈彬彬
60'王燊超拉倒了对手犯规                   57'第57分钟吕文君换下陈彬彬
60'吕文君替下了陈彬彬                   57'第57分钟吕文君换下陈彬彬
60'前场左侧亚泰的定位球                   57'第57分钟吕文君换下陈彬彬
60'长传到前场中路                   57'第57分钟吕文君换下陈彬彬
61'马里尼奥拿球，遭遇逼抢，奥斯卡把球一捅                   61'第61分钟长春队换人，周大地换下李光
61'武磊得球准备反击，亚泰立即犯规阻止                   61'第61分钟长春队换人，周大地换下李光
61'双方围在一起，上港认为这球应该掏牌了                   61'第61分钟长春队换人，周大地换下李光
61'上港定位球，长传起来                   61'第61分钟长春队换人，周大地换下李光
61'左侧亚泰后场防守，把球解围                   61'第61分钟长春队换人，周大地换下李光
61'前场维贝拿球，反击又来了                   61'第61分钟长春队换人，周大地换下李光
62'突入禁区，，左侧肋部，盘带，，倒地了                   61'第61分钟长春队换人，周大地换下李光
62'裁判还是没有反应                   61'第61分钟长春队换人，周大地换下李光
62'外围左路谭龙得球                   61'第61分钟长春队换人，周大地换下李光
62'传中进来，，，贺惯解围出去                   61'第61分钟长春队换人，周大地换下李光
62'左侧外围张笑非再拿球                   61'第61分钟长春队换人，周大地换下李光
62'45度传中，，被门将没收                   61'第61分钟长春队换人，周大地换下李光
62'颜骏凌大脚开起来                   61'第61分钟长春队换人，周大地换下李光
62'直接飞出了左边线                   61'第61分钟长春队换人，周大地换下李光
62'亚泰界外球，右路给范晓冬                   61'第61分钟长春队换人，周大地换下李光
62'低球斜传，，禁区右侧马里尼奥得球                   61'第61分钟长春队换人，周大地换下李光
62'轻搓，，挑到门前                   61'第61分钟长春队换人，周大地换下李光
63'被防守队员碰了一下，打在了横梁弹下来                   61'第61分钟长春队换人，周大地换下李光
63'伊哈洛跟上，头球再补，，没够着                   61'第61分钟长春队换人，周大地换下李光
63'后点谭龙跟上，，门前1米，，补射，，，被门线上的后卫挡出                   61'第61分钟长春队换人，周大地换下李光
63'哇塞，，，亚泰今天真是不走运啊                   61'第61分钟长春队换人，周大地换下李光
64'何超后场控球                   61'第61分钟长春队换人，周大地换下李光
64'挑传到左路给张笑非，长传起球                   61'第61分钟长春队换人，周大地换下李光
64'石柯防守踢出边线                   61'第61分钟长春队换人，周大地换下李光
64'周大地替下了李光                   61'第61分钟长春队换人，周大地换下李光
64'上港的进攻，右路给到了胡尔克                   61'第61分钟长春队换人，周大地换下李光
64'一个突破向前，，一路杀到了右侧                   61'第61分钟长春队换人，周大地换下李光
64'禁区外下底，，挑起来                   61'第61分钟长春队换人，周大地换下李光
64'到了后点，武磊倒钩，，没踢上                   61'第61分钟长春队换人，周大地换下李光
64'何超后场控球                   64'第64分钟孙捷拦截胡尔克吃到黄牌
64'挑传到左路给张笑非，长传起球                   64'第64分钟孙捷拦截胡尔克吃到黄牌
64'石柯防守踢出边线                   64'第64分钟孙捷拦截胡尔克吃到黄牌
64'周大地替下了李光                   64'第64分钟孙捷拦截胡尔克吃到黄牌
64'上港的进攻，右路给到了胡尔克                   64'第64分钟孙捷拦截胡尔克吃到黄牌
64'一个突破向前，，一路杀到了右侧                   64'第64分钟孙捷拦截胡尔克吃到黄牌
64'禁区外下底，，挑起来                   64'第64分钟孙捷拦截胡尔克吃到黄牌
64'到了后点，武磊倒钩，，没踢上                   64'第64分钟孙捷拦截胡尔克吃到黄牌
65'左侧吕文君跟上，在射，，斜射，打偏                   64'第64分钟孙捷拦截胡尔克吃到黄牌
65'祎凡大脚开起来                   64'第64分钟孙捷拦截胡尔克吃到黄牌
65'中圈附近吕文君头球，，顶到边路                   64'第64分钟孙捷拦截胡尔克吃到黄牌
65'范晓冬把球控制，低球斜传                   64'第64分钟孙捷拦截胡尔克吃到黄牌
65'上港前压逼抢，把球挡出界外                   64'第64分钟孙捷拦截胡尔克吃到黄牌
65'中圈附近双方的肉搏战，，胡尔克被周大地放倒                   64'第64分钟孙捷拦截胡尔克吃到黄牌
66'不知道为什么，裁判给了孙捷一张黄牌                   64'第64分钟孙捷拦截胡尔克吃到黄牌
66'上港右侧定位球，交给王燊超                   64'第64分钟孙捷拦截胡尔克吃到黄牌
66'分身前给艾哈迈多夫，分中路，在给右路王燊超                   64'第64分钟孙捷拦截胡尔克吃到黄牌
66'王燊超遭遇逼抢，伊哈洛把球断下                   64'第64分钟孙捷拦截胡尔克吃到黄牌
66'伊哈洛自己突破，，带到禁区边缘                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'蔡慧康回来，把球破坏出边线                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'左侧界外球，给到周大地，左脚传中                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'直接是送出了底线，，这球给的不好啊                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'颜骏凌大脚开起来                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'中圈右侧奥斯卡得球                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'回敲于海，，再分奥斯卡，挑传                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'中路亚泰把球解围                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'周大地前场拼抢，被王燊超绊倒在地                   64'第64分钟孙捷拦截胡尔克吃到黄牌
67'亚泰前场左侧定位球                   64'第64分钟孙捷拦截胡尔克吃到黄牌
70'自己调整一下，利用身体，顶住防守，，直接抡起爆杆                   70'第70分钟上港左路送球，吕文君侧身头球高出
70'球进了，，进了，，伊哈洛，梅开二度                   70'第70分钟上港左路送球，吕文君侧身头球高出
70'尼日利亚锋霸，期待世界杯上的表现吧，中超目前第一火爆的射手啊                   70'第70分钟上港左路送球，吕文君侧身头球高出
71'禁区前沿危险地带！！！！伊格哈洛得球！！衔枚疾走！突入到了禁区里右侧！！调整一下！右脚抽射！！直接把球射入近角                   70'第70分钟上港左路送球，吕文君侧身头球高出
71'佩雷拉非常不满自己弟子的这波防守啊                   70'第70分钟上港左路送球，吕文君侧身头球高出
71'简直是眼神防守，让伊哈洛如入无人之境                   70'第70分钟上港左路送球，吕文君侧身头球高出
71'继续来看，，祎凡后场拿球，大脚开出                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'中圈附近争顶，落下来，范晓冬得球                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'挑传，，被防守队员一挡                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'中圈内奥斯卡得球                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'压到前场，分边右路艾哈迈多夫                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'在给中路蔡慧康，转移给左路                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'奥斯卡前场左路拿球                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'左路传中起来                   70'第70分钟上港左路送球，吕文君侧身头球高出
73'小禁区前沿，，吕文君头球一蹭， 高了                   70'第70分钟上港左路送球，吕文君侧身头球高出
73'祎凡大脚开起来                   70'第70分钟上港左路送球，吕文君侧身头球高出
73'前场左侧伊哈洛得球                   70'第70分钟上港左路送球，吕文君侧身头球高出
73'护住，分身前给范晓冬                   70'第70分钟上港左路送球，吕文君侧身头球高出
72'中圈附近争顶，落下来，范晓冬得球                   72'第72分钟长春左路周大地送球，谭龙头球高出
72'挑传，，被防守队员一挡                   72'第72分钟长春左路周大地送球，谭龙头球高出
72'中圈内奥斯卡得球                   72'第72分钟长春左路周大地送球，谭龙头球高出
72'压到前场，分边右路艾哈迈多夫                   72'第72分钟长春左路周大地送球，谭龙头球高出
72'在给中路蔡慧康，转移给左路                   72'第72分钟长春左路周大地送球，谭龙头球高出
72'奥斯卡前场左路拿球                   72'第72分钟长春左路周大地送球，谭龙头球高出
72'左路传中起来                   72'第72分钟长春左路周大地送球，谭龙头球高出
73'小禁区前沿，，吕文君头球一蹭， 高了                   72'第72分钟长春左路周大地送球，谭龙头球高出
73'祎凡大脚开起来                   72'第72分钟长春左路周大地送球，谭龙头球高出
73'前场左侧伊哈洛得球                   72'第72分钟长春左路周大地送球，谭龙头球高出
73'护住，分身前给范晓冬                   72'第72分钟长春左路周大地送球，谭龙头球高出
74'自己拿球不稳，带出了边线                   72'第72分钟长春左路周大地送球，谭龙头球高出
74'上港界外球，给出来，中路找胡尔克                   72'第72分钟长春左路周大地送球，谭龙头球高出
74'自己强势推进，，挑传                   72'第72分钟长春左路周大地送球，谭龙头球高出
74'右侧于睿把球挡下来                   72'第72分钟长春左路周大地送球，谭龙头球高出
74'分到右路身前的马里尼奥                   72'第72分钟长春左路周大地送球，谭龙头球高出
74'马里尼奥闪转腾挪，再分前场中路的伊哈洛                   72'第72分钟长春左路周大地送球，谭龙头球高出
74'伊哈洛斜传                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'禁区左侧周大地跟上来，挑传到后点                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'这下给大了，，，谭龙跃起，，头球高出了                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'门将颜骏凌大脚开起来                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'前场左路胡尔克得球                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'挑传，，被防守队员顶出禁区                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'中圈附近艾哈迈多夫顺势得球                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'分左路，被马里尼奥挡出了边线                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'左侧界外球，给到蔡慧康                   72'第72分钟长春左路周大地送球，谭龙头球高出
75'挑传送到禁区中路                   72'第72分钟长春左路周大地送球，谭龙头球高出
79'今天南岭体育场右侧这个门柱很厉害啊，上半场帮上港，下半场帮亚泰啊                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
79'奥斯卡外围拿球，在起传中                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
79'小禁区前沿孙捷把球解围出边线                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
79'前场右侧上港界外球                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
80'给到中路艾哈迈多夫，压到前场右侧                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
80'分边给吕文君，在挑到中路                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
80'亚泰一脚把球抡出来                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
80'前场右侧马里尼奥拿球，4打4的机会                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
80'马里尼奥右侧自己突破，内切                   79'第79分钟上港左路角球开出，吕文君头球略微蹭到，球到中路，正好砸在武磊腿上弹进门内，长春队员认为武磊手球，裁判通过VAR认定武磊手球
