1'上半场比赛开始！                   1'开场不到1分钟国安即形成首次攻门，于大宝接应周挺右路传中头球顶偏
79'李磊这边没有拿到                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
79'国安队再次换人，河大成下，朴成上                   76'第76分钟，国安用费祖拉乌换下德扬；费祖拉乌刚刚登场即取得入球——杨智手抛球策动快攻，巴塔拉分球后费祖拉乌自中圈处带球前冲，禁区弧前低射将皮球送入球门下侧死角
87'任意球直接打门，力量很大被杨智先扑了出去                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
87'禁区内，绿城还有机会                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
87'劲射又是被杨智挡了出去                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
88'邵佳一前场中场拿球给到右路                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
89'周挺这边又是助攻上来                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
89'边路的推进自己先失误了                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
90'邵佳一禁区前沿送直塞                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
90'陈志钊第一下没有启动                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
90'下半场补时4分钟！                   87'第87分钟，谢鹏飞任意球大力攻门被杨智扑出，陈中流禁区左侧再射又被杨智封堵
