7'双方争抢犯规                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
49'张呈栋直塞罗森文                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'马斯切拉诺右脚长传                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'球被柯钊破坏出边线                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'裁判一声哨响                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'上半时结束                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'在上半场比赛中，客队河南建业队凭借着第10分钟巴索戈 在禁区中路扛开防守人后的进球，在客场1:0领先主队                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'杜长杰换下了巴索戈                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'看来确实无法坚持比赛，这是建业的一大坏消息                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'华夏这边王秋明换下姜宁                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'姜至鹏球被王飞捅出底线                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'拉维奇长传至中路                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'罗森文起脚抽射                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
49'吴龚将球扑出                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
50'中场张呈栋得球                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
50'柯钊破坏出边线                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
50'张呈栋掷界外球                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
50'马斯切拉诺被钟晋宝拦截                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
50'直塞出了边线，建业边线球                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
51'王飞给到杜长杰                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
51'给到中路跟进的里卡多，直接打门，偏了                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
51'里卡多越位在先，建业定位球                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
52'罗森文中路争抢被出示黄牌                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
52'建业定位球，马兴煜得球                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
52'钟晋宝加速突破                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
