2'国安把球反断回来                   1'第1分钟斯威迅速展开快节奏冲击
82'现在双方都还是比较谨慎的                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
82'现在打平                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
82'谁进球，场上的局势就会发生很大的改变                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
85'彭欣力拿球传球禁区                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
85'球被解围出来                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
86'外围费尔南迪尼奥拿球，直接打门了                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
86'还是偏呀                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
86'门将大脚将球开出来                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
87'前场国安进攻                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
87'奥古斯托挑传禁区                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
87'还是巴坎布的打门                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
87'还是没进呀                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
88'门将大脚将球开出来                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
88'中场争抢球                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
88'裁判哨响，吹了犯规                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
88'还出示了黄牌，刘斌的犯规把                   85'第85分钟，卡尔德克禁区内头球摆渡，在侯森出击扑球瞬间姜涛将球捅走，费尔南迪尼奥禁区右侧小角度攻空门时打偏
90'费尔南多传球禁区                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
90'卡尔德克高高跃起，直接一个头球攻门                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
90'球被门将扑出来了                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
92'全场补时2分钟                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
92'看看最后的机会把                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
92'看比赛                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
92'争抢球，球出了边线                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
92'球发出来                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
93'传导球                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
93'裁判哨响                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
93'比赛结束                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
93'这样双方最终打平了呀                   90'第90分钟，国安险些遭遇绝杀：替补出场的曹栋左路传中，卡尔德克禁区中路前插头球，侯森单手将球托出横梁
