5'上个赛季申花客场遭遇人和的高空轰炸，客场2-4告负                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
84'场上陷入混乱中，比赛暂时中断                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
85'王津将莫雷诺和于海当事双方喊到身边，口头警告，比赛继续                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
90'孙继海任意球斜传禁区，萨利头球攻门被挡出                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
90'柏佳俊将球解围出边线                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
90'进球啦，孙继海扳平比分！！！                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
90'孙继海压哨扳平比分，现场也是放起了烟火                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
91'人和界外球扔到禁区线，拉法的后蹭，申花球员解围，孙继海得球，横带，闪开角度，左脚的抽射打进球门中路                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
91'下半场比赛补时4分钟                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
92'申花左路的过顶直传，哈蒂布得球                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
93'哈蒂布左路拿球，面对萨利的逼抢，转身挑传禁区                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
93'曹赟定插上拿球，没机会起脚，回带控制球权                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
93'莫雷诺左路拿球准备强突，失误啦                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
93'申花换人：郑凯木换下宋博轩                   90'第90分钟，一直努力不懈的贵州队终于再下一城，张成林大力界外球掷到禁区，中间经过两次头顶过渡后，右侧孙继海抢先拿下皮球，他过掉一人后立刻起右脚怒射，皮球直飞入大门上角，2比2，贵州人和扳平比分
49'范云龙在王长庆的干扰下，没能拿到，球出了边线                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
49'张成林左路拿球，横传交给范云龙                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
49'范云龙继续横传，可惜失误了，被莫雷诺抢断                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
49'莫雷诺拿球横带，分边右路时直接出了边线                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
50'穆斯利前场背身拿球，哈蒂布回防神后上抢，踢倒了穆斯利，犯规                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
50'人和获得前场左侧任意球机会，曲波主罚                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
51'曲波任意球斜传禁区，戴琳和斯基亚维争抢撞在一起，球出底线                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
52'斯基亚维被戴琳一头顶的挂彩了，嘴角有血，出场处理                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
52'人和右侧角球机会，开到禁区，第一点被申花球员解围出底线                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
52'继续角球，莫雷诺将球解围                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
52'陈昌源得到第二落点，禁区外直接拔脚怒射，打飞                   49'比赛补时4分钟，第91分钟拉法接右路长传头球顶正
