3'常飞亚右路强突                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
82'利马插上后被对方破坏了一下                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
83'富力这边卢琳准备登场                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
84'富力右路拿球送到禁区弧顶                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
84'朴钟佑得球原地打门稍稍打偏                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
87'富力最后的反扑啊                   87'第87分钟，卢琳送出直传，阿隆停球转身打门再次被利马挡出
87'阿隆大禁区线上的打门被中卫挡出                   87'第87分钟，卢琳送出直传，阿隆停球转身打门再次被利马挡出
88'王晓龙右路拿球送禁区内                   87'第87分钟，卢琳送出直传，阿隆停球转身打门再次被利马挡出
88'这球被泰达破坏出来                   87'第87分钟，卢琳送出直传，阿隆停球转身打门再次被利马挡出
89'富力左路传球送禁区里                   87'第87分钟，卢琳送出直传，阿隆停球转身打门再次被利马挡出
90'阿隆自己脚底打滑了                   87'第87分钟，卢琳送出直传，阿隆停球转身打门再次被利马挡出
90'下半场补时4分钟！                   87'第87分钟，卢琳送出直传，阿隆停球转身打门再次被利马挡出
94'安德烈奇尼奥左路突破到禁区里，连续的摆脱后形成面对门将的机会                   94'第94分钟，泰达任意球打到前场，杜震宇横传，烈鸟拿球在对方禁区内反复盘带后射门被张世昌挡出
94'低射被张世昌用脚挡出！                   94'第94分钟，泰达任意球打到前场，杜震宇横传，烈鸟拿球在对方禁区内反复盘带后射门被张世昌挡出
