1'黄烨军哨响，比赛开始了                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
61'后场金基熙放出长传，右路还是找吕征                   58'第58分钟卡库塔右路似传似射又被李帅扑出
61'吕征把球拿好，直塞禁区内的瓜林                   58'第58分钟卡库塔右路似传似射又被李帅扑出
61'居吕姆上来，一个滑铲，角球                   58'第58分钟卡库塔右路似传似射又被李帅扑出
63'董学升护球送右路直塞，没有了                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
63'申花的反击，登巴巴禁区前沿给瓜林，马丁斯出来接应                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
63'右路吕征拿球，强突被断                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
64'董学升后场回来接应，转身和柏佳骏撞在一起                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
64'柏佳骏撞人犯规了，两人相撞倒地都很痛苦啊                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
64'董学升问题不大，但柏佳骏还没有起来                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
65'华夏左路的进攻，拉维奇拿球，申花还是砍杀战术，犯规                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
65'左路丁海峰助攻上来，45度斜吊禁区                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
65'后点李帅出击把球收走                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
66'李行带到前场，横敲给拉维奇，转到另外一端的卡库塔                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
66'卡库塔传球被断下，但华夏后场保护还不错                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
66'华夏中场传球失误，申花反击直塞给瓜林                   63'第63分钟柏佳骏拼抢中倒地不起，好在无大碍
73'廖均健把球给到卡库塔，转身传中，被挡下                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
73'姜宁中场在给李行，拉维奇回来接应                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
73'拉维奇送直塞，卡库塔在给董学升，被断                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
73'华夏前场连续的组合拳，右路拉维奇在给卡库塔                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
74'卡库塔下底，倒三角在给拉维奇，拉维奇外围突然的远射                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
74'贴地箭，门前李帅还是稳稳把球压在身下                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
74'姆比亚中圈拼抢对秦升犯规                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
75'廖均健后场把球交给姆比亚，进攻到前面，给左路姜宁                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
76'姜宁拿球，内切之后的射门，擦着近门柱飞出                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
76'姜宁还是比较有灵性的，只是今天华夏开局实在晦气，影响了全队的发挥                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
76'姆比亚中场组织，突然的一脚直塞球，非常有穿透力                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
76'姜宁禁区内插上，还是未能拿到球                   73'第73分钟拉维奇又在禁区右路射门被李帅倒地扑住
79'吕征后场交给瓜林，在往前送，丢掉了                   79'第79分钟王寿挺换下秦升
79'拉维奇中路拿球，妙传到左侧                   79'第79分钟王寿挺换下秦升
79'丁海峰上来，斜传禁区后点，落点不佳啊                   79'第79分钟王寿挺换下秦升
80'申花换人，秦升下来，王寿挺登场                   79'第79分钟王寿挺换下秦升
80'比赛来到了80分钟，留给华夏的时间不多了                   79'第79分钟王寿挺换下秦升
80'董学升前场护球，在拨给姜宁                   79'第79分钟王寿挺换下秦升
81'姜宁交给身旁不远的卡库塔                   79'第79分钟王寿挺换下秦升
81'卡库塔张弓搭箭，一脚重炮，稍稍偏出                   79'第79分钟王寿挺换下秦升
81'拉维奇前场头球一蹭，给到董学升面前                   79'第79分钟王寿挺换下秦升
81'董学升转身在分边路，左侧姜宁脚下                   79'第79分钟王寿挺换下秦升
81'姜宁斜吊禁区，后点太深了，拉维奇包抄上去，但也没救回来                   79'第79分钟王寿挺换下秦升
82'李帅长传到前场，金洋洋头球顶出                   79'第79分钟王寿挺换下秦升
82'马丁斯前场得球，分给右路吕征                   79'第79分钟王寿挺换下秦升
82'吕征快速下底，生吃丁海峰，传中进去                   79'第79分钟王寿挺换下秦升
82'门前金洋洋破坏出边线                   79'第79分钟王寿挺换下秦升
82'李帅长传到前场，金洋洋头球顶出                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
82'马丁斯前场得球，分给右路吕征                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
82'吕征快速下底，生吃丁海峰，传中进去                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
82'门前金洋洋破坏出边线                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
83'吕征因为拖延时间吃到黄牌                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
83'吕征累计两张黄牌，被罚出场了                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
83'吕征这两张黄牌，一个是吐槽边裁，一个是拖延时间，真是不值得啊                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
83'申花10打11，看来要扎紧篱笆了                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
84'卡库塔右路得球，斜吊禁区内                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
84'前点董学升争抢头球，裁判哨响，吹了董学升越位                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
84'李帅开出定位球，大脚到前场                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
85'登巴巴背身拿球，护住，姜宁身后逼抢犯规了                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
85'瓜林主罚这个球                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
85'大脚开入禁区内，登巴巴没有抢到，弹地之后无人碰到                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
85'外围华夏把球拿好，推进进攻，前场李行给到丁海峰                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
85'左侧丁海峰斜吊禁区内                   82'第82分钟吕征发界外球拖延时间吃到黄牌，两黄一红被罚下
87'李帅也是受伤倒地，队医进来简单救治一下                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
87'时间一分一秒的过去，华夏距离首败很近了                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
87'登巴巴被换下，张璐登场了                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
88'最后算上补时大概还有5分钟，曼萨诺要死守了                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
88'张璐刚刚上来就有拿球机会                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
88'右路杀到前场，在分到同伴脚下，传丢了                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
89'前场马丁斯回撤护球，在给右路瓜林，分到张璐                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
89'张璐传球被对方挡出边线                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
89'界外球扔进去，丁海峰再次破坏掉                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
89'比赛正在按照申花所希望的方向发展啊                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
90'李运秋右路界外球扔给张璐，瓜林角旗区护球                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
90'居吕姆把球破坏出底线                   87'第87分钟申花做出最后一次换人，张鹭换下登巴巴
49'姜宁把球重新拿到，在给卡库塔，传球被金基熙挡出底线                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
49'角球开出，中路解围出边线                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
49'华夏幸福和进球擦肩而过啊，董学升空门居然打高了                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
50'拉维奇外围非常精准的远射，势大力沉，李帅开挂，居然扑到了一点点，球稍有变向打中立柱弹出                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
50'门前小禁区董学升冲顶空门补射，打在横梁弹出底线                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
50'申花右路进攻，吕征依旧很快啊                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
51'传中到门前，杨程倒地把球扑出来                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
51'李行后场一个长传，准确给到左路姜宁                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
51'姜宁强吃边路，在给到门前找卡库塔                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
51'球被解围出边线                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
52'华夏下半场形成围攻势头                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
52'丁海峰界外球给出来，左侧斜传禁区中央                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
52'门前拉维奇和董学升没有碰到                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
52'后点卡库塔角度太小了，一垫，出了底线                   49'比赛补时4分钟，第92分钟卡库塔从右路进攻，李运秋防住拉维奇抢射，接着多名申花队员堵住卡库塔的补射
