1'范崎哨响，比赛开始了                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
90'莫雷诺底线前救回来，在传中                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
90'门前造成乱战，球被王亮踢出边线                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
91'申花界外球给出，右侧李运秋的球被倪玉崧挡出底线                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
91'又制造了一个角球                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
91'瓜林主罚，禁区内李建滨头球顶向大门                   88'第88分钟柏佳骏和胡延强发生小冲突，范崎及时赶来把两人拉开
90'申花和绝杀擦肩而过                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
90'瓜林定位球选择直接射，力量超大                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
90'石笑天奋力挡出这个球                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
90'莫雷诺底线前救回来，在传中                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
90'门前造成乱战，球被王亮踢出边线                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
91'申花界外球给出，右侧李运秋的球被倪玉崧挡出底线                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
91'又制造了一个角球                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
91'瓜林主罚，禁区内李建滨头球顶向大门                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
92'石笑天飞身把球扑出底线                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
92'继续角球，这次瓜林改变一下                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
92'给到外围，李运秋迎球远射，打在对方身上，继续角球                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
92'这次角球没有形成什么威胁                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
93'石笑天门球开出，辽宁的进攻                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
93'詹姆斯直塞中卫身后                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
93'胡延强单刀了，过掉门将，，又是被吹越位了                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
93'好悬啊                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
93'申花最后一次进攻机会                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
93'长传一脚，前场造成一个界外球                   90'第90分钟瓜林右路开出角球，秦升顶出弹地球，但被石笑天扑出，第二个角球瓜林选择传外围，李运秋打门再造角球
