1'上半场比赛开始                   1'不到1分钟，卢琳前场反抢犯规，领取到本场比赛第一张黄牌
85'王晓龙角球传到禁区，张永海的头球攻门顶高                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
86'这次攻门时，张永海抬起的手臂也是将刘成的眼角撞开了花                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
86'刘成出场接受队医处理，必须止血才能登场                   83'第83分钟，北京国安前场右路角球，球主罚到禁区内，张永海起跳争夺手搭在刘成的眼角，有出血的情况
86'这次攻门时，张永海抬起的手臂也是将刘成的眼角撞开了花                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
86'刘成出场接受队医处理，必须止血才能登场                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
87'下半场比赛也已经来到了42分钟，比分2-0                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
87'国安的前场进攻赢得任意球机会，邵佳一主罚                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
87'邵佳一的任意球攻门，直接高出横梁出底线                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
88'石笑天大脚将球开到前场，拉斐尔胸部停球有点远                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
89'不过还在自己的控制范围内，横传交给队友                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
89'李喆再将球交给拉斐尔，王晓龙上抢放倒了拉斐尔                   86'第86分钟，北京国安前场获得任意球机会，邵佳一主罚任意球直接射门，球插着立柱出了底线
92'唐淼这次被撞的不轻，躺在地上半天没起来                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
92'亚当吹罚了富力球员的犯规，国安获得禁区弧位置的任意球机会                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
93'邵佳一主罚，圆月弯刀，石笑天奋力将球扑出                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
93'球权还在国安球员脚下，继续攻                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
93'进球啦，利马！！！！                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
94'国安中场的挑传禁区，王皓头球摆渡到门前，利马跟上的铲射将球打进                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
94'富力中场失误，国安的进攻                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
94'雷腾龙中线位置斜传球到禁区，石笑天出击将球没收                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
95'石笑天示意自己有点受伤，躺在地上按着自己的肩膀                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
95'有拖延时间的嫌疑，亚当不领情，严格要求石笑天起身比赛继续                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
95'补时已经差不多5分钟啦                   92'第92分钟，北京国安王皓禁区前沿头球摆渡到禁区内，利马高速插上在守门员出击前铲射破门，场上比分改写为2比1
