1'比赛开始了                   1'有不小的保级压力的权健，第1分钟踢的非常主动
51'申花左侧发动进攻                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'长传到前场给曹赟定                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'底线附近，，传中进来                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'前点张诚，解围出底线                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'左侧申花角球机会                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'开起来，，到中路，，张鹭出击，，打出来                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
51'外围中路王永珀拿球，大脚解围                   48'第48分钟权健的进攻终于看到成果，王永珀禁区外送出好球，杨旭抢在栗鹏之前飞身跃起头球攻门，李帅对这个近距离头球无能为力，球进，1比0，权健领先
54'中场左侧曹赟定把球拦截，快步流星推进起来!!一路突破到了禁区内，分球给了右侧莫雷诺，莫雷诺扣给曹赟定，曹赟定冷静推射，打在后卫身上有个变线，入网                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
54'申花中圈拿球，给瓜林                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
54'调整一下，低传，被权敬源拦截                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
54'分身前给到王永珀                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'再分左侧的赵旭日，，交给右路王永珀                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'长传给出来，，，左侧郑达伦的跟进                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'李运秋把球拦截                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'后场大脚破坏掉                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'中圈位置的拼抢，，莫雷诺拿球                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'向前给一脚直塞                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'瓜林跟进，自己脚下拌蒜，，，刘奕鸣解围出来                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
55'右侧荣昊拿球，再给身前瓜林                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
56'瓜林拿球，转到右路底线附近                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
56'右路低球传中，，刘奕鸣破坏出边线                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
56'外围李运秋接应，右侧传中再起                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
56'后点登巴巴跟上，停球，捅射                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
56'但是越位在先了                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
57'张鹭非常生气，，不满边裁，举旗过慢                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
57'权健后场把球开出                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
57'头球连续的争顶，球到了申花脚下                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
57'柏家骏左侧横敲，艾迪在过渡给李运秋                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
57'左侧再找艾迪，身前给到柏家骏                   54'第54分钟李运秋右侧送球，权健队员认为接球的登巴巴越位在先，没有做出强悍拦截动作，登巴巴接球转身摆脱，但他的射门被反应神速的张鹭飞身扑住
59'后场张诚拿球，给出一脚长传                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
59'传的比较大，杨旭跟进没追到                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
59'李帅出来把球收走                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
59'大脚开出来                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
59'前场右侧，荣昊跟上，分身边插上的李运秋                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
60'横敲给中路，莫雷诺拿球                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
60'短传身前给登巴巴，再给左侧曹赟定                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
60'接球，45度起球                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
60'传中到禁区内，，，被解围出来                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
60'中圈右侧张修维拿球，控制一下                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
60'分身边王永珀，，直塞过顶                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
60'前点杨旭跟上，，，禁区内李帅出击，，抢先破坏                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
61'中圈附近拼抢，赵旭日对莫雷诺犯规了                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
61'申花中圈右侧定位球                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
61'开出来，，回给后场的门将李帅                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
61'再给身前栗鹏，左侧交给艾迪                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
61'艾迪送出长传，到了前场                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
61'张诚把球拦截，交给张鹭，，大脚开出                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
62'中圈右侧艾迪顶出边线                   59'第59分钟杨旭接帕托送球反越位成功，但李帅快速出击把球扑出
67'分左侧柏家骏，送一记长传                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
67'直接飞出了前场边线                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
67'权健后场界外球给出                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
67'莫雷诺拼抢断下来                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
67'赵旭日再抢，犯规了                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
68'前场右侧申花的定位球机会                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
68'定位球开出，送到禁区右侧给莫雷诺                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
68'再横敲给到门前                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
68'张鹭抢先出来把球没收                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
69'张鹭大脚开出来                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
69'直接送到对面李帅脚下                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
69'申花后场给莫雷诺组织                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
69'低球向前，给到王永珀                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
69'中圈附近是被王永珀拦截了                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
70'斜传到右侧给孙可                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
70'孙可快速跟上，，，底线，，倒三角                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
70'给回来，，，孙可门前射了，被艾迪飞身堵住                   67'第67分钟莫雷诺右侧插花脚射门被张鹭接住，艾迪跑上前阻挡张鹭开球吃到黄牌
70'斜传到右侧给孙可                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
70'孙可快速跟上，，，底线，，倒三角                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
70'给回来，，，孙可门前射了，被艾迪飞身堵住                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
71'申花后场大脚开出                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
71'中圈的争顶，，，栗鹏犯规了                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
71'左侧权健定位球，，开出来                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
71'这球给大了，传太深了，出了底线                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
72'这边场上发生了什么情况                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
72'登巴巴和权敬源发生争执                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
72'应该是登巴巴不满权敬源防守中的小动作                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
73'哦，慢镜头看出来，，是权敬源向裁判抱怨对手抢点时的身体接触                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
73' 登巴巴表示你在演！两人推搡了起来                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
73'裁判制止了争吵，比赛继续                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
73'申花后场大脚开出                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
73'中圈位置，，张修维把球拦截                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
73'带球推进，发动进攻                   70'第70分钟权敬原禁区内争球时和登巴巴肢体接触后倒地，权认为登巴巴犯规，结果两人发生口角争执，艾迪上来把权拨开，韩国人就势倒地，场面有些混乱，但很快平息
73'哦，慢镜头看出来，，是权敬源向裁判抱怨对手抢点时的身体接触                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
73' 登巴巴表示你在演！两人推搡了起来                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
73'裁判制止了争吵，比赛继续                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
73'申花后场大脚开出                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
73'中圈位置，，张修维把球拦截                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
73'带球推进，发动进攻                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
74'中路分边，给右侧的孙可                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
74'再回给张修维，，交给前插的赵旭日                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
74'接球，分到了左边                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
74'双方拼抢，，，申花这边，，莫雷诺倒地                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
74'张诚拼抢犯规                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
75'申花这边一下倒了俩人，，柏家骏，莫雷诺都倒地了                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
75'场上火药味越来越浓                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
75'申花后场大脚开出                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'中圈位置的拼抢，，莫雷诺得球                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'帕托上抢，拉倒了莫雷诺犯规                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'裁判哨响，前场右侧申花的定位球机会                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'瓜林处理，，定位球开出                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'送入禁区内，被防守队员破坏                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'外围左侧曹赟定拿球，突施冷箭                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'这球是打偏了                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'出了底线，门球                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
76'权健大脚把球开出                   73'第73分钟权健在申花后场凶狠抢劫，莫雷诺得球被断抢，帕托拿球后刻意打角度稍稍偏出
77'中圈右侧，拼抢                   77'第77分钟申花用朱建荣换下荣昊
77'孙可把球碰出了边线                   77'第77分钟申花用朱建荣换下荣昊
77'左侧界外球给出                   77'第77分钟申花用朱建荣换下荣昊
77'身前的争顶，，，刘奕鸣第二点解围出来                   77'第77分钟申花用朱建荣换下荣昊
77'边线球，，申花给出来                   77'第77分钟申花用朱建荣换下荣昊
77'王永珀把球拦截                   77'第77分钟申花用朱建荣换下荣昊
77'分到后场左侧，大脚把球开出                   77'第77分钟申花用朱建荣换下荣昊
77'直接送出了边线                   77'第77分钟申花用朱建荣换下荣昊
78'中圈右侧申花界外球，给到莫雷诺                   77'第77分钟申花用朱建荣换下荣昊
78'短传身前，再分右侧瓜林                   77'第77分钟申花用朱建荣换下荣昊
78'瓜林跟进，，底线附近拿球                   77'第77分钟申花用朱建荣换下荣昊
78'遭到逼抢，，被防守队员破坏出底线                   77'第77分钟申花用朱建荣换下荣昊
78'申花调整，，荣昊被朱建荣替下                   77'第77分钟申花用朱建荣换下荣昊
78'申花角球的机会                   77'第77分钟申花用朱建荣换下荣昊
79'裁判叫停，，禁区内争抢有拉扯，先来和谐一下再发角球                   77'第77分钟申花用朱建荣换下荣昊
79'艾迪和张修维不等球出来就摔上了跤                   77'第77分钟申花用朱建荣换下荣昊
79'好，右侧角球开出                   77'第77分钟申花用朱建荣换下荣昊
79'禁区内中路，，被解围                   77'第77分钟申花用朱建荣换下荣昊
79'外围左侧，曹赟定，远射，击中对手身上弹出                   77'第77分钟申花用朱建荣换下荣昊
80'边路的拼抢，，出界，球权给了权健                   77'第77分钟申花用朱建荣换下荣昊
80'界外球给到帕托                   77'第77分钟申花用朱建荣换下荣昊
80'左侧拿球，带到底线                   77'第77分钟申花用朱建荣换下荣昊
80'半高球传中，，，到了门前                   77'第77分钟申花用朱建荣换下荣昊
80'李帅门前出来，，把球没收                   77'第77分钟申花用朱建荣换下荣昊
80'李帅大脚把球开出                   77'第77分钟申花用朱建荣换下荣昊
80'中圈附近，，莫雷诺拿球，分身前左侧登巴巴                   77'第77分钟申花用朱建荣换下荣昊
80'登巴巴启动稍慢，，未能追上                   77'第77分钟申花用朱建荣换下荣昊
84'中圈位置，，张修维得球                   84'第84分钟权健队用刘越换下帕托
84'分前场右路的孙可                   84'第84分钟权健队用刘越换下帕托
84'孙可带球，到底线附近                   84'第84分钟权健队用刘越换下帕托
84'一脚传中给出来                   84'第84分钟权健队用刘越换下帕托
84'门前，，李帅出击，，把球摘下                   84'第84分钟权健队用刘越换下帕托
84'大脚开出来                   84'第84分钟权健队用刘越换下帕托
84'中圈左侧，，直接出了边线                   84'第84分钟权健队用刘越换下帕托
84'权健界外球，给到身后                   84'第84分钟权健队用刘越换下帕托
84'张诚，交给后场中路的权敬源                   84'第84分钟权健队用刘越换下帕托
84'回敲给张鹭，，大脚开出                   84'第84分钟权健队用刘越换下帕托
85'前场中路的争抢，，跃起争顶                   84'第84分钟权健队用刘越换下帕托
85'王永珀把球得到                   84'第84分钟权健队用刘越换下帕托
85'分到了右侧张修维，短传给身前                   84'第84分钟权健队用刘越换下帕托
85'艾迪把球拦截，再回敲给李帅                   84'第84分钟权健队用刘越换下帕托
85'大脚把球开出                   84'第84分钟权健队用刘越换下帕托
85'中圈位置，，拼抢，，吹了权健的犯规                   84'第84分钟权健队用刘越换下帕托
85'权健终于调整了，这是他们本场第一个换人                   84'第84分钟权健队用刘越换下帕托
85'帕托下场，换上了刘越                   84'第84分钟权健队用刘越换下帕托
86'帕托也是精疲力尽了                   84'第84分钟权健队用刘越换下帕托
86'比赛算上补时还有不到10分钟                   84'第84分钟权健队用刘越换下帕托
86'权健后场拿球，给身前的赵旭日                   84'第84分钟权健队用刘越换下帕托
86'分到了右侧给张修维                   84'第84分钟权健队用刘越换下帕托
86'再给身边的王永珀                   84'第84分钟权健队用刘越换下帕托
86'身前给到张修维，边路45度弧线球传中                   84'第84分钟权健队用刘越换下帕托
86'禁区中路，栗鹏的解围                   84'第84分钟权健队用刘越换下帕托
86'中圈右侧王永珀拿球                   84'第84分钟权健队用刘越换下帕托
87'给出一记长传到了禁区内                   84'第84分钟权健队用刘越换下帕托
87'准确的找到了杨旭                   84'第84分钟权健队用刘越换下帕托
87'杨旭跟上，头球一蹭，，，偏出了底线                   84'第84分钟权健队用刘越换下帕托
87'李帅后场大脚开出                   84'第84分钟权健队用刘越换下帕托
87'中圈附近的拼抢                   84'第84分钟权健队用刘越换下帕托
87'裁判哨响                   84'第84分钟权健队用刘越换下帕托
87'吹了刘奕鸣的犯规                   84'第84分钟权健队用刘越换下帕托
86'帕托也是精疲力尽了                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
86'比赛算上补时还有不到10分钟                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
86'权健后场拿球，给身前的赵旭日                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
86'分到了右侧给张修维                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
86'再给身边的王永珀                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
86'身前给到张修维，边路45度弧线球传中                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
86'禁区中路，栗鹏的解围                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
86'中圈右侧王永珀拿球                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
87'给出一记长传到了禁区内                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
87'准确的找到了杨旭                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
87'杨旭跟上，头球一蹭，，，偏出了底线                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
87'李帅后场大脚开出                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
87'中圈附近的拼抢                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
87'裁判哨响                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
87'吹了刘奕鸣的犯规                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
88'申花前场中路定位球                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
88'瓜林来主罚                   86'第86分钟申花获得离门36米的任意球机会，瓜林怒射被人墙挡出，瓜林再射被朱建荣禁区内钩到，但朱建荣还想再射时，张鹭已经出击到位，朱建荣一脚射门正好踢在张鹭身上，虽然没对张鹭造成多大伤害，但朱建荣还是吃到黄牌
