8'胡斯蒂准备发球                   7'第7分钟石柯拦截犯规吃到黄牌，胡斯蒂的任意球打在人墙上弹出
60'再分给林创益                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
60'于海接应，被解围                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
60'蔡慧康拦截，交给石柯                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
60'直传，埃尔克森脚后跟传球                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
60'艾哈迈多夫做墙挑传门前                   57'第57分钟胡斯蒂中场给出精确直传，伊哈洛禁区线附近带球，颜骏凌早早出击，被伊哈洛乘势过掉，接着伊哈洛推射空门得分，4比1
59'伊哈洛加速甩开了卡瓦略拿球顺势盘过了颜骏凌，打空门了，球进！                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
59'长春亚泰4：1领先上海上港                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
60'林创益掷界外球，蔡慧康过渡于海接应回传给蔡慧康                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
60'横传给艾哈迈多夫                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
60'再分给林创益                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
60'于海接应，被解围                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
60'蔡慧康拦截，交给石柯                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
60'直传，埃尔克森脚后跟传球                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
60'艾哈迈多夫做墙挑传门前                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
61'埃尔克森突到禁区内凌空打门被吴亚轲飞身出来封堵！                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
62'颜骏凌长传上来，被伊斯梅洛夫争下来                   59'第59分钟艾哈迈多夫外围挑传，埃尔克森胸部卸球下来，接着高难度凌空抽射，但被吴亚轲神奇扑出
62'颜骏凌长传上来，被伊斯梅洛夫争下来                   62'第62分钟李圣龙换下韦世豪
63'蒋哲球，交给范晓东                   62'第62分钟李圣龙换下韦世豪
63'分边给了张笑飞，过人时被张卫拦截出边线                   62'第62分钟李圣龙换下韦世豪
64'上海上港换人，14号李圣龙换下了33号韦世豪！                   62'第62分钟李圣龙换下韦世豪
64'王燊超掷界外球                   62'第62分钟李圣龙换下韦世豪
64'于海右路带球，杜震宇过来夹防时犯规                   62'第62分钟李圣龙换下韦世豪
65'上港获得一个角球旗附近的任意球机会                   62'第62分钟李圣龙换下韦世豪
65'吕文君传中，埃尔克森争顶下来被解围                   62'第62分钟李圣龙换下韦世豪
65'张力回传给王燊超                   62'第62分钟李圣龙换下韦世豪
65'转移给了艾哈迈多夫                   62'第62分钟李圣龙换下韦世豪
65'亚泰是全线退防                   62'第62分钟李圣龙换下韦世豪
68'杜震宇右路斜传，伊哈洛停球回做，李圣龙断球                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
68'张笑飞护球回传给伊斯梅洛夫                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
68'长传上来被石柯顶出                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
68'谭龙得球交给蒋哲                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
69'再交给张力，范晓东接应转移给了伊斯梅洛夫                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
69'分给了张笑飞，直传，杜震宇下底传中被挡一下                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
69'还是杜震宇拿球，送到后点，谭龙头球攻门，颜骏凌神奇地将球扑出！                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
70'石柯长传上来，伊斯梅洛夫将球争下来                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
70'孙捷直传，胡斯蒂接应                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
70'转移给了左路的杜震宇                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
70'杜震宇面对林创益，没有突过去                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
70'艾哈迈多夫过渡给了李圣龙                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
70'艾哈迈多夫再拿球，分边给了王燊超                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
70'传后点给大了                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
71'埃尔克森得球，传中，伊斯梅洛夫头球解围                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
71'于海得球再送后点，吴亚轲将球抱住交给谭龙                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
71'胡斯蒂接应被蔡慧康绊倒                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
71'伊斯梅洛夫进了禁区，连续的晃动过不了卡瓦略                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
71'林创益右路长传，伊斯梅洛夫推倒了埃尔克森                   68'第68分钟杜震宇左路送球，谭龙近距离飞身头球，颜骏凌做出神级扑救
72'上港前场右路的任意球机会                   72'第72分钟长春队用18号郭亮换下老将张笑飞
72'吕文君弧线球送到门前，于海与石柯头球都没有顶到球，蒋哲将球踢出底线                   72'第72分钟长春队用18号郭亮换下老将张笑飞
72'上港左路的角球机会                   72'第72分钟长春队用18号郭亮换下老将张笑飞
73'吕文君过来发角球                   72'第72分钟长春队用18号郭亮换下老将张笑飞
73'吕文君送到门前，卡瓦略甩头攻门顶高了                   72'第72分钟长春队用18号郭亮换下老将张笑飞
73'长春亚泰换人，18号郭亮换下了33号张笑飞！                   72'第72分钟长春队用18号郭亮换下老将张笑飞
74'亚泰获得一个前场任意球机会                   72'第72分钟长春队用18号郭亮换下老将张笑飞
74'胡斯蒂任意球吊禁区，伊斯梅洛夫争下来被蔡慧康解围                   72'第72分钟长春队用18号郭亮换下老将张笑飞
74'前场的拼抢，谭龙犯规                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'艾哈迈多夫带球，直传给了王燊超，再回给艾哈迈多夫                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'直传被伊斯梅洛夫断下                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'吕文君得球，分给于海                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'于海传中被郭亮挡一下                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'艾哈迈多夫远射，被埃尔克森停下来，孙捷的解围                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'伊哈洛左侧拿球                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'过了林创益                   72'第72分钟长春队用18号郭亮换下老将张笑飞
75'变向，球被林创益拦截出边线                   72'第72分钟长春队用18号郭亮换下老将张笑飞
84'吕文君护球，伊斯梅洛夫上抢犯规                   84'第84分钟长春用于睿换下张力
84'吕文君快发任意球，裁判吹了回来                   84'第84分钟长春用于睿换下张力
84'认为吕文君没有将球放在犯规地点发球                   84'第84分钟长春用于睿换下张力
84'看看上港能否把握这个任意球的机会                   84'第84分钟长春用于睿换下张力
84'吕文君传中，伊斯梅洛夫头球解围                   84'第84分钟长春用于睿换下张力
84'艾哈迈多夫得球，分边右路，给大了，球出边线                   84'第84分钟长春用于睿换下张力
85'长春亚泰换人，4号于睿换下了27号张力！                   84'第84分钟长春用于睿换下张力
85'蒋哲后场断球，转移给左路的杜震宇                   84'第84分钟长春用于睿换下张力
85'胡斯蒂接应直传，给得太大了，杜震宇没有追上                   84'第84分钟长春用于睿换下张力
86'颜骏凌发球上来，于睿顶一下                   84'第84分钟长春用于睿换下张力
86'蒋哲将球破坏出边线                   84'第84分钟长春用于睿换下张力
86'王燊超的传中，埃尔克森头球后蹭                   84'第84分钟长春用于睿换下张力
86'李圣龙劲射被吴亚轲扑出                   84'第84分钟长春用于睿换下张力
86'李圣龙快发界外球，石柯传中打在杜震宇身上出边线                   84'第84分钟长春用于睿换下张力
87'林创益的强行突破，趟大了，球被吴亚轲大脚开出边线                   84'第84分钟长春用于睿换下张力
87'李圣龙强行下底传中，球被颜骏凌抱住                   84'第84分钟长春用于睿换下张力
87'于睿得球交给伊斯梅洛夫，回传给吴亚轲                   84'第84分钟长春用于睿换下张力
87'长传上来，谭龙停球出边线                   84'第84分钟长春用于睿换下张力
93'李圣龙胸部停球大了，被伊斯梅洛夫踢到半空                   93'第93分钟李圣龙吃到黄牌
93'蒋哲传给了谭龙                   93'第93分钟李圣龙吃到黄牌
93'这是范晓东事上来，斜塞，给得太靠前了                   93'第93分钟李圣龙吃到黄牌
93'不过也耗了不少时间                   93'第93分钟李圣龙吃到黄牌
94'李圣龙因为对助理裁判判罚不满吃到黄牌                   93'第93分钟李圣龙吃到黄牌
94'吕文君将球挑骊禁区内，吴亚轲将球没收                   93'第93分钟李圣龙吃到黄牌
94'全场比赛结束！                   93'第93分钟李圣龙吃到黄牌
