3'中场鲁能泰山队得球，转移到右路进攻                   3'上半场第3分钟，吕征赢得禁区前沿任意球，郑铮弧线球打门，皮球稍稍高出横梁
80'张文钊带球突破，直传球没能过去，反抢时犯规                   77'第77分钟，山东鲁能错失进球，阿洛伊西奥连续突破杀入禁区，张文钊大力劲射，球打在横梁上弹出底线
80'鲁能泰山队右路突破下底横传，阿洛伊西奥一脚劲射被邓小飞没收！                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
80'张文钊带球突破，直传球没能过去，反抢时犯规                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
81'江苏舜天队右路攻到前场，汪强把球破坏                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
81'界外球发出来，托洛萨手球犯规                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
82'蒙蒂略直传球，阿洛伊西奥挑传球被杨昊断下来                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
82'孙可左路带球突破，王彤把球打出底线                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
82'角球发到前点，鲁能泰山队得球快速反击                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
83'张文钊右路带球快速到前场，突破到禁区内，转身突破摔倒在地                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
83'主裁判给张文钊出示了黄牌，示意他假摔！                   80'第80分钟，王彤边路形成突破后回传，阿洛伊西奥迎球劲射，球又被邓小飞没收
