2'埃弗拉接球的瞬间先越位了                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
89'宋博轩插上没有打上                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
89'上港换人，海森下，李浩文上！                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
90'国安队将球给到右路                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
90'陈志钊挑传送进来                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
90'球被上港队破坏                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
90'巴塔拉禁区内拿球                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
91'横传到中路，宋博轩没有碰到啊                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
91'下半场补时3分钟！                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
92'国安队右路做配合                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
92'陈志钊底线回敲到禁区内                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
92'队友跟进打门被颜骏凌扑了出去！！                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
