1'好的，随着李俊的一声哨响比赛开始了！                   1'双方第1分钟便在中场展开激烈拼抢
78'天津队现在有些着急啊。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
79'泰达后场断球，直接长传了。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
79'左侧拿到一盒边线球。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
79'这边国安换人了，张晓彬换下了河大成。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
80'泰达后场控球，国安压的也很靠前。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
81'国安断球了，直接往禁区吊！                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
81'巴塔拉停球回做给张晓彬，直接打门打高了。                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
82'泰达现在打的有些着急啊，一味的长传找巴雷、瓦伦西亚还是太单一                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
82'国安后场发界外球。                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
83'球到到了左路，张呈栋！                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
83'张呈栋的突破被聂涛破坏出边线。                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
83'泰达换人了，周海滨被惠家康换下。                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
84'李本舰后场断球，中场巴雷拿球的时候跟张晓彬有些纠缠，张晓彬犯规了。                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
84'定位球直接往禁区打！                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
84'惠家康拿球被张呈栋破坏出边线。                   81'第81分钟，巴塔拉得球回做，张晓彬跟上远射打高
84'李本舰后场断球，中场巴雷拿球的时候跟张晓彬有些纠缠，张晓彬犯规了。                   84'第84分钟，李本舰任意球吊入禁区再次被对方顶出
84'定位球直接往禁区打！                   84'第84分钟，李本舰任意球吊入禁区再次被对方顶出
84'惠家康拿球被张呈栋破坏出边线。                   84'第84分钟，李本舰任意球吊入禁区再次被对方顶出
85'泰达没什么机会，回到后场控球组织。                   84'第84分钟，李本舰任意球吊入禁区再次被对方顶出
85'乌塔卡上抢的时候犯规了，踩到了聂涛。                   84'第84分钟，李本舰任意球吊入禁区再次被对方顶出
86'国安要换人了！长边应该是邵佳一。                   84'第84分钟，李本舰任意球吊入禁区再次被对方顶出
87'国安用邵佳一换下了张稀哲                   84'第84分钟，李本舰任意球吊入禁区再次被对方顶出
88'国安边线球找到右路的乌塔卡，被利马断掉。                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
88'泰达后场也比较乱啊。                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
88'国安右路继续进攻，周挺起冲突了！                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
89'周挺跟聂涛起冲突了，周挺被侵犯以后两人起了冲突。                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
90'国安前场定位球开到中路！乌塔卡头球被宗垒扑出！                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
90'国安后场控球！                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
91'乌塔卡单刀了！                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
91'国安防守反击！                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
91'乌塔卡最后一脚打门打偏了！                   88'第88分钟，聂涛放倒周挺，双方险些发生冲突
92'张呈栋在右路突破！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
92'利马对张呈栋犯规了。全场比赛补时4分钟。                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
93'定位球直接被宗垒拿下，泰达继续长传起球到禁区！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
93'马季奇头球解围，泰达继续！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
93'这边乌塔卡在前场也是不断骚扰啊！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
93'泰达左侧边线球！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
93'边线直接扔禁区，混战中出了边线，                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
94'李本舰带球的时候被巴塔拉从后面铲倒，定位球！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
94'补时时间已经到了！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
94'应该是最后一次进攻了！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
94'白岳峰开到中路！！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
95'中路被马季奇解围了！全场比赛结束了！                   92'第92分钟，乌塔卡得到反击机会，连续晃动晃开聂涛小角度打门，皮球击中边网
