1'上半场比赛开始                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
77'曹赟定左路起球传中，傅欢头球解围                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
77'裁判鸣哨                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
77'胡尔克倒地后夹球违例                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
77'曹赟定左路起球传中，傅欢头球解围                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
78'孙世林外围远射，擦着立柱出底线                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
79'埃尔克森左路强突到底线，自己趟出底线了                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
79'埃尔克森今天的表现比较平淡                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
79'上港换人，11号吕文君换下15号林创益                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
80'傅欢上来传后点，吕文君 头球攻门，李帅将球没收                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
80'王燊超中场拦截犯规                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
80'马丁斯背身拿球被石柯踢倒                   77'第77分钟傅欢往中路踢解围球，孙世林30米外拿球远距离射门稍稍打偏
79'埃尔克森左路强突到底线，自己趟出底线了                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
79'埃尔克森今天的表现比较平淡                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
79'上港换人，11号吕文君换下15号林创益                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
80'傅欢上来传后点，吕文君 头球攻门，李帅将球没收                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
80'王燊超中场拦截犯规                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
80'马丁斯背身拿球被石柯踢倒                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
81'主裁判口头禅警告一下石柯                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
81'瓜林准备主罚任意球                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
81'斜传禁区，被贺惯顶一下                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
81'曹赟定小角度打门打高了                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
82'傅欢交给埃尔克森                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
82'埃尔克森交给奥斯卡                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
82'奥斯卡再往右路的胡尔克转移                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
82'两人间穿过去，再内切左脚劲 掌射，被李帅双掌封出底线                   79'第79分钟傅欢右路传中，禁区内埃尔克森头球攻门被李帅扑住
81'主裁判口头禅警告一下石柯                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
81'瓜林准备主罚任意球                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
81'斜传禁区，被贺惯顶一下                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
81'曹赟定小角度打门打高了                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
82'傅欢交给埃尔克森                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
82'埃尔克森交给奥斯卡                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
82'奥斯卡再往右路的胡尔克转移                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
82'两人间穿过去，再内切左脚劲 掌射，被李帅双掌封出底线                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
83'胡尔克发角球，武磊顶出了底线                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
83'傅欢右路传中，被王寿挺解围                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
83'胡尔克右路控球，孙世林踢倒了胡尔克                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
84'奥斯卡传中被顶出                   81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
84'毛剑卿右路带球，王燊超将位置卡住，回传给李帅                    81'第81分钟胡尔克在右路从王林和曹赟定两人之间漂亮摆脱杀出，但他的射门被李帅球打出
88'进了禁区，回给瓜林，回给孙世林，打门力量小了，颜骏凌将球没收                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
88'奥斯卡短传，孙世林将球解围                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
88'比赛进入最后咬雅的阶段                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
89'埃尔克森左路来了，下底传中，胡尔克中路推射打在了王寿挺脚下，球还在胡尔克脚下，斜射球门左下角球进！                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
90'上港的球星还是起作用                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
90'刚才胡尔克脱衣庆祝吃到黄牌                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
90'绿地申花左路的角球机会                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
90'瓜林发后点，王寿挺头球顶高了                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
91'下半场补时5分钟                   88'第88分钟埃尔克森发威，他在左路强行冲击后下底传中，胡尔克第一脚射门被王林挡出，接着胡尔克再次起脚打地滚球射门，此球虽然角度一般，但来得很快，而且李帅视线被挡，皮球滚入大门，2比1
91'下半场补时5分钟                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
92'上港再有机会                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
92'胡尔克禁区内脚后跟传球                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
92'奥斯卡劲射打在横梁上                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
92'球反弹到绿地申花球员身上入网！                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
93'摆乌龙的是李运秋！                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
94'上海上港换人，2号张力换下了7号武磊                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
94'武磊下场后吃到一张黄牌                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
94'胡尔克又来了，分出来，被王林先铲一下                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
94'奥斯卡上抢时手球了                   91'第91分钟进球再次来到，吕文君禁区右路送球，胡尔克脚后跟一拉，奥斯卡怒射，皮球中横梁弹下，但球又砸在李运秋头上弹进门，3比1
