6'胡人天突破被放倒，前场任意球机会                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
80'姜嘉俊右路带球强突，被包夹，带出边线                   80'第80分钟，刘骏楠右路连续晃动晃开白岳峰，但传中被宗垒摘下
81'刘_x林：一场球两个点球罚失，应该算奇葩了！！回复[并且还是一家一个！！]                   80'第80分钟，刘骏楠右路连续晃动晃开白岳峰，但传中被宗垒摘下
82'上海申鑫队换人：达洛维奇，换下雅伊尔顿！                   80'第80分钟，刘骏楠右路连续晃动晃开白岳峰，但传中被宗垒摘下
82'...周海滨外线一脚大力远射！！很有威胁，刘殿座双拳把球打出！！                   80'第80分钟，刘骏楠右路连续晃动晃开白岳峰，但传中被宗垒摘下
83'天津泰达队攻到前场，直传禁区没能过去！                   80'第80分钟，刘骏楠右路连续晃动晃开白岳峰，但传中被宗垒摘下
83'李本舰中场铲球，出边线                   80'第80分钟，刘骏楠右路连续晃动晃开白岳峰，但传中被宗垒摘下
84'这谁啊，抽筋啦！！                   84'第84分钟，杨家威抽筋被担架抬下
84'是杨家威！！                   84'第84分钟，杨家威抽筋被担架抬下
84'被抬出场外！                   84'第84分钟，杨家威抽筋被担架抬下
85'上海申鑫队左路进攻，对方再次把球破坏出边线                   84'第84分钟，杨家威抽筋被担架抬下
85'界外球发出来，聊博超得球大脚破坏，打在对方身上出底线                   84'第84分钟，杨家威抽筋被担架抬下
85'还有5分钟左右的时间！加上补时也就七八分钟                   84'第84分钟，杨家威抽筋被担架抬下
86'中场天津泰达队丢球，上海申鑫队三打三！                   84'第84分钟，杨家威抽筋被担架抬下
86'上海申鑫队横传球失误，被大头顶出，王赟再传球，不着调                   84'第84分钟，杨家威抽筋被担架抬下
86'杨家威左路强突，被李玮锋把球抢断下来                   84'第84分钟，杨家威抽筋被担架抬下
87'李玮锋控到球，杨家威背后生生拉了对方一把，拉到了边线外！！犯规！                   84'第84分钟，杨家威抽筋被担架抬下
87'王赟后场得球，被周海滨推倒在地                   84'第84分钟，杨家威抽筋被担架抬下
87'王赟倒地后翻转身，然后捂住腰！                   84'第84分钟，杨家威抽筋被担架抬下
87'拖时间？？不象                   84'第84分钟，杨家威抽筋被担架抬下
91'任意球传禁区，被姜嘉俊顶出                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
91'安德烈齐尼奥右路挑传，李玮锋抢点头球顶门！！偏出！                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
92'乔尼后场拿球，右路大脚传球出边线                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
92'界外球发出来，天津泰达队大脚长传，对方再次破坏                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
92'安德烈齐尼奥中场拿球，横传球险些失误                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
93'达洛维奇左路带球突破，刘峻楠阻挡犯规！                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
93'这也许是天津泰达队今天的最后一次任意球啦！                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
93'还有不到1分钟的时间！                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
93'任意球直接打门，刘殿座稳稳把球得到！                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
94'天津泰达队长传前场，对方控到球                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
94'比赛结束，最终天津泰达队主场与上海申鑫队0-0握手言和！                   91'第91分钟，烈鸟任意球开出造成混乱，解围后烈鸟再次传中，后点李玮峰头球攻门顶高
