2'这球是直接给出了底线                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
80'拉维奇拦截，中路给埃尔纳内斯，在给右侧                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'野牛和尹鸿博的配合，撞墙过来，还是张卫解围                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'任航后场回敲杨程，在给中路                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'赵宇豪回来接应，低传给中场埃尔纳内斯                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'艾哈迈多夫拦截，右侧横敲被断                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'赵宇豪吊向前场                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'野牛拿球，带球自己来，内切                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'禁区右肋，先出一脚，横抽到中路                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'董学升包抄没跟上，出了底线                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'上港门球开起来                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'胡尔克中场争顶被高准翼压倒，，犯规了                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'上港快发，但是给的不够准确，被杨程没收                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'手抛球给赵明剑，右侧快下                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'起长传，冲吊到前场右路被张卫解围                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'边线球给赵明剑，自己内切突破，连续摆脱                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'杀入禁区，张卫回追捅出底线                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'右侧角球拉维奇主罚，搓起来                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'禁区内前点吕文君顶出                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'但随后自己倒地，，华夏的进攻犯规                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'颜骏凌大脚开起来                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'前场右侧尹鸿博踢出边线                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'上港回敲贺惯，在给门将，颜骏凌又是一个大脚                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'右路拼抢，拉维奇挡出边线                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'界外球大力向前，张呈栋破坏一下                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'禁区内任航试图补射，但是犯规                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'直接踢在了贺惯身上，没踢到球啊                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'任航吃到黄牌                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'贺惯问题不打                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'华夏中前场拿到一个定位球                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'右侧拉维奇主罚，砸向禁区                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
80'小禁区前沿石柯头球顶出                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'外围武磊被绊倒了，罗森文的犯规                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'.于海上来，替下吕文君，，吕文君今天首开纪录，大功臣                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'任航这边也下去了，换上的是金洋洋                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
81'任航好像有伤，而且身背黄牌。。华夏3个换人都用完了                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'感觉华夏今天是没什么戏了啊，算上补时也就10分钟了                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'颜骏凌大脚开起来                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'中圈附近艾哈迈多夫停球失误出界                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
82'这球好像是艾哈迈多夫第一次主动失误，真是稳啊                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'华夏界外球给到后场高准翼，横敲金洋洋                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'身前在给罗森文，回给高准翼                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'低球斜传给到右侧拉维奇，突破压上                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
83'禁区右侧搓起来，禁区中央董学升停球，在垫起来                   80'第80分钟于海换下吕文君，河北则用金洋洋换下任航
84'球到了奥斯卡脚下，回敲贺惯                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'长传向前，高准翼顶出边线                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'界外球给到奥斯卡，右侧分边胡尔克                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'面对防守，自己强吃内切                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'横向过来，在交给左侧武磊                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'武磊带一步，拔腿就射                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'重炮被杨程没收                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'杨程大脚抡起来                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'前场右侧，野牛得球，在给身边拉维奇                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'斜传在给右侧拉边的野牛，面对张卫                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'强行过人，没过去，被挡出底线                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'右侧角球，，华夏幸福也是猛打张卫这一侧                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'角球开起来，禁区中央争顶，还是上港的解围，防守还是很稳健                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'外围胡尔克得球，往右侧走                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'斜传被张呈栋破坏出去                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'董学升护球，回撤拿球在回敲                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'奥斯卡把球断了，张呈栋上来帮忙，反抢犯规                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'上港定位球给到右侧，张呈栋挡出                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'董学升拿球，被包夹，一扣，从人缝中摆脱                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'贺惯直接是绊倒了对方                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'左侧定位球，赵宇豪搓起来                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'到了弧顶附近，埃尔纳内斯跟上不调整，直接打。。飞了                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'颜骏凌大脚开起来                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'右脚挑到中路，野牛跟上，怒射打高了，，好危险                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'颜骏凌大脚开出门球                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'前场尹鸿博得球，斜传转移被贺惯拦截                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'分到身前左侧奥斯卡，带球向前                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'中路直塞，给的不错                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'胡尔克禁区左肋插上，直接爆射，打偏了                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
84'杨程大脚开起来                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'中圈附近尹鸿博把球控制好                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'过顶的搓球，到了禁区内，，又是颜骏凌出来没收                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'野牛这球无奈啊，让我争高球，不中啊                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'手抛球给出来，王燊超直塞向前                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'赵明剑拦截，顺势反击，吊向禁区                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
85'贺惯大脚解围                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'外围拼抢，球被碰出边线，上港的球权                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'胡尔克右侧接应，停下来，在给中间                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'奥斯卡拿球，挑传向前，胡尔克右侧前插，在横敲                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'董学升回防把球拦截，蔡慧康前场就地紧逼，犯规了                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
86'华夏定位球，前场给到左侧                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'朱海威拿球，杀到底线，在传起来                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'禁区内第一点被解围                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'于海外围中路拿球，交给左侧武磊                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'罗森文快速回防，一个滑铲，挡出边线                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'左侧界外球，给到武磊，回敲贺惯，在给颜骏凌                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'大脚开起来                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
87'拉维奇把球拦截，沿着右路带过中圈                   84'第84分钟奥斯卡前场送球，胡尔克跑动中大力怒射稍稍高出
49'华夏界外球给到右侧埃尔纳内斯，还是找野牛                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
49'回敲身后，赵明剑上来                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
49'在给身旁，尹鸿博45度起球                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
49'点球点附近被解围                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
50'外围埃尔纳内斯在给到右侧                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
50'赵明剑下底，再起，，中路还是被对方解围                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
50'艾哈迈多夫外围得球，刚要进攻                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
50'裁判哨响了，，这边有人受伤                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
50'董学升倒地，，贺惯也倒在草坪上                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
50'两个人都要简单的接受下治疗                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
51'比赛继续，，张呈栋中场附近抬脚过高犯规                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
51'上港右侧定位球，奥斯卡主罚                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
51'直接吊向禁区，，吕文君蹭了一下，对方疑似手球了                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
51'不过裁判哨响，吹了吕文君越位在先                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
51'中路华夏给到罗森文，斜传向前被蔡慧康拦截                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
52'右路给艾哈迈多夫，在给王燊超，回敲同伴                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
52'上港一脚长距离的直塞，禁区右肋                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
52'奥斯卡反跑插上，裁判又是吹了越位                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
52'慢镜头来看，这球误判啊                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
52'杨程大脚开起来                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
52'拉维奇右侧得球，在向前，被挡出边线                   49'比赛补时4分钟，一直在积极进攻的拉维奇没有放弃，第92分钟拉维奇左路送球，颜骏凌在阿洛依西奥之前把球扑住
