3'摩西把球交给了马塔~~~                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
89'曼联雪上加霜                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
89'拉斐尔是报复性的踢了路易斯                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
89'不过路易斯倒地之后面露微笑                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
89'被摄像机拍个正着                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
90'路易斯成功激怒了拉斐尔...                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
90'曼联换上了小豌豆                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
90'切尔西则是用阿克换下了马塔                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
91'其实刚才那种小动作南美球员很多人都会的                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
91'不过拉斐尔的踢人确实是恶意的                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
91'这个红牌并不怨                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
92'下半场补时4分钟                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
