4'富力获得前场中路的任意球机会                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
90'位置相当不错，看看上港能否抓住这次机会                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
90'上港进球啦！！！                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
90'一场跌宕起伏的比赛啊                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
91'汪佳捷的补射，打进！！！                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
91'进球后的汪佳捷脱衣庆祝，被主裁判出示了黄牌警告！！！                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
92'孔卡任意球攻门，打在人墙中富力球员的腿上变向到门前，汪佳捷跟进左脚补射，打进！！！                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
92'上港换人：15号林创益上，换下17号埃弗拉                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
92'下半场比赛补时2分钟                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
93'蔡慧康中场拿球，被绊倒在地                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
93'上港获得中场的任意球机会，孔卡起球到禁区                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
93'富力球员解围，主裁判鸣哨                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
