11'伊斯梅洛夫交给李光                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
72'最后张笑飞的倒地传球勾倒了于汉超                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
72'于汉超跌入水滩中                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
72'不过于汉超直来后也是一笑置之                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
72'李学鹏中场断球交给高拉特                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
72'交给阿兰，人球分过，没有成功                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
73'保利尼奥中场拿球，交给李学鹏                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
73'突破过不了谭龙                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
73'高拉特交给郑智                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
78'胡斯蒂左路传中，伊哈洛胸部停球下来被冯潇霆解围                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
78'亚泰的绝对机会                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
78'伊哈洛近距离打门打在立柱上                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
78'反弹回到曾诚怀里                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
78'恒大运气实在太好了                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
79'李学鹏的解围球踢在张力身上反弹到禁区中路，伊哈洛跟进面对曾诚推射打在立柱上。。。                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
79'孙捷的直传，被李学鹏解围                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
79'郑智长传前场左路                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
80'吴亚轲到禁区边缘将球控制                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
80'高拉特直传，孙捷解围                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
80'中场黄博文控球交给高拉特                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
80'分给于汉超，传后点，阿兰控球时球打在上下五寸的土方                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
80'球出底线                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
81'裴帅左路来了，交给张力，传左路出边线                   78'第78分钟，李学鹏后场开球时失误，皮球被上抢的张力挡下，伊哈洛直冲禁区获得了单刀球机会，他面对曾诚与奋力补过的李学鹏等人形成调整攻门，皮球击中立柱后弹回到了曾诚怀中
89'胡斯蒂直传，伊哈洛接应直传，周大地插上打门被曾诚扑出                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
89'张琳芃将球解围                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
89'胡斯蒂右路再传中，被刘健头球解围                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
90'亚泰换人，31程长城换下6号裴帅                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
90'恒大这边也准备换人                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
90'广州恒大换人，27号郑龙换下了7号阿兰                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
90'曾诚长传上来                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
90'伊斯梅洛夫顶一下                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
91'冯潇霆长传上来                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
91'高拉特停球大了                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
91'吴亚轲大脚开上来                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
91'伊斯梅洛夫长传上来被刘健顶一下                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
91'下半场补时3分钟                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
91'伊斯梅洛夫上来传中，伊哈洛头球顶薄了                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
92'继续是亚泰的进攻                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
92'蒋哲直传，黄博文将球破坏出边线                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
92'周大地的传中，郑智将球踢出边线                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
92'蒋哲回传给伊斯梅洛夫                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
92'再交给裴帅，长传上来，双方都没有顶到球                   89'第89分钟，伊哈洛直塞策动威胁攻势，张力前插攻门被曾诚挡出
