1'上半场比赛开始                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
85'裁判黄牌警告塞巴                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
86'胡尔克拿球横走，转移左路                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
86'于海起球被邓小飞击出禁区                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
86'卡尔德克中场背身，回敲被身后的王燊超踢倒                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
86'裁判黄牌警告王燊超                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
89'塞巴后场拿球摆脱，被埃尔克森推倒                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
89'卡尔德克前场争顶高球摆渡，出了底线                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
90'胡尔克右路拿球，底线前面对包夹                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
90'上港进球了！！                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
90'武磊！！                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
90'胡尔克右路起左脚强行传中去后点，武磊头球冲顶破门                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
91'重庆2-3落后上港                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
91'进入补时了，准绝杀                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
91'下半场补时5分钟                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
92'刘宇后场起高球进禁区                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
92'顶出来，外围还有                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
92'费尔南迪尼奥远射被封堵                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
92'右路再起球到门前，被颜骏凌没收                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
92'重庆换人，刘卫东和刘斌上                   89'第89分钟胡尔克右路得球处理有点慢，对方队员围抢上来，已经无法突破的胡尔克不得已发力长传，禁区内埋伏的武磊力压唐佳庶，飞身头球攻门得分，3比2
91'重庆2-3落后上港                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
91'进入补时了，准绝杀                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
91'下半场补时5分钟                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
92'刘宇后场起高球进禁区                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
92'顶出来，外围还有                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
92'费尔南迪尼奥远射被封堵                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
92'右路再起球到门前，被颜骏凌没收                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
92'重庆换人，刘卫东和刘斌上                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
93'换下丁捷和刘宇                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
93'上港多人抽筋坐在地上                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
94'上港换人，武磊被换下                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
94'又在压腿，被裁判黄牌警告                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
94'下场前拖延时间，被黄牌警告                   91'第91分钟重庆开始换人，刘卫东换丁捷，刘斌换刘宇，开始做最后的冲击
93'换下丁捷和刘宇                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
93'上港多人抽筋坐在地上                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
94'上港换人，武磊被换下                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
94'又在压腿，被裁判黄牌警告                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
94'下场前拖延时间，被黄牌警告                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
95'换上的是李圣龙                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
96'塞巴左路进禁区，被卡住位置                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
96'重庆替补席这边扔了一个球进来                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
96'上港很不满                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
96'双方球员在重庆替补席前发生口角                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
96'裁判过来，把重庆替补席上隋维杰出示红牌                   93'第93分钟李圣龙换下武磊，而此时武磊正好在做抽筋后的拉升动作，结果他吃到黄牌，缺席下轮赛事
