3'延边后场控球，裴育文长甩一脚，斯蒂夫前面越位了                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
75'延边定位球大脚斜吊向禁区                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
75'又是杨善平的头球解围                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
75'孙世林长传找前面的图雷，尼古拉稳健把球破坏出边线                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
76'王亮左侧分给孙世林，在给张野，梳理一下                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
76'右侧郑涛上来，在往前送找图雷                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
76'边路刘尚坤得球，和王亮配合                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
76'刘尚坤转身搓入禁区，没有找到同伴，直接到了池文一面前                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
77'比赛已经超过75分钟，辽宁需要努力了                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
77'图雷左边路拼抢，动作比较大， 被黑晓虎黄牌警告                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
77'比赛已经超过75分钟，辽宁需要努力了                   77'第77分钟，斯蒂夫被李勋换下
77'图雷左边路拼抢，动作比较大， 被黑晓虎黄牌警告                   77'第77分钟，斯蒂夫被李勋换下
78'斯蒂夫被换下，梅开二度的斯蒂夫也是拼尽了体力，李勋上来                   77'第77分钟，斯蒂夫被李勋换下
79'朴泰夏此举也是比较明显，要防守了                   77'第77分钟，斯蒂夫被李勋换下
79'延边还有进球，锁定胜局了                   77'第77分钟，斯蒂夫被李勋换下
80'这次进球的是金承大，而助攻的又是尹比加兰，韩国国脚神了啊。3助攻1进球                   77'第77分钟，斯蒂夫被李勋换下
80'延边左路进攻，横敲给中间的尹比加兰，直塞给禁区内插上的金承大，金承大反越位成功单刀赴会，推射命中                   77'第77分钟，斯蒂夫被李勋换下
83'防守队员也是紧跟，金承大超车过去，黑晓虎哨响，吹了金承大推人犯规                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
83'辽宁左路进攻，詹姆斯突破下底                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
83'传中制造一个角球                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
83'孙世林给出来，禁区内找图雷，第一点还是被防守队员干扰了                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
84'外围李勋保护弧顶地带，辽宁队拼抢犯规                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
84'辽宁的进攻继续选择高举高打                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
84'右路雷永驰45度斜吊，后点刘尚坤头球高出横梁                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
85'小播赛前还预测，两队攻击力比较匮乏，估计是小比分的球，结果啪啪打脸啊                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
86'辽宁的进攻还是一如既往，但延边今天真是大爆发，尹比加兰导演进球犹如砍瓜切菜一般容易                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
86'图雷左侧护球，被裴育文捅出边线                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
86'张野给到王亮，在找孙世林，回敲阿萨尼                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
86'长传冲吊，还是给图雷头上，被尼古拉解围                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
86'外围金波得球，刘尚坤拼抢犯规                   83'大比分领先后，延边队不再急于进攻，辽宁队也无心恋战，第83分钟，右路雷永驰45度斜吊，后点刘尚坤头球高出横梁
48'崔仁边路插上被吹了越位                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
48'石笑天后场把球开出                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
48'前场找詹姆斯                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
49'边路裴育文一脚解围，打在王亮身上弹出边线                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
49'这时候黑晓虎哨响，上半场结束了                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
48'辽宁的进攻，金泰延给到中间的图雷                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
48'图雷外围远射，击中尼古拉弹出                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
48'辽宁外围再把球送入禁区，双方拼抢，金泰延摔倒在禁区内                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
49'裁判哨子没有响，金泰延迟迟没有起来，延边友好的把球踢出边线                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
49'金泰延问题不大，慢镜头来看，裴育文和金泰延有一个对脚                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
49'比赛继续，张野中路得球，顺势一领                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
50'看准插上的詹姆斯，一脚斜吊到禁区后角                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
50'詹姆斯跟上凌空弹射，偏出近角                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
50'辽宁没有退路，下半场必须攻出来                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
50'杨善平后场控球，李浩杰拼抢犯规                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
51'辽宁中路推进，到了前场，分边给胡延强，失误出界                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
51'辽宁的进攻还是找不到状态                   48'全场补时3分钟，孙世林补时阶段吃到黄牌
