7'胡尔克拿球反击，顾操回防，战术犯规，勾倒了胡尔克                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
50'颜骏凌出击，抢在巴索戈之前，将球控制！！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
50'吕文君前场左路拿球，强突下底                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
51'顾操补防，放铲将球解围出底线！！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
51'上港获得左侧角球机会，没威胁啊！！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
52'上港前场进攻，赢得中路的任意球机会！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
52'胡尔克和奥斯卡站在球前！！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
52'球进了，1-1！！！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
52'胡尔克的任意球直接破门！！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
93'胡尔克主罚，一蹴而就！！                   93'第93分钟上港用林创益换下武磊，林一出场比赛就结束了，最终上海上港在客场4比2战胜河南建业
93'建业中场的过顶球到禁区！                   93'第93分钟上港用林创益换下武磊，林一出场比赛就结束了，最终上海上港在客场4比2战胜河南建业
94'颜骏凌出击，将球拿到！！！                   93'第93分钟上港用林创益换下武磊，林一出场比赛就结束了，最终上海上港在客场4比2战胜河南建业
94'上港战术犯规：15号林创益上，换下了7号武磊！！！                   93'第93分钟上港用林创益换下武磊，林一出场比赛就结束了，最终上海上港在客场4比2战胜河南建业
95'建业前场右路界外球进来，裁判鸣哨！！                   93'第93分钟上港用林创益换下武磊，林一出场比赛就结束了，最终上海上港在客场4比2战胜河南建业
