8'中圈右侧姜涛把球拦截                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
47'转移到右路，，同伴接球，，原地直接斜传                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
48'传到禁区右侧，朴成停球，，，打门，，一气呵成，，精彩的入球                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
48'小角度的直接爆射                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
52'一方得球，中圈左侧给卡拉斯科，，在向前找里亚斯科斯                   52'第52分钟，一方左路传中后在国安禁区内形成头球摆渡，孙铂小角度攻门被郭全博挡出底线
52'左侧突破到了底线                   52'第52分钟，一方左路传中后在国安禁区内形成头球摆渡，孙铂小角度攻门被郭全博挡出底线
52'横敲一下，再起球到禁区内                   52'第52分钟，一方左路传中后在国安禁区内形成头球摆渡，孙铂小角度攻门被郭全博挡出底线
53'盖坦头球争顶，被后卫挡出                   52'第52分钟，一方左路传中后在国安禁区内形成头球摆渡，孙铂小角度攻门被郭全博挡出底线
53'禁区右侧孙铂拿球，被对方解围出去                   52'第52分钟，一方左路传中后在国安禁区内形成头球摆渡，孙铂小角度攻门被郭全博挡出底线
53'比赛中断了，，金泰延倒地不起                   52'第52分钟，一方左路传中后在国安禁区内形成头球摆渡，孙铂小角度攻门被郭全博挡出底线
60'禁区右侧郭全博出来得到                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
60'大脚开起来                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
60'中圈位置拼抢，，，盖坦控制住                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
60'低球向前交，雷腾龙解围                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
60'中圈右侧国安拿球，遭遇逼抢，王耀鹏犯规了                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
60'国安右路定位球，短传给池忠国                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
60'斜传分右侧姜涛，在横敲                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
61'禁区中路奥古斯托跟进过来，，，直接抽射，，有了                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
61'奥古斯托今天脚风太顺了啊                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
62'一个传球直接吊门但可惜同伴越位无效，还有一个禁区外折射，算在同伴头上，这次终于是没问题了                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
62'国安前场右侧底线处队友接球，横敲到中路，中路的比挨拉向前给了一脚直塞球！禁区内奥古斯托把球得到抽射入网                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
62'一方中圈拿球，卡拉斯科控制                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
62'斜传直塞，右路孙铂没追上                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'国安后场界外球，给出                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'拼抢之后，池忠国把球踢出界外                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'一方右侧界外球，盖坦得球，推进                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'杀到禁区右侧，强突，摔倒了                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'裁判没有理睬                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'国安后场解围                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'朱挺右侧拿球，横敲中间                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'中路崔明安观察一下，选择回敲                   60'第60分钟，国安再度入球：比埃拉中路送出巧妙的外脚背塞球，奥古斯托禁区内低射破门，国安3-1领先
63'国安后场界外球，给出                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
63'拼抢之后，池忠国把球踢出界外                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
63'一方右侧界外球，盖坦得球，推进                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
63'杀到禁区右侧，强突，摔倒了                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
63'裁判没有理睬                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
63'国安后场解围                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
63'朱挺右侧拿球，横敲中间                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
63'中路崔明安观察一下，选择回敲                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
64'张翀大脚开出来                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
64'右侧盖坦没有停住，，球出界了                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
64'边线球，国安发出来，奥古斯托拿球                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
64'原地的斜长传，，转移到右侧                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
64'姜涛得球，，底线附近，，一脚传中                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
64'禁区内巴坎布把球碰到，禁区左侧插上                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
65'奥古斯托接应，，直接抽射，，擦着横梁飞出                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
65'险些又进了，，这么踢要花了                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
65'张翀大脚开起来                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
65'中圈附近国安得球，短传给身前，，右侧单鹏飞把球破坏                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'界外球，国安边路横敲，被断了                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'崔明安斜传，，左侧找卡拉斯科                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'大步流星的推进，，到禁区前沿                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'张瑀把球拦截                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'回敲给郭全博，，，大脚再起                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'金泰延中圈得球，自己往前推进                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'中路横敲，给到右侧姜涛                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
66'低球直塞，禁区右侧比埃拉跟进                   63'第63分钟，奥古斯托准确长传右路，姜涛大力抽传将球送入禁区，快速包抄的奥古斯托在小禁区前摆脱攻门将球打高
68'外围朴成跟上，，凌空远射，高了                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
68'张翀门球开出来                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
68'前场右侧里亚斯科斯得球，遭遇逼抢                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
68'裁判哨响，，，国安的犯规                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
68'一方前场右侧定位球，盖坦主罚                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
69'送到禁区之内，崔明安头球一甩，，有了                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
69'一方踢的很有韧劲，再追一球                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
69'这个球国安的防守问题很大，太松懈了，让对手顶的很舒服啊                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
70'前场右侧底线附近，盖坦任意球开到禁区内，崔明安身边无人盯防，从容的跟进头球破门                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
70'孙铂右路拿球，横敲给同伴                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
70'国安上抢犯规了                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'前场右侧定位球，继续盖坦主罚                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'任意球开出来。吊入禁区                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'郭全博，，双拳出击，打出来                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'中圈位置，国安把球得到，分左路                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'比埃拉接球，直塞向前                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'裁判哨响，，比埃拉接球时候越位了                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'一方后场把球开起来                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
71'双方的拼抢，，争顶，，哨响了                   68'第68分钟，一方扳回一球：盖坦将右侧定位球传入禁区，崔明安小禁区线前头球破门，比分追为2-4
72'给的是边线球                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
72'国安左侧界外球，回敲后场                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
73'在交给回撤的张稀哲，长传向前                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
73'奥古斯托得球，杀入禁区                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
73'在敲到门前，巴坎布跟上，一记推射                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
73'距离门将太近了，，没角度，，踢在门将身上                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
73'第二点一方迅速的解围                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
73'左侧周挺拿球，低球向前给                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
74'国安还是拦截回来，，国安牢牢控制着主动                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
74'右侧给姜涛，，向前分到中圈                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
74'左侧在交给禁区内前插的比埃拉，马上形成单刀了                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
74'杨善平跟防，把球破坏出来，好悬                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
74'左侧张稀哲拿球，横敲，朴成                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
75'再分右路，奥古斯托短传身前                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
75'底线附近，姜涛再横敲                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
75'禁区中路，巴坎布跟上，，一脚推射。。。。又进了                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
75'巴坎布，梅开二度。不过裁判要看VAR                   72'第72分钟，国安快攻中奥古斯托将球传至门前，巴坎布近距离包抄被门将挡出
75'再分右路，奥古斯托短传身前                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
75'底线附近，姜涛再横敲                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
75'禁区中路，巴坎布跟上，，一脚推射。。。。又进了                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
75'巴坎布，梅开二度。不过裁判要看VAR                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
76'不知道视频裁判在耳机中跟主裁说了什么                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
76'裁判回来，，坚定的吹罚，进球有效，没问题                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
77'姜涛前场右侧底线处横敲了禁区中路！比挨拉轻轻一做，门前巴坎布推射得分                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
77'今天是进球盛宴啊                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
77'一方的进攻，中路孙铂                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
77'调整一下，外围突施冷箭，，，打在后卫身上弹回                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
77'孙铂拿球，回敲给杨善平                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
77'前场巴坎布跟进，，把球捅出边线                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
77'一方界外球，给出来                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
78'奥古斯托上抢，，犯规了                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
78'右侧定位球，大范围的转移                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
78'左侧到了单鹏飞脚下，斜传                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
78'中圈附近再挑传，，左路一方传中到门前                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
78'郭全博，，禁区内把球没收                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
78'手抛球给出来                   75'第75分钟，巴坎布终把握机会收获入球：姜涛右路底线前传中，比埃拉中路拼抢令皮球来到小禁区线附近，巴坎布捅射将皮球送张翀两腿间送入球门，主裁在视频助理辅助下判定入球有效，比分变为5-2，梅开二度的巴坎布本赛季入球数提升到13球
80'短传身前比埃拉，前场右侧带球                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
80'突破，连续的盘带，，到了禁区内                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
80'小角度抽射，张翀把球没收                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
80'大脚开起来                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
80'还是国安控制，，国安右侧继续猛攻                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
80'奥古斯托禁区右侧得球转身，，，直接再来                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
80'张翀把球托出了底线                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
81'张翀很忙                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
81'左侧角球，，国安开起来                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
81'禁区中路争顶，，，第一点被解围                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
81'中圈附近的拼抢，，汪晋贤犯规了。。。                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
81'刚才汪晋贤是替下了卡拉斯科                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
81'池忠国中圈持球                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'斜传到左侧，张稀哲拿球横敲                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'再转移，到了右路给姜涛                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'回敲身后，，池忠国短传到身前                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'比埃拉分球给身边奥古斯托                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'内切，，，再给身前，，被王耀鹏解围                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'国安后场得球，重新组织                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'现在成国安的进攻表演了                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
82'朴成中路拿球，分左侧池忠国                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
83'在转右路给奥古斯托，挑传到禁区                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
83'王耀鹏再次的解围                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
83'外围比埃拉右路得球，分姜涛，，再给身前                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
83'底线附近奥古斯托护球，横敲给插上的姜涛                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
83'姜涛把球一领，内切往禁区内走                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
83'但是带出去了，在对手的干扰下                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
83'一方门球，张翀开起来                   80'比赛80分钟后双方开始连续换将，曾在国安长期效力的周挺下场时得到了工体球迷的掌声
