1'上半场比赛开始，泰达队首先开球                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
75'边线球的配合，邹正右路回传莫拉德，莫拉德停球从肋部突入禁区后再次横穿中路，郑龙插上左脚弹射命中！！！                   72'第72分钟，天津队左路传中，郭亮解围却踢到门前，瓦伦西亚试图头球时被邹正抢先顶出了底线
75'场面稍显被动的青岛中能客场2比0领先天津泰达                   72'第72分钟，天津队左路传中，郭亮解围却踢到门前，瓦伦西亚试图头球时被邹正抢先顶出了底线
80'传球脚法实在难以恭维                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
80'青岛转移到右路布鲁诺，看了一下禁区后右脚外脚背搓到后点，莫拉德在那里                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
81'球还在青岛脚下控制                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
81'泰达队这些场上人员组成让人看不出一点要进球，要扳平比分的意思                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
82'布鲁诺后脚跟过人摆脱白岳峰后被绊倒                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
83'布鲁诺下场接受治疗，比赛继续                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
83'比分领先后青岛队感觉状态也出来了                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
83'控球率反而上来                   80'第80分钟，曹阳险些忙中出错被布鲁诺断球，幸好杨启鹏快速出击大脚解围
85'王新欣右路传中后点邹正用手把球挡出底线                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
85'主裁判给角球                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
85'泰达队球员围住主裁判申诉，主裁判李海河在和边裁取证后改判点球                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
85'泰达拿到点球                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
85'尤万希奇主罚                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
86'点球命中！！！尤万希奇把球推向球门右侧！！！                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
86'比分改写为1比2！！                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
86'尤万希奇也是打进了本赛季个人首球                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
86'比赛时间还有，泰达队最后的反扑                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
87'曹阳后场突然上抢断球，随后传球又交给了青岛球员                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
87'还是太着急了                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
88'泰达长传球被尤万希奇头球摆渡下来，瓦伦西亚禁区里停球转身抽射再次被牟鹏飞扑出                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
88'边线球掷入禁区，第一点解围出来                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
88'外围曹阳再打门被挡了一下后，门将把球没收                   85'第85分钟，天津队传中造成禁区内一片混乱，毛彪凌空射门再次被挡出
88'泰达长传球被尤万希奇头球摆渡下来，瓦伦西亚禁区里停球转身抽射再次被牟鹏飞扑出                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
88'边线球掷入禁区，第一点解围出来                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
88'外围曹阳再打门被挡了一下后，门将把球没收                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
89'禁区里尤万希奇又有机会，抗住刘健强行打门赢得角球                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
89'前点瓦伦西亚顶了一下直接出了另一侧的底线，门球                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
89'补时3分钟                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
90'毛彪倒在对方禁区里，主裁判没有判罚                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
90'留给天津泰达的时间不多了                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
91'王新欣再从中场往禁区里吊                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
91'没有机会，白岳峰防守踢倒了莫拉德                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
91'还有最后1分钟                   88'第88分钟，尤万西奇头球摆渡，瓦伦西亚胸部停球后扫射，却再次被牟鹏飞扑出
