1'比赛开始                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
43'李光得球直塞                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
43'被龙威断下                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
43'佩西诺维奇反断                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
43'给到严智宇                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
43'直接传中                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
44'被顾操顶出来                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
44'冯卓毅得球给到伊沃                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
44'分王上源                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
44'一脚直塞                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
44'被断了                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
44'里卡多被伊哈洛放倒                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'任意球                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'上半场即将结束                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'建业队得到一个任意球                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'开开到禁区后点                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'被顶出来                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'柯钊控制球权                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'起高球传中                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
45'被顶出                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'建业队员控制球权不紧不慢                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'上半场补时两分钟                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'柯钊下底传中                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'被孙捷破坏                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'亚泰反击                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'阿德里安带球                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'带到禁区右侧                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'内切                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'建业队抢断了                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'建业反击                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'比赛开始                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'亚泰球权                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'何超得球，传回后场                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'分左侧佩西诺维奇                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'佩西诺维奇组织                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'交给右侧孙捷                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'孙捷大脚开出                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'双方中路混战                   43'第43分钟，建业获得中场右侧的任意球机会，定位球给到门前被顶出来，外围柯钊得球吊到禁区，巴索戈停球还是被解围出来
46'建业队员控制球权不紧不慢                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'上半场补时两分钟                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'柯钊下底传中                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'被孙捷破坏                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'亚泰反击                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'阿德里安带球                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'带到禁区右侧                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'内切                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'建业队抢断了                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'建业反击                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'前场左路里卡多一记挑传                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'找巴索戈                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'大了                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'球被祎凡得到                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'给到张笑飞                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'得球后传球打到杨阔手上                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'亚泰任意球                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'谭龙得球吊向禁区                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'裁判一声哨响，上半场比赛结束                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'比赛开始                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'亚泰球权                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'何超得球，传回后场                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'分左侧佩西诺维奇                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'佩西诺维奇组织                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'交给右侧孙捷                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'孙捷大脚开出                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'吴龚直接得球                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'吴龚得球时被谭龙顶了一下，不过事情不大                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'亚泰界外球                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'伊哈洛得球                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
47'传中被建业队解围                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'传给巴索戈                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'得球后内切                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'挑传到中路                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'给伊沃，没得到                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'后点杨阔得到                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'杨阔被严智宇放到了                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
48'任意球                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
49'建业队禁区右侧得到任意球                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
49'开到中点                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
49'严智宇解围                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
49'中圈右侧双方争抢                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
46'双方中路混战                   46'第46分钟，杨阔被严智宇放倒，建业获得定位球机会，但是没有形成威胁
52'于睿掷出                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
52'陈灏第一点顶出来                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
52'柯钊得球                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
52'自己带到禁区附近                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
53'被蒋哲放到了                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
53'任意球                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
53'伊沃来处理                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
53'开出后被顶到后点                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
54'双方一片混战                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
54'何超把球踢出边线                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
54'建业队边线球                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
54'快发到前场                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
54'王上源得球                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
54'挑传传大了直接出底线                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
55'门球                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
55'祎凡发出                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
55'大脚往前开                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
55'第一点被陈灏顶到                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
55'给到右侧杨阔                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
55'球被亚泰断了                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
55'先给回门将                   52'第52分钟，伊沃中路突破被何超放倒，建业定位球伊沃亲自主罚吊向禁区，祎凡出击将球没收
59'蒋哲得球                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
59'给到跟进的伊哈洛                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
59'伊哈洛背后被顾操踢到                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
59'黄牌                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
59'阿德里安处理                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
60'任意球吊向禁区                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
60'佩西诺维奇头球吊射！                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
60'球进啦                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'阿德里安任意球吊向禁区，中点的佩西诺维奇抢点头球吊球门，越过了吴龑的头顶！！！                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'比赛继续                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'现在建业前场里卡多得球                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'给到跟进的巴索戈                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'巴索戈得球后没处理好                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'球出边线，亚泰球权                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'蒋哲掷出                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'伊哈洛得球                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
61'被断了！                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
62'建业中路过顶直塞                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
62'被孙捷踢出边线                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
62'边线球                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
62'伊哈洛在场内十分痛苦的倒地了                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
62'队医进场了                   59'第59分钟，伊哈洛背后被顾操放倒，顾超吃到黄牌并送给亚泰定位球机会，阿德里安开出任意球吊向禁区
66'伊哈洛自己带                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
66'反击                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
66'给到禁区内插上的谭龙                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
66'被断了                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
66'柯钊直塞前场                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
66'巴索戈得球横向扫传                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
66'球被破坏出边线                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'建业边线球                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'掷出后禁区内一片混战                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'球出界，还是建业球权                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'龙威得球                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'大脚往前开                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'巴索戈得球，强硬的下底传中                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'于睿碰出底线                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
67'角球                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'开到前点                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'被解围到了外围                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'建业队球权                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'禁区内混战                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'里卡多得球球权                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'单刀了！                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'射门！                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
68'球进啦！！！！                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
69'禁区内混战中里卡多抓住机会接王上源头球摆渡，形成单刀球推射，帮助球队扳平比分！！！！                   66'第66分钟，巴索戈得球下底被于睿破坏出底线，建业右路角球开出来被亚泰解围出来，但是没有解围远，外围王上源头球摆渡再度给到门前，里卡多插上单刀一脚推射破门
70'亚泰队抱怨称有越位，裁判表示不会改判                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
70'比赛继续                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
70'谭龙得球传中，禁区内无人接应，球出底线。门球                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
70'吴龚大脚开到前场右侧                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
71'何超大脚解围出边线                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
71'建业队球权                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
71'建业界外球掷出，亚泰队得球，被犯规                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
71'亚泰人已去                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
71'亚泰队任意球                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
71'阿德里安长传                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
72'被巴索戈抢断                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
72'里卡多带到禁区打门                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
72'被挡出                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
72'伊沃跟进补射                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
72'被祎凡神勇扑出                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
72'严智宇倒在了自己的禁区                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
72'让我们看看情况怎样                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
73'亚泰队换人了                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
73'李光被换下                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
73'周大地上场                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
73'比赛继续                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
73'伊沃得球                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
73'面对三人合围                   70'第70分钟，建业继续进攻，里卡多突然入禁区一脚打门，打在了佩西诺维奇的身上弹出，跟上的伊沃再次射门，被祎凡扑出
73'亚泰队换人了                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
73'李光被换下                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
73'周大地上场                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
73'比赛继续                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
73'伊沃得球                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
73'面对三人合围                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
74'直传前场的里卡多                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
74'回做伊沃                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
74'伊沃没控制住                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
74'被解围了                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
74'球权还在建业队脚下                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
74'杨阔组织                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
74'直接吊向禁区                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
75'祎凡奋勇扑出                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
75'柯钊把谭龙推到了                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
75'吃大了黄牌                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
75'亚泰把球回给后场                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
75'于睿给到蒋哲                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
75'蒋哲挑传禁区                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
75'伊沃断球                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
76'跟上的亚泰队员一记飞铲                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
76'任意球                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
76'建业的教练们非常愤怒                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
76'围住了裁判                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
76'何超对伊沃的飞铲                   73'第73分钟，柯钊背后把谭龙推倒吃到黄牌一张
