1'上半场比赛开始                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
74'崔鹏在前场断球，右路斜传禁区，尼库莱没能顶到                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
75'王刚右路强突到禁区内，被放倒了！！！                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
75'不过主裁判示意是角球                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
75'鲁能泰山队换人：买提江上场换下了受伤的吕征                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
76'买提江发角球到禁区内，王大雷把球得到                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
76'王大雷大脚开球到前场，哈蒂布的速度也够快的                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
76'安塔尔中场得球，过中场分到右路                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
76'马塞纳得球，交给崔鹏                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
76'马塞纳突破被两人关门把球抢断下来                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
77'王彤挑传球，不过王刚被挡在了身后                   74'第74分钟王刚在右路人球分过两人，但被斯基亚维最后时刻挡出
77'王彤挑传球，不过王刚被挡在了身后                   77'第77分钟申花中场右路组织进攻，莫雷诺“剪刀脚”送球，托兰佐拿球后略微观察后，突然传出绝妙身后球，哈蒂布反越位成功，单刀拿球直扑禁区， 面对耿晓峰推地面球破门，2比1，申花反超
78'上海申花队进球了，哈蒂布，2-1反超                   77'第77分钟申花中场右路组织进攻，莫雷诺“剪刀脚”送球，托兰佐拿球后略微观察后，突然传出绝妙身后球，哈蒂布反越位成功，单刀拿球直扑禁区， 面对耿晓峰推地面球破门，2比1，申花反超
79'托兰佐右路得球 斜传禁区，哈蒂布抢点劲射破门！！                   77'第77分钟申花中场右路组织进攻，莫雷诺“剪刀脚”送球，托兰佐拿球后略微观察后，突然传出绝妙身后球，哈蒂布反越位成功，单刀拿球直扑禁区， 面对耿晓峰推地面球破门，2比1，申花反超
80'鲁能泰山队换人：杨旭上场换下尼库莱                   77'第77分钟申花中场右路组织进攻，莫雷诺“剪刀脚”送球，托兰佐拿球后略微观察后，突然传出绝妙身后球，哈蒂布反越位成功，单刀拿球直扑禁区， 面对耿晓峰推地面球破门，2比1，申花反超
80'莫雷诺后场接球，被郑铮断下来                   77'第77分钟申花中场右路组织进攻，莫雷诺“剪刀脚”送球，托兰佐拿球后略微观察后，突然传出绝妙身后球，哈蒂布反越位成功，单刀拿球直扑禁区， 面对耿晓峰推地面球破门，2比1，申花反超
80'莫雷诺假摔，主裁判并没有吹                   77'第77分钟申花中场右路组织进攻，莫雷诺“剪刀脚”送球，托兰佐拿球后略微观察后，突然传出绝妙身后球，哈蒂布反越位成功，单刀拿球直扑禁区， 面对耿晓峰推地面球破门，2比1，申花反超
83'安塔尔中场传球失误                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
83'马塞纳斜传球到禁区内交给王刚，漂亮啊！可惜越位                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
84'王大雷大脚开球到前场，买提江左路失误，球出界                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
84'郑铮左路抢到球，王寿挺犯规                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
85'郑铮左路横传，皮球滑门而过                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
85'崔鹏右路突破到禁区内，徐亮把球破坏出底线，角球                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
85'买提江发角球到禁区内，球到后点，王刚再传到禁区内，杜威打门没能踢到啊                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
86'球到右路，李建滨把球破坏出底线，继续角球                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
86'角球发到禁区内，王刚冲撞门将                   83'第83分钟徐亮飞铲马塞纳吃到黄牌
88'经过治疗，王大雷站了起来                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
88'比赛继续                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
88'上海申花队右路长传，球出边线                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
88'哈蒂布又受伤坐在地上，裁判示意担架进场                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
89'上海申花队要准备换上18号郑凯木                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
89'马塞纳右路斜传禁区，对方抢点把球顶出                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
89'上海申花队换人：郑凯木上场换下补抬出的哈蒂布                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
90'下半场补时4分钟                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
91'鲁能泰山队发出界外球了，但主裁判哨响，重发                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
91'给了郑凯木一张黄牌                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
91'下半场要补时 4 分钟                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
91'王大雷发球故意延误时间，也吃到黄牌                   88'第88分钟哈蒂布大概是脚踝受伤，他倒地不起，郑凯木将其换下
91'鲁能泰山队发出界外球了，但主裁判哨响，重发                   91'第91分钟王大雷因为拖延时间也吃到黄牌
91'给了郑凯木一张黄牌                   91'第91分钟王大雷因为拖延时间也吃到黄牌
91'下半场要补时 4 分钟                   91'第91分钟王大雷因为拖延时间也吃到黄牌
91'王大雷发球故意延误时间，也吃到黄牌                   91'第91分钟王大雷因为拖延时间也吃到黄牌
92'后场鲁能泰山队得球，还是走右路进攻                   91'第91分钟王大雷因为拖延时间也吃到黄牌
92'鲁能泰山队长传前场，王刚抢球犯规                   91'第91分钟王大雷因为拖延时间也吃到黄牌
92'托兰佐左路突破，马塞纳抢球犯规                   91'第91分钟王大雷因为拖延时间也吃到黄牌
93'任意球发出来，宋博轩受伤倒在地上                   91'第91分钟王大雷因为拖延时间也吃到黄牌
93'主裁判示意比赛继续，鲁能泰山队发球后右路进攻                   91'第91分钟王大雷因为拖延时间也吃到黄牌
93'徐亮抢到球，马塞纳抢球犯规                   91'第91分钟王大雷因为拖延时间也吃到黄牌
94'鲁能泰山队快速反击，多好的机会啊，中路分到左路，可惜买提江的打门放高射炮了！                   91'第91分钟王大雷因为拖延时间也吃到黄牌
94'这可是最后的机会啊                   91'第91分钟王大雷因为拖延时间也吃到黄牌
93'任意球发出来，宋博轩受伤倒在地上                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
93'主裁判示意比赛继续，鲁能泰山队发球后右路进攻                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
93'徐亮抢到球，马塞纳抢球犯规                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
94'鲁能泰山队快速反击，多好的机会啊，中路分到左路，可惜买提江的打门放高射炮了！                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
94'这可是最后的机会啊                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
95'鲁能泰山队大脚开球到前场，王大雷把球没收                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
95'全场比赛结束，鲁能泰山队在1-0领先的情况下被对方连进两球，1-2负于上海申花队                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
95'鲁能泰山队也终结四连胜，本赛季第一场输球。不过鲁能泰山队在上半场发挥相当出色，而下半场上海申花队的进攻相当犀利。                   93'第93分钟鲁能连续配合终于打到申花禁区前沿，但买提江左路拿球后，右脚背抽球门后角踢高
