1'上半场由重庆力帆中圈开球                   1'刚开场1分钟，申花右路传中，刘宇解围险些把球打进自家大门
70'费尔南多仍然挨在右路，传中，卡尔德克差一点没有顶到球                   67'第67分钟费尔南多直塞球，王林和李建滨抢在王栋之前去截球，李帅同时出击，慌乱中球打在李建滨身上出界，裁判判罚角球，还以为王栋碰出去的王林很不满，好在角球没造成威胁
72'力帆又获得一个左侧的角球机会                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
72'是一个任意球同，靠近角球区                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
72'王栋发任意球没有搓起来                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
72'双方准备换人了                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
73'是力帆先换人，16号王维成换下了30号谭望蒿！                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
73'谭望蒿这一侧面对曹赟定比较吃力                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
73'卡尔德克右路突破，金基熙转身快将球让出底线                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
74'上海绿地申花换人，19号郑凯木换下了11号吕征                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
74'绿地申花是要国强中场的拦截                   71'两队开始换人，第71分王维成换下谭望嵩，第72分钟郑凯木换下吕征
74'上海绿地申花换人，19号郑凯木换下了11号吕征                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
74'绿地申花是要国强中场的拦截                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
75'曹赟定的带球，卡尔德克反抢犯规                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
75'卡尔德克吃到黄牌                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
75'秦升不知为何喋喋不休                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
75'裁判果断掏黄牌警告秦升！                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
76'秦升这是很不智的行为                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
76'吴庆背后踢人犯规                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
77'曹赟定推进，交给柏佳骏                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
77'传中，传大了                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
77'后点还有郑凯木                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
77'回传，王栋送过顶，刘宇将球踢出底线                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
77'绿地申花右路的角球机会                   74'第74分钟秦升突然对着裁判大声叫嚷吃到黄牌
79'郑又荣控球分给徐洋                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
79'直传被秦升拦截                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
79'莫雷诺背身接应被徐洋推倒                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
79'金基熙长传上来，马丁斯护好球短传，郑凯木跑过了                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
80'米洛维奇长传上来，卡尔德克头球后                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
80'李建滨顶第二点顶嗤了，不过自己转身快伸脚将球踢走                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
80'不过力帆还有机会                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
80'费尔南多扳平了比分！                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
81'吴庆生生世世传右肋部，卡尔德克倒三角传中，无人看防的费尔南多推射入网！                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
82'费尔南多右路又来了，内切过人，速度太狂野                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
82'柏佳骏倒地勉强将球铲走                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
82'王栋带球上来交给卡尔德克                   79'第79分钟重庆队长传右路，卡尔德克在底线附近接球后略微观察，随后把球送到中路，跟进到位的费尔南多起左脚凌空推射得分，2比2，重庆队扳平
83'王栋过渡到右侧，王给成传中，费尔南多停球时手球了                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
83'莫雷诺前场带球时倒地，这回主裁判没有吹                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
84'力帆后劲凌厉                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
85'米洛维奇长传，王栋后排插上面对李帅脚弓一端，球是越过了李帅但也高出横梁                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
85'曼萨诺走到场边说着什么                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
86'马丁斯护球交给曹赟定，远射打太偏了                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
86'费尔南多小角度打门被李帅扑出                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
86'王维成传中被解围                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
86'曹赟定右侧斜传，马丁斯来迟半步                   83'第83分钟米洛维奇斜长传到左侧，王栋破了越位陷阱，但他面对李帅挑射打高
84'力帆后劲凌厉                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
85'米洛维奇长传，王栋后排插上面对李帅脚弓一端，球是越过了李帅但也高出横梁                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
85'曼萨诺走到场边说着什么                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
86'马丁斯护球交给曹赟定，远射打太偏了                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
86'费尔南多小角度打门被李帅扑出                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
86'王维成传中被解围                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
86'曹赟定右侧斜传，马丁斯来迟半步                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
87'王维成将球踢走                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
87'柏佳骏的传中，莫雷诺冲撞门将犯规                   84'第84分钟马丁斯中路横传，曹赟定远射打偏
88'莫雷诺直摇头                   88'第88分钟费尔南多远射打偏
88'力帆是含着一口气要反超比分                   88'第88分钟费尔南多远射打偏
89'比赛还有5-6分钟                   88'第88分钟费尔南多远射打偏
89'王栋回接，直传，过不了王赟                   88'第88分钟费尔南多远射打偏
90'费尔南多中路断球，直接打远射，打嗤了！                   88'第88分钟费尔南多远射打偏
90'上海绿地申花换人，8号张璐换下了23号柏佳骏                   88'第88分钟费尔南多远射打偏
90'费尔南多变向，交给卡尔德克，回传                   88'第88分钟费尔南多远射打偏
91'费尔南多左脚爆射，打嗤了！                   88'第88分钟费尔南多远射打偏
91'力帆球员的体能占明显优势                   88'第88分钟费尔南多远射打偏
91'李帅大脚开上来，又是力帆球                   88'第88分钟费尔南多远射打偏
91'费尔南多中路分右路的王维成，李建滨顶到第一点                   88'第88分钟费尔南多远射打偏
91'下半场补时4分钟                   88'第88分钟费尔南多远射打偏
89'比赛还有5-6分钟                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
89'王栋回接，直传，过不了王赟                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
90'费尔南多中路断球，直接打远射，打嗤了！                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
90'上海绿地申花换人，8号张璐换下了23号柏佳骏                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
90'费尔南多变向，交给卡尔德克，回传                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
91'费尔南多左脚爆射，打嗤了！                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
91'力帆球员的体能占明显优势                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
91'李帅大脚开上来，又是力帆球                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
91'费尔南多中路分右路的王维成，李建滨顶到第一点                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
91'下半场补时4分钟                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
92'丁捷直传，卡尔德克快要单刀了，不过是越位在先了                   89'第89分钟费尔南多接卡尔德克送球后，再次远射打偏
