5'莫德斯特前场反抢下手                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
56'再分身边赵旭日，，低球斜传                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
56'前场左侧找到帕托，，停下来                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
56'突然的加速，变向，被白岳峰破坏出界                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
57'权健左侧界外球，给出来，拼抢                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
57'权健碰出界外                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
57'泰达右侧界外球，给到中圈                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
57'维特塞尔拼抢下来，斜传中路给孙可                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
57'停球有点踉跄，，但还是拿回来                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
57'分右路张诚，低球斜传，，直接被买提江断下                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
57'一脚低球直传，孙可把球挡下                   54'天津权健在第54分钟扳平比分——右路孙可一记弧线球传中，禁区后点莫德斯特把球停下，一脚抽射被杜佳扑出
58'泰达左侧界外球，给出来，又是被维特塞尔拦截                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
58'分左路糜昊伦，带球推进，横敲                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
58'禁区外找到维特塞尔，分身边帕托                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
58'低球直塞向前，小禁区左侧莫德斯特                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
58'又来，，左脚大力爆射，，杜佳又是一次关键扑救，，，挡出底线                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
58'莫德斯特今天多次机会没有把握啊                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
58'左侧权健角球开起来                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
59'吊向小禁区前沿，巴斯蒂安斯头球解围                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
59'大禁区前沿帕托得球，，凌空抽射                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
59'邱添一一脚挡出了底线                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
59'右侧角球，，权健开出来                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
59'送到禁区，，前点，，又是莫德斯特                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
59'跟上头球一顶，，，直接被杜佳扑住                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
59'杜佳大脚开起来                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
60'中圈附近拼抢，赵旭日把球断下来                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
60'向前一脚直塞                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
60'给小了，，巴斯蒂安斯把球断下，回敲门将                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
60'杜佳大脚开起来                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
60'前场右侧赵英杰拿球                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
60'低球斜传，小禁区右侧李源一插上，，倒地了                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
60'裁判没有表示                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
61'泰达换人，，杨帆替下赵英杰                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
61'权健的进攻，禁区左侧帕托拿球                   58'第58分钟，帕托禁区弧顶斜塞，莫德斯特插上大力抽射被杜佳扑出
72'泰达右侧定位球，挑传                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
72'孙可后场把球断下，回敲给到张诚                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
72'身前送一记斜传，，中路莫德斯特得球                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
72'低球向前直塞，小禁区左侧郑达伦插上                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
72'转身一脚抽射，，打在杨帆身上                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
72'外围赵旭日拿球，调整一下，外围自己远射，，太正了                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
72'杜佳直接把球没收                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
72'杜佳今天的表现相当不错啊                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'大脚开起来                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'中圈附近的拼抢，惠家康断下，，回敲身后曹阳                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'遭遇逼抢，，郑达伦把球断下来                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'横敲给到莫德斯特，护球                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'拿球被邱添一铲倒                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'权健左侧定位球，开起来                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'回到后场给刘奕鸣，低球斜传                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'右路找到张诚，，向前送一个直传                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
73'直接被巴斯蒂安斯拦截                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'分左侧在给买提江，，向前挑传                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'阿奇姆彭迅速前插，，越位了                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'速度是真快啊                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'权健后场把球开起来                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'到了右路找到张诚，，大脚开起来                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'前场右侧争顶，，赵旭日拦下                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'权健这边有球员倒地                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
74'张诚把球踢出界外，是孙可受伤                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
75'孙可争顶中被巴斯蒂安斯打到面部                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
75'问题不大，，缓一下，没事                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
75'王杰后场拿球，，一个斜传，，给的太大。。被杜佳没收                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
75'杜佳开起来                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
75'中圈附近曹阳得球，低球交给左路                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
75'巴斯蒂安斯拿球，一记过顶直传                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
75'张诚头球一顶，顶给王永珀                   72'第72分钟，赵旭日在禁区边缘凌空抽射被杜佳没收
83'向前送一个直传，，莫德斯特插上，越位了                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
83'泰达后场定位球                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
83'给到前场右侧，，米克尔得球                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
83'向前一记直塞                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
83'给的很妙啊，，又是阿奇姆彭                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
83'猎豹的速度，，插上，小禁区前沿，，凌空抽射，，扳平                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
83'阿奇姆彭梅开二度，，，扳平。。。                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
84'米克尔也是助攻梅开二度了啊                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
84'泰达这两大外援，太重要                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
84'前场右路！！米克尔往前送出一记直传球，给到大禁区前沿右侧插上的阿奇姆彭，顺势一让左脚抽射！皮球势大力沉直入球门                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
84'比赛一波三折，，泰达领先，被扳平，被反超，，又扳平                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'继续看比赛，权健进攻，一记传中                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'小禁区前沿莫德斯特杀到，凌空垫射                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'近在咫尺啊，，杜佳把球居然封出去了                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'权健左侧角球                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'开起来，，吊向禁区前点                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'米克尔头球解围                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'外围张诚拦下，，一记斜传                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
85'前场左侧王永珀得球，，弧线球再起                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
86'禁区前点邱添一解围                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
86'外围杨万顺拿球，斜传，左路给到惠家康                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
86'一记横敲，中路交给杨帆                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
86'禁区外左脚怒射，打高了                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
86'权健的门球，，张鹭大脚开起来                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
86'中圈附近拼抢，阿奇姆彭被对手放倒在地                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
86'阿奇姆彭非常生气，不满对手动作                   83'第83分钟，泰达左侧角球开出，邱添一抢点头球攻门稍稍偏出
90'想让给张鹭，，，但是这球，，，失误了啊                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
90'送大礼了啊                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
90'惠家康捅了一脚                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
90'右侧阿奇姆彭插上，，空门了                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
90'一脚推射，，，反超，，绝杀啊                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
90'阿奇姆彭帽子戏法，，力助球队再次领先啊                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
91'这球张诚失误，送大礼啊                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
91'张诚后场回传门将失误，被惠家康一脚捅出，小禁区右侧阿奇姆彭拍马赶到！一脚推射空门得手                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
91'比赛已经到了补时阶段                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
91'右路郑达伦拿球，一记横敲                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
91'米克尔直接把球拦下                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
91'下半场补时4分钟                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
92'米克尔身前送一脚斜传                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
92'这球给大， 直接出界了                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
92'权健右侧界外球，给到刘奕鸣                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
92'大脚开起来，，中路曹阳把球断下                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
92'遭遇逼抢，，曹阳被放倒了，，痛苦的倒地                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
93'来自赵旭日的犯规                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
93'镜头一直在给张诚，，非常郁闷，一直捂着脸                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
93'张诚被苏缘杰替下                   90'状态奇佳的阿奇姆彭在第90分钟上演帽子戏法——泰达队长传禁区，张诚倚住惠家康胸部停球，想要让门将张鹭出来拿球，但惠家康机警一捅把球捅出，阿奇姆彭跟进推射空门，3-2
