3'前场特维斯接应，在回敲陶金                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
68'左侧买提江把球开起来，送到禁区内前点                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
68'马丁斯的头球解围出底线，角球                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
68'买提江左侧开起来，还是找前点，瓜林的解围                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
69'外围右侧特维斯得球，长传到前面找马丁斯                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
69'前场右侧拿球，横敲中间跟上的瓜林                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
69'瓜林再分左路，白岳峰一脚解围出去                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
69'申花后场倒脚，陶金给到孙世林                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
69'面对逼抢，在给回去，陶金拿球，长传到右侧                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
69'前方找到马丁斯，趟一步，趟的太大了啊。直接送给门将了                   66'第66分钟毕津浩拉拽阿奇姆蓬吃到黄牌
74'向前挑传，左侧马丁斯接球反击刚要走一波                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
74'米克尔战术犯规，干翻了对手，吃到黄牌                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
74'后场左侧申花定位球，瓜林开起来                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
74'中路马丁斯跑位，又被放倒了，无球跑动被买提江拉倒                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
75'马丁斯和买提江有点摩擦，火气都很旺啊                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
76'禁区外中路不错的位置，申花定位球机会                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
76'瓜林主罚，，瓜林助跑，攻门，，贴地斩，杜佳侧扑把球没收                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
76'杜佳手抛给左侧赵宏略                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
77'长传转移，前场左侧找到阿奇姆彭，接球转身被毕津浩破坏出去                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
77'泰达换人用李源一替下白岳峰                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
77'泰达这是要强夺3分的节奏啊，其实1分也行，身后2个对手这轮都是非平即负                   74'第74分钟马丁斯前场冲击制造任意球机会，瓜林大力怒射打穿人墙，但被杜佳倒地扑住
75'马丁斯和买提江有点摩擦，火气都很旺啊                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
76'禁区外中路不错的位置，申花定位球机会                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
76'瓜林主罚，，瓜林助跑，攻门，，贴地斩，杜佳侧扑把球没收                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
76'杜佳手抛给左侧赵宏略                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
77'长传转移，前场左侧找到阿奇姆彭，接球转身被毕津浩破坏出去                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
77'泰达换人用李源一替下白岳峰                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
77'泰达这是要强夺3分的节奏啊，其实1分也行，身后2个对手这轮都是非平即负                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
78'泰达角球再来一个啊                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
78'左侧买提江继续主罚，开起来到禁区中央                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
78'李帅又一次把球拍了出去                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
78'这次没打远，毕津浩补一脚出危险区                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
78'禁区外拼抢买提江得球，被上抢的李运秋断下                   75'第75分钟买提江击打堵住自己跑动线路的瓜林吃到黄牌
84'特维斯助跑，超级暴力斩，擦着右门柱飞出啊，，差点点                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
84'杜佳大脚把球开起来                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
84'前场左侧直接飞出边线                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
84'申花后场李运秋发球，给到马丁斯                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
84'拿球横敲，柏佳骏在给左路特维斯                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
84'控制一下，向前推进，给身前曹赟定，在给特维斯，停球失误，丢了                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
85'泰达后场断球，推进反击                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
85'前场左侧惠家康横敲中路米克尔                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
85'米克尔再分禁区内中路，迪亚涅得球，背对球门                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
85'做给同伴，点球点附近惠家康跟上就射                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
85'毕津浩奋力堵出来                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
86'外围右路杨立瑜拿球，在给李源一，孙世林回来清理出边线                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
86'杨立瑜抽筋了                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
86'王秋明上来，替下了杨立瑜                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
86'申花后场交给李帅，大脚抡出来                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
86'前场左侧曹阳头球破坏                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
87'米克尔中路组织，直传向前，被陶金清理出边线                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
87'阿奇姆彭快发，给到右侧米克尔                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
87'在给身边李源一，右路送入禁区                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
87'禁区内阿奇姆彭接球，调整一下，闪出角度，，兜射                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
87'李帅把球没收，大脚开起来                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
87'前场左侧直接是飞出边线                   84'第84分钟王秋明换下抽筋无法坚持的杨立瑜
86'外围右路杨立瑜拿球，在给李源一，孙世林回来清理出边线                   86'第86分钟李源一带球杀到禁区前沿怒射高出
86'杨立瑜抽筋了                   86'第86分钟李源一带球杀到禁区前沿怒射高出
86'王秋明上来，替下了杨立瑜                   86'第86分钟李源一带球杀到禁区前沿怒射高出
86'申花后场交给李帅，大脚抡出来                   86'第86分钟李源一带球杀到禁区前沿怒射高出
86'前场左侧曹阳头球破坏                   86'第86分钟李源一带球杀到禁区前沿怒射高出
87'米克尔中路组织，直传向前，被陶金清理出边线                   86'第86分钟李源一带球杀到禁区前沿怒射高出
87'阿奇姆彭快发，给到右侧米克尔                   86'第86分钟李源一带球杀到禁区前沿怒射高出
87'在给身边李源一，右路送入禁区                   86'第86分钟李源一带球杀到禁区前沿怒射高出
87'禁区内阿奇姆彭接球，调整一下，闪出角度，，兜射                   86'第86分钟李源一带球杀到禁区前沿怒射高出
87'李帅把球没收，大脚开起来                   86'第86分钟李源一带球杀到禁区前沿怒射高出
87'前场左侧直接是飞出边线                   86'第86分钟李源一带球杀到禁区前沿怒射高出
88'赵宏略发球，给前场阿奇姆彭，横敲李源一                   86'第86分钟李源一带球杀到禁区前沿怒射高出
88'在给买提江，回敲李源一，禁区外加速                   86'第86分钟李源一带球杀到禁区前沿怒射高出
88'突然冲刺起来，外围自己射了，，打飞                   86'第86分钟李源一带球杀到禁区前沿怒射高出
88'李帅门球开起来                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'前场中路马丁斯顶给身边特维斯                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'分到右路给李运秋，在给到王林                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'王林边路护球，买提江把球踢出边线                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'李运秋发球，给中间柏佳骏，斜传左路曹赟定                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'挑传再找前插的柏佳骏                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'插上，左侧下底，传中到门前了                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'杜佳出来直接拿走                   86'第86分钟李源一带球杀到禁区前沿怒射高出
89'大脚开起来，前场直接送出边线                   86'第86分钟李源一带球杀到禁区前沿怒射高出
87'米克尔中路组织，直传向前，被陶金清理出边线                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
87'阿奇姆彭快发，给到右侧米克尔                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
87'在给身边李源一，右路送入禁区                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
87'禁区内阿奇姆彭接球，调整一下，闪出角度，，兜射                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
87'李帅把球没收，大脚开起来                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
87'前场左侧直接是飞出边线                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
88'赵宏略发球，给前场阿奇姆彭，横敲李源一                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
88'在给买提江，回敲李源一，禁区外加速                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
88'突然冲刺起来，外围自己射了，，打飞                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
88'李帅门球开起来                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'前场中路马丁斯顶给身边特维斯                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'分到右路给李运秋，在给到王林                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'王林边路护球，买提江把球踢出边线                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'李运秋发球，给中间柏佳骏，斜传左路曹赟定                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'挑传再找前插的柏佳骏                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'插上，左侧下底，传中到门前了                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'杜佳出来直接拿走                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
89'大脚开起来，前场直接送出边线                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
90'李运秋发球，右侧给王林，停好，在给李运秋                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
90'插上向前，右侧给到特维斯                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
90'一脚直塞，跟上的瓜林在送到禁区内                   87'第87分钟曹赟定和柏佳骏打出配合，后者的传球被杜佳倒地扑住
92'黑又硬，强力杀入禁区，申花的后卫不知在干嘛啊，被迪亚涅愣冲了进去                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
92'迪亚涅一扣，面对出击的李帅，轻盈的推射，，绝杀                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
92'迪亚涅梅开二度，补时贡献绝杀啊                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
93'这球一进，泰达3分到手，也将延边和辽宁彻底推入了深渊啊                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
93'杜佳后场的长传，直接找到迪亚涅，左晃右带，盘过孙世林，在扣过毕津浩，面对李帅轻松得手                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
93'王林右侧拿球，失误出界                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
94'泰达给到买提江，中路回给米克尔                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
94'再分右侧，柏佳骏破坏出去                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
94'泰达换人，拖延一下时间                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
94'潘喜明替下赵宏略                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
94'申花发球给到柏佳骏，中路给陶金                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
94'右侧找毕津浩，长传向前                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
94'左侧前场柏佳骏没接住，出界了                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
95'潘喜明发球，给前场右侧                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
95'迪亚涅挑传，王秋明跟上，边路护球，往底线走                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
95'柏佳骏伸出一脚，球打在王秋明身上出去了                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
95'柏佳骏快发，给到中圈瓜林，瓜林也是没接好                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
95'这时候法国主裁沙普龙哨响了                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
95'全场比赛结束，凭借迪亚涅伤停补时的绝杀，泰达客场带走3分啊。这也是本赛季泰达客场第一胜，重要的3分，他们基本上岸了啊                   92'第92分钟潘喜明换下在和马丁斯拼抢中受伤的赵宏略
