1'上半场比赛开始了，客场作战的亚泰率先开球                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
94'泰达被扳平后如梦方醒啊                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
94'右路长传，巴尔克斯插上，门将出来了                   91'第91分钟，阎峰恶意犯规再次吃到黄牌，两黄变一红被罚下
50'祝一帆拿球，组织进攻，回给身后的阎峰                   50'补时5分钟后双方以1-1各取一分握手言和
50'阎峰挑传给禁区前的马祖，马祖越位了                   50'补时5分钟后双方以1-1各取一分握手言和
50'替补出场的韩德明是顶在了中路，影锋的位置                   50'补时5分钟后双方以1-1各取一分握手言和
51'马祖右路跟莫雷诺的撞墙配合                   50'补时5分钟后双方以1-1各取一分握手言和
51'马祖大步往底线趟，传中飞出底线                   50'补时5分钟后双方以1-1各取一分握手言和
51'马祖这个球操之过急                   50'补时5分钟后双方以1-1各取一分握手言和
51'马祖今天的突破始终没有出来，所以这一侧的威力锐减                   50'补时5分钟后双方以1-1各取一分握手言和
52'亚泰左路的进攻，杜震宇出现了传球的失误                   50'补时5分钟后双方以1-1各取一分握手言和
53'莫雷诺回收到后场防守，和波拉里干吉争抢，双方相撞倒地                   50'补时5分钟后双方以1-1各取一分握手言和
53'两人双双下场治疗，莫雷诺被吹了犯规                   50'补时5分钟后双方以1-1各取一分握手言和
53'泰达正面的远距离任意球                   50'补时5分钟后双方以1-1各取一分握手言和
