1'主裁判一声哨响，上半场开始                   1'双方第1分钟均显得小心谨慎
80'阿扎尔左侧角球开出，禁区前点，大卫-路易斯头球磕在横梁下沿，磕进球门                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
80'切尔西倒脚出界，曼城界外球                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
80'后场拉波尔特拿球，分给费尔南迪尼奥                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
80'向前中路，，给着急了                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
80'路易斯把球断下来                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
80'分中圈右侧坎特                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
80'带球过来，，分左侧奇克                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
80'奇克左路内切突破                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
81'斯通斯身体对抗占优，把球抢到                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
81'斯通斯护球，，奇克犯规了                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
81'曼城定位球，，给中圈左侧                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
81'拉波尔特，，自己尝试远射                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
81'科帕轻松没收                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
81'大脚开出来                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
81'中圈附近，拼抢，，曼城球员争抢出了底线                   78'切尔西第78分钟扩大比分，巴克利外围射门打中马赫雷斯偏出底线，阿扎尔开出角球，路易斯近距离头球攻门击中横梁下沿入网，2-0
94'被巴克利断下，分前场给奇克                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'反击机会，，奇克横敲给坎特                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'分右侧给阿紫，，跟上来                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'急停，不着急，在回给身后吕迪格                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'快速横敲给路易斯                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'路易斯横传，吕迪格再给门将                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'科帕，给到若日尼奥                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'热苏斯前场抢断下来                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
94'自己带球，，推进到弧顶                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
95'右脚射了，，被科帕拍出底线                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
95'右侧曼城战术角球                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
95'分右侧，，沃克，，起球传中                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
95'直接送出了底线                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
95'主裁判哨响了                   94'第94分钟，凯帕失误，但他扑出了热苏斯在禁区边缘的射门
