1'好了，比赛开始了，申花的球权。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
67'莫雷诺！打门！又稍稍偏出了，可惜啊。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
67'申花这段时间的进攻很凶，苏宁的后场压力很大。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
67'中场瓜林直塞找曹赟定。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
67'曹赟定边路回给中场。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
69'吕征左路拿球，给到莫雷诺。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
69'很准确的转移到右路，直塞禁区，可惜传大了。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
70'苏宁的快速反击，陶金放倒了进攻球员。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
70'中场的任意球开出。右路吉翔吊入禁区，被耿晓锋拿到了。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
70'申花的进攻，分到左路，吕征直塞，传中！瓜林传中。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
71'又几乎是空门，马丁斯推偏了。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
71'今天马丁斯的射门脚感不好啊。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
71'中场秦升的推人犯规。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
72'任意球开出，直接被耿晓锋拿到。                   69'第69分钟申花前场连续配合，最后是瓜林右路下底送球，马丁斯接应没打上，球打在塞恩斯伯里身上正好被顾超一把扑住
75'好了，比赛继续。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
76'顾超大脚开出，莫雷诺直接前场拿球。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
76'好在后卫破坏了，角球。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
76'吕征开出，前点顶偏了。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
76'苏宁的反击顾超大脚找特谢拉，耿晓锋出击。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
77'抱住了球，也有点受伤啊，被特谢拉踢到了一下。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
77'双方还是挺友好的，摆手致歉。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
77'前场分边到左路，再横敲右路。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
78'吕征再给到中路。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
78'秦升出球失误了。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
78'苏宁的进攻，前场秦升的铲球犯规                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
78'前场的任意球机会，看看苏宁能不能把握住。                   75'第75分钟吕征右路角球开出，金基熙头球没顶出力量
79'洪正好！打在了人墙上。                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
80'申花的反击，后场后卫的倒地，破坏了直塞球。                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
80'左路起球到禁区，后卫破坏出来。                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
80'二点瓜林远射！                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
80'球进了！！！！！！！！！！！                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
81'一脚世界波，漂亮！！！瓜林！！！把比分超出了！                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
82'比赛还有最后十分钟左右，看看苏宁怎么来应对。                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
82'后场挑到左路，被破坏了，还是苏宁中场拿球。                   79'第79分钟申花再次取得进球，曹赟定在两人围抢下把球传出，瓜林禁区外重炮怒射，皮球打在塞恩斯伯里身上折射，飞入大门右侧，3比2，这次终于换成申花领先了
82'比赛还有最后十分钟左右，看看苏宁怎么来应对。                   82'第82分钟王赟换下有抽筋迹象的秦升
82'后场挑到左路，被破坏了，还是苏宁中场拿球。                   82'第82分钟王赟换下有抽筋迹象的秦升
83'换人了，刘建业被换下，换上戈伟，苏宁做出调整了。                   82'第82分钟王赟换下有抽筋迹象的秦升
83'在看刚刚那个球，前场曹赟定的油炸丸子，助攻瓜林，今天曹赟定的表现真的十分的出色。                   82'第82分钟王赟换下有抽筋迹象的秦升
84'申花也换人了，王赟换下了秦升，避免再次吃牌。                   82'第82分钟王赟换下有抽筋迹象的秦升
84'前场苏宁挑入禁区，被后卫破坏。                   82'第82分钟王赟换下有抽筋迹象的秦升
85'界外球掷出，头蹭向球门，耿晓锋把球托出。                   82'第82分钟王赟换下有抽筋迹象的秦升
85'角球。                   82'第82分钟王赟换下有抽筋迹象的秦升
85'角球开出，后点没人得到。                   82'第82分钟王赟换下有抽筋迹象的秦升
87'还是前场申花拿球，头球不停的摆渡。出了边线。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
87'界外球掷出，特谢拉没能拿到，耿晓锋的球权。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
88'后场找到中场球员，直塞到禁区！可惜人太少了，马丁斯直接打门了，打飞了。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
88'前场推人犯规，熊飞。苏宁的任意球。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
88'开到前场。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
88'分到左路，被断了。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
88'申花的反击机会。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
89'曹赟定高速带球，进禁区了，直接外脚背打了！打在了边网上。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
89'今天曹赟定的表现真的是值得称赞。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
90'苏宁的进攻，前场马丁内斯没起跳，熊飞起跳，摔倒了，裁判判了熊飞犯规。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
90'前场任意球好机会。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
90'特谢拉开到禁区，一片混乱，打门，打飞了。                   87'第87分钟曹赟定左路带球长驱直入，他从中场直接杀入禁区，但最后捅射打在边网上
90'苏宁的进攻，前场马丁内斯没起跳，熊飞起跳，摔倒了，裁判判了熊飞犯规。                   90'第90分钟高迪换下马丁斯
90'前场任意球好机会。                   90'第90分钟高迪换下马丁斯
90'特谢拉开到禁区，一片混乱，打门，打飞了。                   90'第90分钟高迪换下马丁斯
91'伤停补时4分钟。                   90'第90分钟高迪换下马丁斯
91'换下了马丁斯，换上了高迪。                   90'第90分钟高迪换下马丁斯
92'前场苏宁的进攻，界外球。                   90'第90分钟高迪换下马丁斯
92'得到了角球机会。                   90'第90分钟高迪换下马丁斯
93'角球开到后点，没人得到球。                   90'第90分钟高迪换下马丁斯
93'前场戈伟对申花球员的犯规。                   90'第90分钟高迪换下马丁斯
93'留给苏宁的时间不多了。                   90'第90分钟高迪换下马丁斯
93'耿晓锋大脚开出，前场吕征得到。                   90'第90分钟高迪换下马丁斯
93'角球开到后点，没人得到球。                   93'第93分钟吕征右路传中，高迪射门太正
93'前场戈伟对申花球员的犯规。                   93'第93分钟吕征右路传中，高迪射门太正
93'留给苏宁的时间不多了。                   93'第93分钟吕征右路传中，高迪射门太正
93'耿晓锋大脚开出，前场吕征得到。                   93'第93分钟吕征右路传中，高迪射门太正
94'人球分过失败了。                   93'第93分钟吕征右路传中，高迪射门太正
94'前场苏宁分到右路，被后卫破坏了。                   93'第93分钟吕征右路传中，高迪射门太正
94'又是申花的反击机会。                   93'第93分钟吕征右路传中，高迪射门太正
94'右路的二过一，吕征传中，打门！太正了。                   93'第93分钟吕征右路传中，高迪射门太正
95'这时裁判吹哨，比赛结束。                   93'第93分钟吕征右路传中，高迪射门太正
