3'左侧郑涛卡住身位，把球护出了边线，身后的李星灿没有办法                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
48'帕托拿球被小摩托逼抢，断走了                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'自己往前走，刚起步，就被帕托放倒                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'重庆定位球赶紧发，没时间了                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'交到了中路，裁判哨响了                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'张雷一声哨响，上半场结束了                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'张雷哨响，下半场开始了                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'权健开球，帕托回敲给到右侧                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'拼抢之下，赵旭日碰出边线                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'重庆界外球大力往前走                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'张诚顶出去，继续边线球                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'这次给到前场中路，刘奕鸣拼抢中抬脚过高，犯规                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'力帆定位球，给到中间米洛维奇                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'长传冲吊，右侧小摩托得球，斜传中路                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'被对方后卫抢先挡出                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'重庆下半场很明显的压阵压上                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'阵型压上                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'彭欣力左侧拿球，斜传给到刘欢                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'在回敲刘宇，身前再找彭欣力，向前直塞                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'右侧张诚卡住位置，把球护出底线                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'力帆下半场回来有换人了，看到王维成在场上，替下的应该是南松                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
48'左侧权健给到糜昊伦                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
49'再分赵旭日，挑传向前，出脚的同时，被对方踢翻在地                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
49'吴庆的犯规                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
49'左侧定位球，长传吊向禁区                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
49'米洛维奇第一点顶出                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
49'彭欣力外围冲撞对方犯规，动作很大啊。吃到黄牌                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
68'禁区中央防守队员头球一蹭，反而给了对方一次助攻                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
68'后点郑达伦小角度铲射，，被邓小飞挡出了底线                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
68'左侧角球机会                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
68'维特塞尔角球开起，小禁区前沿被顶出                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
68'外围小摩托拿球，带球前压                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
68'反击号角                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
68'3打2机会，斜传到右侧王维成                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
69'王维成单刀赴会，小禁区前面对张鹭，射                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
69'被挡出，王维成再射，，张鹭两连扑，再次化解                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
69'这种机会，，无语啊。。什么样机会能进球呢                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
69'张诚后场推进，挑传给到维特塞尔                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
70'闲庭信步，找节奏，在回敲                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
70'身后同伴插上，45度传中，禁区内再次被顶出去                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
70'外围小摩托右侧分卡尔德克                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
70'低传往前在给小摩托，这次不传了，自己来                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
70'小摩托挂5档，猛踩油门                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
70'内切突破，到了人堆中                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
71'被防守队员捅出，外围丁捷左侧在给到同伴，45度起来                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
71'小禁区前沿张鹭出击没收                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
71'大脚开起来                   68'第68分钟维特塞尔大禁区右侧外脚背传中，郑涛头球解围变成助攻，后插上的郑达伦小角度抽射被邓小飞扑出
74'拔腿往前冲，在给到米洛维奇                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
74'身前中路给到王维成，传中到禁区                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
74'争顶下来，弧顶内小摩托跟进一脚射门，被后卫挡了一下                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
74'第二点落在禁区内，吴庆得球，第一时间没选择射门                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
75'在带一步，，转身右侧低射，，被张鹭挡出                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
75'权敬源第二点赶紧解围出边线                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
75'王杰替下李星灿。增加一个后卫                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
75'王杰和刘欢现在同台献唱了，你有刘欢，我有王杰。哈                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
75'冯劲替下郑涛                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
76'权健左侧拿到一个角球机会                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
76'帕托战术角球，兜起来，弧线传中，，直接飞出底线                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
76'邓小飞大脚开起来                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
76'左侧王杰把球断下，小摩托前场逼抢犯规                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
77'左侧权健定位球，大脚开到前场                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
77'丁捷一漏，想漏给门将险些出错啊                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
77'禁区内帕托前插，好在米洛维奇跟的紧，铲出底线                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
77'左侧角球机会，帕托开起来                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
77'禁区内邓小飞直接摘下                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
77'大脚开起来                   74'第74分钟，吴庆禁区内转身低射被张鹭挡出
51'权健中路定位球，交给维特塞尔主罚                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
51'交给左侧李星灿，长传向前                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
51'禁区外围郑涛一脚解围                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
51'打在了逼抢上来的张修维身上，弹出底线                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
51'邓小飞门球发给刘欢                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
51'中路在给米洛维奇，后场倒脚                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
52'慢慢往前推进，彭欣力挑传                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
52'左侧吴庆前插下底，没追上                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
52'张鹭门球发出                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
52'右路给到张诚，大脚往前走                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
52'刘欢断下来，也是一记长传                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
52'左侧张鹭出击到禁区外，踢出边线                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
52'吴庆界外球给到刘欢                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
53'一记传中过来，给大了，直接过桥                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
53'到了右侧，郑涛一个亮鞋底的飞铲，踢翻了郑达伦                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
53'郑涛吃到黄牌                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
53'郑涛还对裁判不满，认为我没踢着对方啊、、但是这个动作，绝对还是够的上吃牌的                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
54'后场左侧权健定位球开出                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
54'长传到中圈，刘欢回敲刘宇，在长传出来                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
54'刘奕鸣中圈左侧推人犯规                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
54'重庆中路给到彭欣力，挑传到禁区前沿，争顶                   51'下半场补时长达6分钟，最终天津权健客场1-0战胜重庆力帆，取得近6轮首胜
