3'辽宁中路推进，丁捷直塞锋线找到波利                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
79'天津右路进攻，巴尔克斯晃开防守，在传，丢了                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
79'波利反击，李玮峰冲上来，把球挡出边线                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
79'波利受伤倒地                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
79'辽宁换人，王皓上来，替下宋琛                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
80'比赛已经80分钟，天津的时间应该还是足够的                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
81'胡人天禁区线上横向摆脱倒地，裁判没有理睬                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
81'辽宁长传，邱卡禁区内底线附近跟卢卡斯在争                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
81'邱卡推倒卢卡斯犯规                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
82'白岳峰前场逼抢，把球碰出边线                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
82'天津现在是大举压上，希望能够搬回比分                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
82'辽宁右路的进攻，斜吊禁区内，邱卡没有抢到点                   79'第79分钟，邱卡中场得球转身发反击，李玮峰斜插过来将球破坏
85'外围辽宁的进攻还有机会                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
85'波利利用爆发力生吃进去，摆脱之后横敲中路，张野摆脱，没有得到打门的机会                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
86'张野横向一带，带大了，到了邱卡的脚下，邱卡背身面对球门，富有想象力的脚后跟打门，被杜佳扑住                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
86'周燎上来，替下郭皓，天津用完了最后的换人名额                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
86'天津最后一搏了                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
87'辽宁后场断球，看都不看，就是一记长传找左侧的波利                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
87'波利越位在先了                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
87'天津也是非常忌惮对手的反击                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
88'波拉里干吉禁区外被邱卡放倒在地                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
88'邱卡吃到一张黄牌                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
88'这个球邱卡的犯规完全没必要，波拉里干吉的打门动作已经完成，且被后卫挡出，邱卡顺势抬肘把对方打翻                   85'第85分钟，波利左侧肋部再次突入禁区，横传中路张野没有机会起脚，混战中邱卡脚后跟射门被杜佳侯个正着
87'辽宁后场断球，看都不看，就是一记长传找左侧的波利                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
87'波利越位在先了                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
87'天津也是非常忌惮对手的反击                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
88'波拉里干吉禁区外被邱卡放倒在地                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
88'邱卡吃到一张黄牌                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
88'这个球邱卡的犯规完全没必要，波拉里干吉的打门动作已经完成，且被后卫挡出，邱卡顺势抬肘把对方打翻                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
89'烈鸟主罚这个球，禁区外一点，完全射程之内                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
89'烈鸟直接轰门，想打人墙的脚下，不过人墙没跳，把球挡出来                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
90'右侧王皓反击，带到前场，聂涛犯规了                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
90'下半场补时3分钟                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
90'王皓迟迟没有起来，被担架抬到场边                   87'第87分钟，波拉里干吉后排带球插上远射被挡，邱卡防守中挥肘击中对手面门吃到黄牌
91'杨运右路转移到左侧，邱卡得球，直塞波利                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
91'波利斜插禁区之内，有机会，小角度的轰门，击中门柱弹出底线                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
91'波利也是不太走运，错失锁定胜局的机会                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
92'天津最后时刻的进攻上不去啊，没体力了吗                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
92'辽宁越战越勇啊，又是前场的反击，越位了                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
92'天津把球分出来，右侧白岳峰下底，传中给到巴尔克斯                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
93'巴尔克斯胸部一停，第二点被对方挡出                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
93'烈鸟外围控球，搓进去，胡人天拿球                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
93'胡人天的传中被丁海峰挡下来，丁海峰底线附近把球控制好                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
93'胡人天上抢犯规                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
93'辽宁队大脚把球交到中场附近                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
94'双方拼中场，天津想赶紧把球权拿下来，但是已经没有时间了                   91'第91分钟，天津队忙中出错，解围球击中邱卡弹到波利脚下，波利杀入禁区左脚射门击中门柱弹出
