1'上半场比赛开始                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
73'刘彬彬停球大了，被对方铲掉                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
73'范凌江抽筋倒在地上！赵明剑还要传球，被对方截断，上海绿地队把球开出边线                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
73'范凌江本场拼得也比较凶啊！                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
75'鲁能泰山队右路横传禁区，阿洛伊西奥头球过渡！韩鹏顶门没能顶到啊，倒在门前！                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
75'上海绿地队换人：战怡麟上场，换下抽筋的范凌江                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
75'刚才阿洛伊西奥要是头球直接顶门，也是非常不错的机会！                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
77'疯狂石头滴滴滴：韩鹏被拉倒了，没判点球回复[韩鹏已经摆脱了曹秉局，被曹秉局推倒！他最不应该的是应声倒地，而是先去冲顶！]                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
77'这种球裁判可吹可不吹啊                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
77'乌索前场拿球，分到左路                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
77'郑铮突破横传，战怡麟把球破坏出来                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
78'戴琳！左脚凌空打门，象是解围啊！                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
78'此前莫雷诺的任意球直接打门，还是有相当威胁！王大雷打了一下又把球拿到！                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
78'阖抽筋啦！护腿板也拿下来啦，看来喝不了了！                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
79'快马王长庆上场，换下了抽筋的姜坤！                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
79'莫雷诺右路突破，乌索紧追，郑铮绕前把球破坏                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
80'王长庆中场拿球，乌索犯规！                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
80'莫雷诺在前场控球，鲁能泰山队两人包夹，乌索把球抢下来                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
80'乌索中路反击被断                   77'第77分钟，莫雷诺创造任意球后自己主罚，但是他的弧线球攻门被王大雷没收
91'下半场比赛要补时 5 分钟                   91'第91分钟，张文钊内切后射门稍稍偏出
91'上海绿地队长传球，戴琳绕前把球破坏！对莫雷诺犯规啦！                   91'第91分钟，张文钊内切后射门稍稍偏出
91'戴琳对裁判的判罚不满意，结果吃到了黄牌！                   91'第91分钟，张文钊内切后射门稍稍偏出
92'后场上海绿地队断球，快速反击                   91'第91分钟，张文钊内切后射门稍稍偏出
92'莫雷诺右路突破横传，高迪抢点突破到禁区内劲射！被王大雷扑出！！                   91'第91分钟，张文钊内切后射门稍稍偏出
93'高迪抽筋倒在禁区                   91'第91分钟，张文钊内切后射门稍稍偏出
93'鲁能泰山队没有停止进攻，传到禁区内，阿洛伊西奥打门被挡出！                   91'第91分钟，张文钊内切后射门稍稍偏出
93'阿洛伊西奥右路横传，被邱盛炯没收！                   91'第91分钟，张文钊内切后射门稍稍偏出
93'上海绿地队又有人抽筋！曹赟定！                   91'第91分钟，张文钊内切后射门稍稍偏出
94'鲁能泰山队长传前场，对方争顶下来                   91'第91分钟，张文钊内切后射门稍稍偏出
94'主裁判哨响，吃了杨旭犯规！                   91'第91分钟，张文钊内切后射门稍稍偏出
94'韩鹏也急啦！主裁判给他出示了黄牌！                   91'第91分钟，张文钊内切后射门稍稍偏出
94'刚才杨旭在争抢时是手球犯规！                   91'第91分钟，张文钊内切后射门稍稍偏出
93'高迪抽筋倒在禁区                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
93'鲁能泰山队没有停止进攻，传到禁区内，阿洛伊西奥打门被挡出！                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
93'阿洛伊西奥右路横传，被邱盛炯没收！                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
93'上海绿地队又有人抽筋！曹赟定！                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
94'鲁能泰山队长传前场，对方争顶下来                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
94'主裁判哨响，吃了杨旭犯规！                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
94'韩鹏也急啦！主裁判给他出示了黄牌！                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
94'刚才杨旭在争抢时是手球犯规！                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
95'上海绿地队右路横传，被挡出边线                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
95'全场比赛结束，上海绿地队在主场1-0小胜鲁能泰山队！！                   93'第93分钟，高迪禁区内得球大力射门被王大雷挡出
