3'这个球，登巴巴错失空门，没想到幸福来的太突然啊                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
68'申花前场又是一次抢断，但是瓜林直塞没有处理好                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
68'延边反击，中路给尹比加兰，摆脱之后给斯蒂夫                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
68'斯蒂夫杀入禁区左侧，面对金基熙                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
69'斯蒂夫连续单车，摆脱强射被金基熙铲翻                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
69'黄烨军给了点球                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
69'黄烨军给了延边一个点球，瓜林上来抗议，吃到黄牌                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
69'尼古拉主罚                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
70'尼古拉主罚的质量很高，大力轰入右上角，李帅判断准确，但无能为力                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
70'延边的定位球主罚很有趣，大部分都交给中卫尼古拉来踢。包括角球，这也是不多见的                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
71'申花还有20分钟的时间                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
71'吴永春出球犹豫，申花前场右侧抢断                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
72'张璐交给到吕征，吕征扫入禁区，打到后点，没人接应啊飞出边线                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
72'延边反击，右侧金承大速度很快                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
72'金承大突然急停，摆脱秦升，秦升身后犯规，战术犯规吃到黄牌                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
72'长传送到禁区内，金波插上没有争过柏佳骏                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
73'外围申花把球控制住，秦升给到瓜林                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
73'瓜林杀到前场，右侧禁区外原地搓一脚进去                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
73'找登巴巴，但是高度不够                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
73'延边反击还是从右侧来找机会，但是未能形成威胁，草草丢掉球权                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
74'曹赟定替补登场还没有什么拿球机会，申花应该多打他这个点啊                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
74'金基熙中路带球杀上来，直接找登巴巴，中卫和中锋直接配合                   71'第71分钟秦升在中线附近撞倒金承大吃到黄牌
76'不过左侧斯蒂夫把球救下来，又是踩单车的过人                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
76'突破到底线，横敲门前被张璐挡出底线                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
76'角球，尹比加兰和池忠国准备来一个战术                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
77'尹比加兰认为对手防守后退的距离不够                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
77'黄烨军觉得他在拖延时间，给了黄牌一张                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
77'尹比加兰战术角球给池忠国，后者一踩，尹比加兰传中                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
77'李帅出击把球没收                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
78'裁判吹了延边的越位犯规                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
78'吴永春左侧界外球拖沓，也是吃到黄牌，拖延时间                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
78'莫雷诺中路梳理，左侧给曹赟定，在给秦升                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
78'转移到右侧吕征，一扣，瞄着往里传中                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
79'池文一单拳击出边线                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
79'申花界外球扔到禁区，登巴巴背身做给马丁斯                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
79'马丁斯低射，没力量被池文一没收                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
79'金波前场积极拼抢，延缓了柏佳骏的进攻                   76'第76分钟尹比加兰对裁判口出不逊被黄牌警告，接着吴永春拖延时间吃到黄牌
81'裁判没吹犯规，给了门球                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
81'金承大前场护球，拉边到右路                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
81'金承大脚后跟巧妙交给插上的金波                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
81'金波禁区右肋插上，传中慢了，被柏佳骏捅出底线                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
82'角球开出，第一点申花把球解围出去                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
82'曹赟定后场接球反击，李浩杰飞身一个铲抢，两人双双倒地                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
83'场上出现了冲突，包括柏佳骏，秦升，斯蒂夫，莫雷诺，都围了过来                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
83'最终，黄烨军给了莫雷诺和斯蒂夫各一张黄牌了事                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
84'申花左侧进攻，曹赟定下底，给到禁区内                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
84'禁区内被崔民捅出去，外围柏佳骏再送到禁区                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
84'莫雷诺人高马大，头球顶一个对角，偏了                   81'第81分钟李浩杰对曹赟定亮鞋底铲球犯规，双方队员发生了大规模争执，事后主裁给了情绪最激动的两位外援莫雷诺和斯蒂夫一人一张黄牌
88'申花长传冲吊，金基熙送到禁区内，莫雷诺头球摆渡                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
88'门前池文一把球没收                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
88'李帅失误，送大礼了，，金承大进球                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
88'延边锁定胜局了                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
89'延边中场右侧的直塞，找锋线的金承大，李帅击出，想解围出边线，结果直接踢到了空气，金承大收到大礼直接带进空门啊                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
90'吴永春左侧防守送给对手一个角球                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
90'申花把球送入禁区，莫雷诺倒钩未果                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
90'延边反击找斯蒂夫，被金基熙卡在身后                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
90'下半场补时4分钟                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
91'朴世豪替补上来，换下池忠国                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
91'申花还是兢兢业业没有放弃                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
91'莫雷诺禁区内拼抢犯规了                   88'第88分钟延边前场尹比加兰长传，金承大从申花后卫身后杀出，李帅出击大脚解围，但鬼使神差他竟然没踢到球
90'吴永春左侧防守送给对手一个角球                   90'第90分钟朴世豪换下池忠国
90'申花把球送入禁区，莫雷诺倒钩未果                   90'第90分钟朴世豪换下池忠国
90'延边反击找斯蒂夫，被金基熙卡在身后                   90'第90分钟朴世豪换下池忠国
90'下半场补时4分钟                   90'第90分钟朴世豪换下池忠国
91'朴世豪替补上来，换下池忠国                   90'第90分钟朴世豪换下池忠国
91'申花还是兢兢业业没有放弃                   90'第90分钟朴世豪换下池忠国
91'莫雷诺禁区内拼抢犯规了                   90'第90分钟朴世豪换下池忠国
92'池文一大脚开出                   90'第90分钟朴世豪换下池忠国
92'前场延边的球员还在积极奔跑，体能真是好啊                   90'第90分钟朴世豪换下池忠国
92'李建滨头球处理出边线                   90'第90分钟朴世豪换下池忠国
93'金承大护球，给到裴育文，金波上来接应                   90'第90分钟朴世豪换下池忠国
93'在给金承大，越位了                   90'第90分钟朴世豪换下池忠国
93'马丁斯后场拿球，长传找前面登巴巴                   90'第90分钟朴世豪换下池忠国
93'登巴巴禁区内拼抢落点，拉人犯规了                   90'第90分钟朴世豪换下池忠国
93'镜头给到了曼萨诺，一脸无奈                   90'第90分钟朴世豪换下池忠国
