1'上半场比赛开始！                   1'第1分钟主队占据优势
67'武磊拿球，回敲孔卡                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
70'胡斯蒂左路拿球，过人之后的传中被拦截                   70'第70分钟李尚换下韩德明
71'达维斜传左路，武磊反击                   70'第70分钟李尚换下韩德明
71'武磊带到禁区前，自己射，打偏了                   70'第70分钟李尚换下韩德明
72'石柯顶防放倒了韩德明                   70'第70分钟李尚换下韩德明
72'亚泰换人，李尚换下韩德明                   70'第70分钟李尚换下韩德明
72'胡斯蒂角球到禁区前，马祖越位在先                   70'第70分钟李尚换下韩德明
73'李尚回传拿球，给右路                   70'第70分钟李尚换下韩德明
73'蒋哲内切，和队友踢墙配合                   70'第70分钟李尚换下韩德明
73'左路张笑飞的下底传中被头球解围                   70'第70分钟李尚换下韩德明
74'孔卡左路和武磊打2过1                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
74'孔卡禁区角上被胡斯蒂直接扫倒                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
74'上港任意球，海森向裁判表达不满，与孙捷有些冲突                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
75'孙捷被黄牌警告                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
75'孔卡任意球高度不够，被马祖解围                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
76'上港再入一球！                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
76'吕文君！！！                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
76'武磊左路拿球，直塞，孔卡小角度打门被宋振瑜扑出！吕文君补射破门！                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
76'上港5-1领先亚泰！                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
77'另一边，亚泰快速又扳回一个                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
77'闫峰！                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
77'亚泰左路的传中被颜骏凌拍出禁区，禁区外的闫峰直接迎球抽射破门！                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
77'5-2！                   74'第74分钟上港又在左路打出精彩配合，武磊拿球后推传到禁区，孔卡跟上怒射被宋振瑜扑出，吕文君跟上再红色，球从宋振瑜档下打进，5比1
77'另一边，亚泰快速又扳回一个                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
77'闫峰！                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
77'亚泰左路的传中被颜骏凌拍出禁区，禁区外的闫峰直接迎球抽射破门！                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
77'5-2！                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
78'海森左路做球，武磊越位了                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
78'用户1734645312：说实在的，上港的前场配合真是不错，是不是因为亚泰在中场的防守力弱的关系，感觉强很多                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
78'吕文君右路斜传，被挡，海森控制                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
79'孔卡禁区前接应，突破进禁区，被出击的宋振瑜封堵                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
79'前屿山1978：武磊要跑起来，当前场自由人！                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
79'蒋哲禁区前传中被封堵                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
79'马祖拿球低射远角被颜骏凌扑出！角球                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
80'亚泰换人，马晓磊换下蒋哲                   77'第77分钟孔卡加速从两人夹击中突围而出，但今天奉献多次精彩扑救的宋振瑜又一次判断到位，他把孔卡的单刀球扑在身下
79'孔卡禁区前接应，突破进禁区，被出击的宋振瑜封堵                   79'第79分钟长春队用马晓磊换下蒋哲
79'前屿山1978：武磊要跑起来，当前场自由人！                   79'第79分钟长春队用马晓磊换下蒋哲
79'蒋哲禁区前传中被封堵                   79'第79分钟长春队用马晓磊换下蒋哲
79'马祖拿球低射远角被颜骏凌扑出！角球                   79'第79分钟长春队用马晓磊换下蒋哲
80'亚泰换人，马晓磊换下蒋哲                   79'第79分钟长春队用马晓磊换下蒋哲
81'达维中场拿球，找到孔卡                   79'第79分钟长春队用马晓磊换下蒋哲
81'孔卡挑传禁区，海森没能控好，出底线                   79'第79分钟长春队用马晓磊换下蒋哲
82'爸爸2020：进球大战                   79'第79分钟长春队用马晓磊换下蒋哲
86'我老家在芜湖：埃帅的球队打法还是有内容的。有技战术                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
86'马祖禁区右侧接应队友传球，打门飞了                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
87'上港换人，吕文君被李浩文换下                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
87'孔卡斜传右路身后，王燊超插上直接垫射打偏                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
88'李浩文中场拼抢被杜震宇撞倒                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
88'马晓磊右路下底，拿到一个角球                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
89'角球去前点，被埃弗拉解围                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
89'亚泰进球了！！！                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
89'马祖！                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
89'角球到门前，马祖插上头球砸入网窝！                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
89'5-3！                   86'第86分钟孔卡左路转移到右路，王燊超跟进凌空够射高出
89'角球去前点，被埃弗拉解围                   89'第89分钟汪佳捷换下蔡慧康
89'亚泰进球了！！！                   89'第89分钟汪佳捷换下蔡慧康
89'马祖！                   89'第89分钟汪佳捷换下蔡慧康
89'角球到门前，马祖插上头球砸入网窝！                   89'第89分钟汪佳捷换下蔡慧康
89'5-3！                   89'第89分钟汪佳捷换下蔡慧康
90'已经8个进球了                   89'第89分钟汪佳捷换下蔡慧康
90'李尚禁区前远射被封堵                   89'第89分钟汪佳捷换下蔡慧康
90'上港换人，汪佳捷换下蔡慧康                   89'第89分钟汪佳捷换下蔡慧康
90'岁月催人老长恨水长东：双方队员并不积极，少有对抗，站桩式进攻，用眼睛防守，特别是下半场前二十多分钟，那么松散，成为进球大战不足为怪                   89'第89分钟汪佳捷换下蔡慧康
91'下半场补时3分钟！                   89'第89分钟汪佳捷换下蔡慧康
91'上港获得禁区前靠左的任意球机会                   89'第89分钟汪佳捷换下蔡慧康
91'武磊任意球直接打门高了                   89'第89分钟汪佳捷换下蔡慧康
92'闫峰拿球回敲，高球进禁区                   89'第89分钟汪佳捷换下蔡慧康
92'马祖头球顶偏了                   89'第89分钟汪佳捷换下蔡慧康
92'闫峰拿球回敲，高球进禁区                   92'第92分钟阿克斯长传右路，马祖头球稍稍偏出
92'马祖头球顶偏了                   92'第92分钟阿克斯长传右路，马祖头球稍稍偏出
93'埃弗拉禁区左侧晃动，被解围出去                   92'第92分钟阿克斯长传右路，马祖头球稍稍偏出
94'埃弗拉禁区前横带，趟开空挡，远射打高                   92'第92分钟阿克斯长传右路，马祖头球稍稍偏出
94'宋振瑜大脚开出                   92'第92分钟阿克斯长传右路，马祖头球稍稍偏出
94'全场比赛结束！                   92'第92分钟阿克斯长传右路，马祖头球稍稍偏出
