2'冯潇霆长传球给前场左路塔利斯卡！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
57'恒丰中场发球给左侧的唐鑫！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
57'这球被冯潇霆破坏出边线！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
58'唐鑫左路带球推进！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
58'左脚起球传中到禁区中路！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
58'耶拉维奇头球！没顶正！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
58'门将曾诚抱住没收！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
58'郑凯木中场争抢被裁判罚了一张黄牌！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
59'恒大开定位球给前场右侧邓涵文！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
59'邓涵文起球传中到禁区内后点！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
59'郜林把球摆渡出来！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
59'外围郑智把球停下！塞球给禁区左肋！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
59'高拉特插上迎球怒射！！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
59'这球被封堵出了左侧底线！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
60'恒大的左侧角球！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
60'于汉超开球给到禁区内右肋！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
60'门将张思鹏把球打出去！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
60'外围左侧李学鹏把球得到！蒋亮上前把球解围出边线！                   57'第57分钟，郑凯木因为不满判罚吃到一张黄牌
62'高拉特分球给禁区前沿塔利斯卡！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
62'皮球被法图斯解围出去！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'外围李学鹏把球得到！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'分球给中路的郑智！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'郑智把球给身边右侧的保利尼奥！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'保利尼奥再给禁区前沿的塔利斯卡！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'塔利斯卡！左脚抬起打门！！！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'一道弧线！！！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'GOOOOOOOOOOOOOOAL！！！！球进了！！！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
63'广州恒大3-0贵州恒丰！！！塔利斯卡梅开二度！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
65'法图斯把球回给后场的门将张思鹏！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
65'张思鹏大脚开球给前场中路！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
65'双方争顶！梅方把球得到！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
65'梅方分球给中路的保利尼奥！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
65'保利尼奥的球被对方球员破坏出界！                   62'第62分钟，前场中路恒大连续的传接球配合，保利尼奥中路分球向前，大禁区前沿位置中路郜林脚后跟助攻，弧顶处塔利斯卡左脚兜射左上角
65'法图斯把球回给后场的门将张思鹏！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
65'张思鹏大脚开球给前场中路！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
65'双方争顶！梅方把球得到！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
65'梅方分球给中路的保利尼奥！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
65'保利尼奥的球被对方球员破坏出界！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
66'恒大场边换人，25-邹正换下3-梅方。                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67' 唐鑫左侧发球给前场禁区左侧                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67'陈吉争抢把球停下！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67'陈吉来到禁区前沿！中路打一脚挑射！！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67'门将曾诚把球托出了横梁啊！惊险！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67'恒丰的左侧角球！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67'范云龙开出角球给到禁区内后点中路！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67'冯潇霆头球解围出去！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
67'外围范云龙把球得到，保利尼奥上抢把球反抢断走！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
68'保利尼奥把球给中圈附近的塔利斯卡！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
68'塔利斯卡得球被郑凯木犯规！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
68'恒大继续换人，33-钟义浩(U23)换下20-于汉超！                   65'第65分钟，恒大做出换人调整，邹正换下梅方
74'保利尼奥把球给前场中路高拉特！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
74'高拉特得球被法图斯犯规了！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
74'恒大前场中路定位球！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
74'保利尼奥开球给右边路的郑智！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
74'郑智再给禁区右侧高拉特！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'高拉特外围起脚打门！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'这球打偏出了右侧底线啊！球门球！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'张思鹏大脚开球给中场附近！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'郑智把球抢下来！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'分球给左边路的邹正！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'邹正再给中线上的保利尼奥！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'保利尼奥低平球给前场中路找到高拉特！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
75'高拉特斜传球给左侧！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
76'这球被法图斯解围出边线！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
76'恒大边线发球给接应的郑智！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
76'郑智低平球给禁区右侧邓涵文！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
76'邓涵文起球传中进来！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
76'韩鹏飞把球解围出去！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
76'外围法图斯争抢对高拉特犯规！                   74'随后比赛进入补时时间，第74分钟，郑智斜传身前高拉特，高拉特外围远射偏出立柱
78'恒大前场中路定位球！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
78'塔利斯卡开球直接打门！！！！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
79'GOOOOOOOOOOOOOOAL！！！！球进了！‘                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
80'塔利斯卡首秀就斩获帽子戏法啊！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
81'中场保利尼奥的球权！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
81'保利尼奥回传给后场右侧冯潇霆！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
81'冯潇霆再给中场附近的邓涵文！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
81'斯蒂夫上前把球断下！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
81'斯蒂夫自己带球推进前场！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
81'禁区前沿！左脚抬起打门！！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
81'李学鹏把球解围出去！                   78'第78分钟，前场中路恒大获得任意球机会，塔利斯卡左脚直接兜射，皮球飞向球门右下角，张思鹏望尘莫及，塔利斯卡的首秀完成帽子戏法
80'塔利斯卡首秀就斩获帽子戏法啊！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
81'中场保利尼奥的球权！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
81'保利尼奥回传给后场右侧冯潇霆！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
81'冯潇霆再给中场附近的邓涵文！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
81'斯蒂夫上前把球断下！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
81'斯蒂夫自己带球推进前场！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
81'禁区前沿！左脚抬起打门！！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
81'李学鹏把球解围出去！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
82'此前恒丰换了两人，14-朱征宇(U23)换下29-陈吉(U23)，7-王帆换下了6-范云龙                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
83'中场恒丰开球给出来！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
83'塔利斯卡上前把球拦截！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
83'塔利斯卡分边给右侧的保利尼奥！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
83'保利尼奥再给中线上的郑智！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
83'郑智斜传球给前右侧杨立瑜！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
83'杨立瑜再给身边的邓涵文！                   80'第80分钟，恒丰反击，斯蒂夫抢断后大禁区内晃过了出击的曾诚一脚推射，门前李学鹏倒地门线解围
87'外围塔利斯卡得球再挑传进来！                   87'第87分钟，梁学铭换下耶拉维奇
87'皮球被防守球员解围出左侧底线了！                   87'第87分钟，梁学铭换下耶拉维奇
87'恒大的左侧角球！                   87'第87分钟，梁学铭换下耶拉维奇
87'角球开到禁区内后点！                   87'第87分钟，梁学铭换下耶拉维奇
87'门将张思鹏把球拿到没收！                   87'第87分钟，梁学铭换下耶拉维奇
88'门将大脚开球给中场附近！                   87'第87分钟，梁学铭换下耶拉维奇
88'恒大球员把球顶出了边线！                   87'第87分钟，梁学铭换下耶拉维奇
88'恒丰换人，22-梁学铭(U23)换下11-耶拉维奇！                   87'第87分钟，梁学铭换下耶拉维奇
89'恒丰边线发球给出来后场                   87'第87分钟，梁学铭换下耶拉维奇
89'钟义浩被裁判吹了进攻争抢犯规！                   87'第87分钟，梁学铭换下耶拉维奇
89'恒丰后场开长传球到中场中路！                   87'第87分钟，梁学铭换下耶拉维奇
89'塔利斯卡把球抢下来！                   87'第87分钟，梁学铭换下耶拉维奇
89'直传球找前场禁区内右侧！                   87'第87分钟，梁学铭换下耶拉维奇
89'门将张思鹏把球拿到没收！                   87'第87分钟，梁学铭换下耶拉维奇
90'邹正后场把球抢到，低平球给中路的钟义浩                   87'第87分钟，梁学铭换下耶拉维奇
90'钟义浩带球遭到了蒋亮的断球！                   87'第87分钟，梁学铭换下耶拉维奇
