26'苏宁左路的任意球机会                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
49'马丁内斯直传，吉翔突然插上，不过先越位了                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
50'鲁能有意识地放慢了节奏                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
50'佩莱接应，不过球被刘建业破坏                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
50'李松益掷界外球                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
50'佩莱接应，交给张弛                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
50'横传，周云断球交给马丁内斯                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
51'转身，直传，蒿俊闵将球蹬了一下                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
51'马丁内斯接应过人，吉尔上抢犯规                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
51'特谢拉任意球传中，拉米雷斯远距离头球攻门，顶偏了                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
51'这球顶得太勉强                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
