1'上半场比赛开始                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
88'张稀哲前场拿球，分边给到张辛昕                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
88'张辛昕再将球横传给到王皓                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
88'王皓斜传再找左路上来的张稀哲，可惜球先出了底线                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
89'贾德尔前场拿球，带球进禁区，强突时球被国安球员解围                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
89'球到了中路跟上的李本舰脚下，李本舰拔脚怒射，杨智将球封堵                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
92'国安前场右路的任意球，斜传禁区，泰达球员解围出底线                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
92'国安的角球机会，杨智冲到了禁区来抢点啦                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
92'杨智的头球，被泰达后卫挡出了底线，继续角球                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
92'下半场比赛补时4分钟                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
93'角球开出到禁区，宗磊出击，和杨智形成抢点                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
93'宗磊将球拿到，杨智转身时不小心将宗磊撞倒在地                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
93'两位门将直接在禁区内的争抢，有意思啊                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
93'杜震宇前场拿球，左路内切后的打门，踢飞                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
94'补时4分钟已经到了                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
94'贾德尔前场争顶时又被周挺放倒在地                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
95'贾德尔表情很痛苦的倒在地上，还向裁判做着周挺的犯规动作                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
95'泰达前场任意球开出，主裁判鸣哨                   92'第92分钟，张稀哲角球开出，助攻上来的杨智头球顶在后卫头上弹出底线
94'补时4分钟已经到了                   94'第94分钟，天津队全场围抢导致后场断球，但巴雷仓促起脚被杨智将球得到
94'贾德尔前场争顶时又被周挺放倒在地                   94'第94分钟，天津队全场围抢导致后场断球，但巴雷仓促起脚被杨智将球得到
95'贾德尔表情很痛苦的倒在地上，还向裁判做着周挺的犯规动作                   94'第94分钟，天津队全场围抢导致后场断球，但巴雷仓促起脚被杨智将球得到
95'泰达前场任意球开出，主裁判鸣哨                   94'第94分钟，天津队全场围抢导致后场断球，但巴雷仓促起脚被杨智将球得到
