38'张鹭长传上来，石柯顶到第一点                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
62'赵旭日交给郑达伦，直传，被张卫破坏                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
62'赵旭日再拿球直传给大了                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
62'刘奕明的长传被贺惯端一下                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
63'格乌瓦尼奥拿球交给帕托，远射打在了石柯后背上                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
63'孙可右路得球传中，碰张卫的脚出底线                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
63'权健的气势完全起来了                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
63'帕托也向观众席扬手                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
63'帕托传后点，颜骏凌将球摘下                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
63'颜骏凌大脚发到前场                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
63'格乌瓦尼奥拿球交给帕托，远射打在了石柯后背上                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
63'孙可右路得球传中，碰张卫的脚出底线                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
63'权健的气势完全起来了                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
63'帕托也向观众席扬手                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
63'帕托传后点，颜骏凌将球摘下                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
63'颜骏凌大脚发到前场                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
64'格乌瓦尼奥拿到球交给帕托                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
64'直传                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
64'格乌瓦尼奥拿球没有传交给禁区内的孙可                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
64'回传给维特塞尔                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
64'帕托接应直传，孙可打门被贺惯封出                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
64'禁区前沿的争夺，胡尔克对帕格乌瓦尼奥犯规                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
64'胡尔克吃到黄牌                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
66'帕托的打门打在人墙头飞出底线                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
66'帕托发到外围，张诚的远射，颜骏凌将球拿住                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
66'上港反击，奥斯卡右路传中                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
66'埃尔克森做球，胡尔克凌空劲射，打到天上了                   63'第63分钟胡尔克禁区外放倒格乌瓦尼奥吃到黄牌，罚球点离门23米
68'上港换人，11号吕文君换下了7号武磊                   67'第67分钟吕文君换下有牌在身的武磊
69'比赛越来越精彩                   67'第67分钟吕文君换下有牌在身的武磊
69'石柯交给左路的张卫                   67'第67分钟吕文君换下有牌在身的武磊
69'奥斯卡接应交给石柯                   67'第67分钟吕文君换下有牌在身的武磊
70'石柯长传上来，给大了，吕文君没有追上                   67'第67分钟吕文君换下有牌在身的武磊
70'胡尔克带球上来，短传给奥斯卡，奥斯卡转身打门球偏出左边立柱                   67'第67分钟吕文君换下有牌在身的武磊
70'石柯长传上来，给大了，吕文君没有追上                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
70'胡尔克带球上来，短传给奥斯卡，奥斯卡转身打门球偏出左边立柱                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
71'张鹭发门球                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
71'帕托前场断球了，分给格乌瓦尼奥                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
71'回给维特塞尔，交给赵旭日，赵旭日远射，打偏了一点                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
72'王燊超右路得球，被格乌瓦尼奥绊倒                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
73'石柯交给张卫                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
73'奥斯卡接应回给蔡慧康                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
73'回传给石柯                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
73'张卫接应回传给石柯                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
73'长传上来，埃尔克森头球后蹭，张鹭将球没收                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
73'张鹭长传上来，被顶一下                   70'第70分钟维特塞尔横拨，赵旭日大力轰门稍稍偏出
77'也是出底线，角球                   77'第77分钟林创益换下体能有些问题的奥斯卡
77'奥斯卡参与防守将球踢在格乌瓦尼奥脚出底线                   77'第77分钟林创益换下体能有些问题的奥斯卡
77'上港换人，15号林创益换下了8号奥斯卡                   77'第77分钟林创益换下体能有些问题的奥斯卡
79'维特塞尔中场控球，交给张诚                   77'第77分钟林创益换下体能有些问题的奥斯卡
79'横传给赵旭日                   77'第77分钟林创益换下体能有些问题的奥斯卡
79'分边给了格乌瓦尼奥                   77'第77分钟林创益换下体能有些问题的奥斯卡
79'传中，给深了，球直接飞出底线                   77'第77分钟林创益换下体能有些问题的奥斯卡
80'奥斯卡交给吕文君                   77'第77分钟林创益换下体能有些问题的奥斯卡
80'盘很漂亮，交给胡尔克                   77'第77分钟林创益换下体能有些问题的奥斯卡
80'带丢了                   77'第77分钟林创益换下体能有些问题的奥斯卡
80'还是上港控球，王燊超的传中，于海头球一蹭                   77'第77分钟林创益换下体能有些问题的奥斯卡
80'球出底线                   77'第77分钟林创益换下体能有些问题的奥斯卡
82'胡尔克打一脚远射，打偏了                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
82'刚才权健用13号储今朝换下了16号郑达伦                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
83'王晓龙左路拿球回传给格乌瓦尼奥                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
83'回传给维特塞尔，转移给了赵旭日                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
83'张诚接应一下，储今朝是打左后卫                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
83'胡尔克来了，进了禁区，踩单车后劲射，张鹭将球封出底线                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
84'胡尔克发角球，张鹭将球摘下                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
84'发出来，林创益将球破坏出边线                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
84'赵旭日交给维特塞尔，分边给了储今朝                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
84'传中给大了                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
85'王晓龙组织，挑传，给大了                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
85'继续是权健的进攻                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
85'帕托的传中，孙可跑过了                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
85'林创益的分边球被张诚顶出边线                   82'第82分钟主队反复围攻上港左路，但格乌瓦尼奥最后搓传被颜骏凌一把抱住皮球
85'王晓龙组织，挑传，给大了                   85'第85分钟林创益禁区外远射被张鹭打出
85'继续是权健的进攻                   85'第85分钟林创益禁区外远射被张鹭打出
85'帕托的传中，孙可跑过了                   85'第85分钟林创益禁区外远射被张鹭打出
85'林创益的分边球被张诚顶出边线                   85'第85分钟林创益禁区外远射被张鹭打出
86'于海左路来了，传中被拦截                   85'第85分钟林创益禁区外远射被张鹭打出
86'林创益断球来一脚远射，张鹭将球扑出底线                   85'第85分钟林创益禁区外远射被张鹭打出
86'张鹭今天扑很多球了                   85'第85分钟林创益禁区外远射被张鹭打出
86'胡尔克传中，到后点，王燊超传中被解围                   85'第85分钟林创益禁区外远射被张鹭打出
86'王晓龙带，贺惯拉人犯规                   85'第85分钟林创益禁区外远射被张鹭打出
86'贺惯吃到黄牌                   85'第85分钟林创益禁区外远射被张鹭打出
87'这犯规也是值了                   85'第85分钟林创益禁区外远射被张鹭打出
87'埃尔克森回来断球交给胡尔克                   85'第85分钟林创益禁区外远射被张鹭打出
87'带球上来交给埃尔克森，变向过不了人                   85'第85分钟林创益禁区外远射被张鹭打出
87'倒出来，储今朝回传给刘奕明，长传上来                   85'第85分钟林创益禁区外远射被张鹭打出
88'帕托停球后被林创益将球踢出边线                   85'第85分钟林创益禁区外远射被张鹭打出
88'权健换人，3号王杰换下了38号孙可                   85'第85分钟林创益禁区外远射被张鹭打出
88'石柯长传上来，刘奕明顶一下                   85'第85分钟林创益禁区外远射被张鹭打出
88'胡尔克中路的控球                   85'第85分钟林创益禁区外远射被张鹭打出
88'没有护好                   85'第85分钟林创益禁区外远射被张鹭打出
88'王燊超右路传中没有传起来                   85'第85分钟林创益禁区外远射被张鹭打出
87'这犯规也是值了                   87'第87分钟天津队用王杰换下孙可
87'埃尔克森回来断球交给胡尔克                   87'第87分钟天津队用王杰换下孙可
87'带球上来交给埃尔克森，变向过不了人                   87'第87分钟天津队用王杰换下孙可
87'倒出来，储今朝回传给刘奕明，长传上来                   87'第87分钟天津队用王杰换下孙可
88'帕托停球后被林创益将球踢出边线                   87'第87分钟天津队用王杰换下孙可
88'权健换人，3号王杰换下了38号孙可                   87'第87分钟天津队用王杰换下孙可
88'石柯长传上来，刘奕明顶一下                   87'第87分钟天津队用王杰换下孙可
88'胡尔克中路的控球                   87'第87分钟天津队用王杰换下孙可
88'没有护好                   87'第87分钟天津队用王杰换下孙可
88'王燊超右路传中没有传起来                   87'第87分钟天津队用王杰换下孙可
89'于海趟球下底传中，刘奕明将球铲出底线                   87'第87分钟天津队用王杰换下孙可
89'右路的角球机会                   87'第87分钟天津队用王杰换下孙可
89'胡尔克传前点，被刘奕明解围                   87'第87分钟天津队用王杰换下孙可
89'胡尔克来掷界外球                   87'第87分钟天津队用王杰换下孙可
90'强行一打三，传中，张鹭将球抱住                   87'第87分钟天津队用王杰换下孙可
90'胡尔克打丢点球后有点太独了                   87'第87分钟天津队用王杰换下孙可
90'下半场补时3分钟                   87'第87分钟天津队用王杰换下孙可
93'胡尔克进了禁区，下底传中被张鹭挡一下                   93'第93分钟胡尔克右路再次找到机会，他突破后射门，张鹭半跪在地上把球打了出去
93'刘奕明的解围                   93'第93分钟胡尔克右路再次找到机会，他突破后射门，张鹭半跪在地上把球打了出去
93'全场比赛结束！                   93'第93分钟胡尔克右路再次找到机会，他突破后射门，张鹭半跪在地上把球打了出去
