1'比赛开始了，利物浦开球                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
92'维纳尔杜姆把球断下，后场有点玩火，险些丢掉                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
92'卢卡斯一脚解围                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
92'斯通斯左侧在给克里希，中路给费尔南多，低传右侧席尔瓦                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
92'在交给丁丁，回敲被马内断下                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
92'斯通斯补防上来，一脚破坏                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
92'詹拿球，大脚往前吊，被卡巴雷罗没收                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
92'下半场一共是补时4分钟                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
93'卡巴列罗右侧给到丁丁，斜吊禁区，给的质量很高啊                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
93'门前，后点阿圭罗有机会，一脚端射，，打高了。。。这球不应该发力了啊。。本身就不好控制                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
93'阿圭罗有机会绝杀的，但是太想发力                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
93'米尼奥莱大脚开起来                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
94'曼城控制下来，右侧给萨尼亚，在给席尔瓦                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
94'横拨奥塔门迪，直塞找到阿圭罗，带球突破                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
94'被马蒂普解围出来                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
94'奥塔门迪回敲卡巴列罗，大脚开起来                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
94'禁区外右侧萨尼亚控制住，横拨，左侧在给克里希                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
