2'中场的争夺，申花的瓜林犯规                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
74'冯潇霆后场将球踢出边线                   74'第74分钟保利尼奥前场右路送球，于汉超斜线射门偏出
75'秦升掷界外球，保利尼奥头球解围                   74'第74分钟保利尼奥前场右路送球，于汉超斜线射门偏出
75'保利尼奥有机会解围                   74'第74分钟保利尼奥前场右路送球，于汉超斜线射门偏出
75'郜林横敲，柏佳骏抢先解围                   74'第74分钟保利尼奥前场右路送球，于汉超斜线射门偏出
75'莫雷诺直传，冯潇霆断球成功                   74'第74分钟保利尼奥前场右路送球，于汉超斜线射门偏出
76'保利尼奥分边给了右路的于汉超，于汉超小角度打门打高了                   74'第74分钟保利尼奥前场右路送球，于汉超斜线射门偏出
77'申花换人，20号王赟换下了10号莫雷诺                   74'第74分钟保利尼奥前场右路送球，于汉超斜线射门偏出
77'申花换人，20号王赟换下了10号莫雷诺                   77'第77分钟瓜林前场直塞，登巴巴转身射门太正
78'瓜林长传到禁区内，梅方头球解围                   77'第77分钟瓜林前场直塞，登巴巴转身射门太正
79'  曹赟定左路空档传中，梅方将球解围                   77'第77分钟瓜林前场直塞，登巴巴转身射门太正
79'外围登巴巴停球，来一脚远射打得比较正，曾诚将球抱住                   77'第77分钟瓜林前场直塞，登巴巴转身射门太正
79'郜林前场带球，高拉特接应交给荣昊                   77'第77分钟瓜林前场直塞，登巴巴转身射门太正
80'徐新接应分右路，于汉超得球传禁区，给得太靠前了，耿晓峰将球没收                   77'第77分钟瓜林前场直塞，登巴巴转身射门太正
90'郜林前场脚后跟交给高拉特                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
90'高拉特分边左路找到于汉超                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
91'下半场补时3分钟                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
91'恒大左路的角球机会                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
91'短角球                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
91'郜林在护球，王林断球，踢到中路                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
91'柏佳骏左路晃过了王上源                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
91'传球过不了保利尼奥                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
92'王上源转移到左路，郜林内切打门打太正了，耿晓峰将球抱住                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
92'曹赟定左路带球上来，斜塞到禁区，登巴巴接应自己带球出底线了                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
93'曾诚的门球开出了边线                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
93'金基熙也想过来进攻，冯潇霆贴得很紧                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
93'张璐接应，于汉超回防将球破坏出边线                   90'第90分钟郜林左路内切后怒射被耿晓峰扑住
