4'回敲后场                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
82'门球开出                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
82'一方队拿到球权                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
82'中路传递                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
83'被伊沃碰出边线                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
83'前场左侧界外球                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
83'王耀鹏分李帅                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
83'斜传卡拉斯科                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
83'卡拉斯科背身护球被杨阔卡住                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
87'后点门将张翀将球击出                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
87'巴索戈继续控制                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
87'传中                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
87'被挡出                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
87'卡拉斯科带球反击                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
87'巴索戈碰出边线                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
87'边线球掷出                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
88'建业队断球                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
88'一方队反抢犯规                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
88'王上源带球推进                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
88'大脚找里卡多                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
88'头球后蹭                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
88'一方队挡出                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
89'卡拉斯科追上皮球，内切打门                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
89'近角的一记远射                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
89'偏出底线                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
89'建业队门球                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'一方队大脚开出                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'后场建业队拿球                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'伊沃斜传禁区                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'巴索戈停球                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'晃动                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'搓射                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'只差一点！                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
90'张翀将球开出                   87'第87分钟，卡拉斯科前场左路得球后带球途中禁区外突施冷箭，球稍稍偏出
