1'上半场比赛开始！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
67'双方再抢，球出边线，苏宁球权                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
68'谢鹏飞前场左路拿球强突，回防的邓涵文将球破坏出边线                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
68'苏宁前场失误，塔利斯卡的反击                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
68'中线位置，被回防的田依浓放倒在地                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
76'特谢拉前场左路拿球内切，黄博文的上抢犯规                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
76'苏宁获得了前场左路的任意球机会！                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
76'谢鹏飞主罚，任意球斜传到门前                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
76'冯潇霆头球解围，没能顶远                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
77'埃德尔禁区右侧跟进，凌空打门，踢飞了！                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
78'李学鹏左路拿球，带至前场                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
78'没机会，转身回传给跟进的冯潇霆                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
78'再给张琳芃，分球右侧邓涵文                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
78'直塞再给塔利斯卡                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
79'3-2！！！                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
79'恒大反超了比分！！                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
79'塔利斯卡梅开二度！！                   76'第76分钟，谢鹏飞主罚，任意球斜传到门前，冯潇霆头球解围没有定远，埃德尔禁区右侧跟进，凌空打门踢飞了
85'冯潇霆的头球顶偏！！                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
85'苏宁换人：20号阿布都海米提上，换下3号田依浓！                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
85'谢鹏飞前场左路拿球，斜塞身后找特谢拉                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
85'特谢拉的下底传中到中路                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
86'阿布都海米提甩头轰门，顶偏了！！                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
86'恒大这边两人受伤倒地没起来                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
86'阿兰倒在了中线位置，邓涵文倒在前场右边路！                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
87'阿兰没大碍，起身继续比赛                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
87'邓涵文出场治疗，站在场边准备回来                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
88'特谢拉前场左路拿球，内切中路                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
88'面对冯潇霆，穿裆摆脱                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
88'强突禁区，外脚背横传中路                   85'第85分钟，特谢拉的下底传中到中路，刚刚出场的阿布都海米提甩头轰门，顶偏了
49'邓涵文原地反抢，卡位被杨笑天掀翻在地！                   49'下半场补时4分钟
49'恒大获得了前场右路的任意球机会！                   49'下半场补时4分钟
49'大禁区右上角，塔利斯卡主罚                   49'下半场补时4分钟
49'左脚任意球直接轰门，吴曦头球解围！！                   49'下半场补时4分钟
49'这球力道很足，吴曦也是头有些晕，倒地休息下                   49'下半场补时4分钟
50'恒大前场右路的界外球机会！！                   49'下半场补时4分钟
50'张琳芃左路和谢鹏飞争抢，后者倒地                   49'下半场补时4分钟
50'裁判示意不犯规，球到了保利尼奥脚下                   49'下半场补时4分钟
50'左侧拿球内切，埃德尔示意谢鹏飞受伤了                   49'下半场补时4分钟
51'保利尼奥将球踢出边线                   49'下半场补时4分钟
51'担架进场，谢鹏飞接受治疗                   49'下半场补时4分钟
51'谢鹏飞起身准备走出去，感觉不好，转身躺在担架，被抬出场外                   49'下半场补时4分钟
51'苏宁将球权踢还给到恒大！                   49'下半场补时4分钟
52'阿兰前场左路拿球，内切到禁区                   49'下半场补时4分钟
52'遭遇两人夹击，变向和田依浓相撞倒地                   49'下半场补时4分钟
