2'上海申花球员柏佳俊拼抢犯规,对手获得控球权.                   2'开场第2分钟积施利突破制造任意球机会，马里尼奥重炮轰出界外
73'暂停结束,球员们重新开始比赛.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
73'暂停结束,球员们重新开始比赛.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
76'上海申花球员李建滨拼抢犯规,对手获得控球权.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
76'上海申花球员李建滨拼抢犯规,对手获得控球权.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
76'马里尼奥为长春亚泰在对方半场,赢得一个任意球.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
76'马里尼奥为长春亚泰在对方半场,赢得一个任意球.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
76'黄牌！上海申花球员李建滨因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
76'黄牌！上海申花球员李建滨因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
77'长春亚泰球员杜震宇大禁区外尝试左脚射门,可惜皮球稍稍高出球门.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
77'长春亚泰球员杜震宇大禁区外尝试左脚射门,可惜皮球稍稍高出球门.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
78'毛剑卿为上海申花在对方半场,赢得一个任意球.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
78'毛剑卿为上海申花在对方半场,赢得一个任意球.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
78'长春亚泰球员Yan Shipeng拼抢犯规,对手获得控球权.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
78'长春亚泰球员Yan Shipeng拼抢犯规,对手获得控球权.                   75'第75分钟马里尼奥突破被李建滨踢倒，李的钉鞋从马里尼奥身上划过吃到黄牌
78'毛剑卿为上海申花在对方半场,赢得一个任意球.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
78'毛剑卿为上海申花在对方半场,赢得一个任意球.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
78'长春亚泰球员Yan Shipeng拼抢犯规,对手获得控球权.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
78'长春亚泰球员Yan Shipeng拼抢犯规,对手获得控球权.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
79'射门!!!上海申花球员瓜林大禁区外右脚射门,被对方守门员横身扑出.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
79'射门!!!上海申花球员瓜林大禁区外右脚射门,被对方守门员横身扑出.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
79'Yi Fan将球处理出底线,上海申花获得角球.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
79'Yi Fan将球处理出底线,上海申花获得角球.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
79'上海申花球员莫雷诺大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是曹赟定.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
79'上海申花球员莫雷诺大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是曹赟定.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
80'长春亚泰球员马里尼奥手球犯规,对手获得球权.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
80'长春亚泰球员马里尼奥手球犯规,对手获得球权.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
80'射门!!!长春亚泰球员马里尼奥大禁区外左脚射门,被对方守门员横身扑出.给他传球的是胡斯蒂.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
80'射门!!!长春亚泰球员马里尼奥大禁区外左脚射门,被对方守门员横身扑出.给他传球的是胡斯蒂.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
81'柏佳俊为上海申花赢得一个任意球.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
81'柏佳俊为上海申花赢得一个任意球.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
81'长春亚泰球员胡斯蒂拼抢犯规,对手获得控球权.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
81'长春亚泰球员胡斯蒂拼抢犯规,对手获得控球权.                   78'第78分钟申花获得35米外任意球机会，瓜林直接起脚怒射，球被祎凡飞身扑出
85'柏佳俊将球处理出底线,长春亚泰获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
85'柏佳俊将球处理出底线,长春亚泰获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
85'李帅将球处理出底线,长春亚泰获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
85'李帅将球处理出底线,长春亚泰获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
86'何超将球处理出底线,上海申花获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
86'何超将球处理出底线,上海申花获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
86'Yi Fan将球处理出底线,上海申花获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
86'Yi Fan将球处理出底线,上海申花获得角球.                   84'第84分钟范晓冬左路突破制造角球，马里尼奥角球选择直接射门，但被李帅后仰打出
90'柏佳俊为上海申花赢得一个任意球.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'柏佳俊为上海申花赢得一个任意球.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'长春亚泰球员马里尼奥拼抢犯规,对手获得控球权.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'长春亚泰球员马里尼奥拼抢犯规,对手获得控球权.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+1'上海申花换人,王寿挺换下曹赟定                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+1'上海申花换人,王寿挺换下曹赟定                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+1'上海申花球员马丁斯拼抢犯规,对手获得控球权.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+1'上海申花球员马丁斯拼抢犯规,对手获得控球权.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+1'张笑飞为长春亚泰赢得一个任意球.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+1'张笑飞为长春亚泰赢得一个任意球.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+2'长春亚泰球员Tan Long手球犯规,对手获得球权.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+2'长春亚泰球员Tan Long手球犯规,对手获得球权.                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+5'下半场结束,长春亚泰 2-3 上海申花                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
90'+5'下半场结束,长春亚泰 2-3 上海申花                   90'第90分钟王寿挺换下曹赟定，申花打三后腰
