1'主裁判哨响，上半场开始了                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
46'冯特上抢把球断走                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'下半场开始了                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'大连开球，回敲给后面的朱挺                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'大脚的转移，前场右侧拼抢，国安得球                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'连续的传递，送到前场左侧                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'拼抢之后出界，国安界外球                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
56'国安快发定位球                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
56'池忠国回敲，给后场                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
56'盖坦上抢，，把球拼下来                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
56'盖坦和李磊拼抢中受伤倒地                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
56'盖坦受伤倒地啊，，似乎失去意识了                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
57'盖坦是撞到了李磊的肩膀上，头部着地，，重摔下去，失去意识                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
57'盖坦迟迟没有恢复意识啊，太可怕了                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
58'盖坦这下伤的不轻啊。。                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
58'旁边的队友纷纷招呼，赶紧换人，担架赶紧上来                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
59'盖坦被抬走了，场边的卡拉斯科很是着急啊，好像哭了                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
59'盖坦恢复意识了，，在场边抬起了头                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
59'比赛继续，池忠国左侧拿球，给身边的同伴                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
59'一记直传，比埃拉得球，缓一下，选择走左侧                   56'第56分钟，场上突发意外情况：一方中场拼抢造成池忠国倒地，裁判没有判罚；一方控球前传后，攻防双方发生快速碰撞，盖坦头部撞到李磊肩膀，盖坦倒地后一时失去知觉，双方球员都很紧张地示意队医赶紧入场，盖坦被担架抬下
61'带球推进，一个突然的直塞                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
61'禁区内左侧索里亚诺前插，反越位                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
61'单刀了，，面对门将，，冷静推入远角                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
61'奥古斯托禁区外巧妙的直塞，索里亚诺左侧插上，冷静的单刀推入网窝                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
62'这个球，，盖坦的受伤，让大连有些没回过神啊。。精神涣散了                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
62'盖坦下场了，杨芳志登场                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
62'国安左侧给到比埃拉                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
62'斜传到远端，，给奥古斯托                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
62'连续盘带，，大禁区前沿遭遇逼抢                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
62'球被防守队员解围                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
63'后场张瑀拿球，给左侧于洋，再分池忠国                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
63'观察一下，一个长传穿越                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
63'大禁区左侧索里亚诺插上，拿球和比埃拉的撞墙                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
63'中路在横敲朴成，斜传扫入禁区                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
63'后点韦世豪插上，，越位了                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
63'大连后场定位球开起来                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
63'中圈附近还是国安拿到，，横敲左侧                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
64'奥古斯托在给朴成，回敲池忠国                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
64'再分身前朴成，转身被冯特断下                   61'第61分钟，场上人数占优的国安将比分扩大为3-0：奥古斯托中路摆脱后突然以外脚背妙传禁区，索里亚诺禁区左侧施射破门
68'一脚出球，被卡拉斯科拦截                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
68'分右路给杨芳志，斜传到远端                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
68'奥古斯托半路截胡，，一记直传                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
68'给到中圈附近，，找到了比埃拉                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
68'大步流星的突破，前场左路                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
68'分中间，，比埃拉拿球，，重炮                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
68'张翀把球挡出                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
68'随后迅速起来，，没收第二点                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
69'张翀大脚开起来                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
69'国安后场控制，还是找奥古斯托                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
69'再分比埃拉，中路给朴成，挑入禁区                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
69'禁区左侧索里亚诺前插                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
69'倒三角给回来，，裁判举旗，越位                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
69'大连后场定位球，开出来                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
70'中圈附近拼抢，右侧出界                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
70'国安界外球，给到巴顿                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
70'巴顿右侧突破，杀到底线                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
71'横敲到门前，被张翀没收                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
71'手抛给出来                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
71'裁判哨响，大连拼抢犯规                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
71'国安中圈附近组织                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
71'来回的转移，右侧给到姜涛                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
71'一脚斜传，扫入禁区                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
71'被防守队员解围出来                   68'第68分钟，国安再次在中路打出快速配合，比埃拉禁区前攻门被门将侧扑挡出
84'连续的传递，于大宝的直塞                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
84'禁区左侧巴顿高速前插，给出一个回敲                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
84'身后于大宝顺势挑到禁区后点                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
84'朴成被放空了，，插上，，跃起，，头球居然顶偏                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
85'这球，，顶的有点业余了啊                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
85'比埃拉拿球，自己横切，被断了                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
85'向前一个过顶长传，，，左侧卡拉斯科得球                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
85'遭遇逼抢，被众人围堵，丢掉了                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
85'国安后场拿球，给于大宝，身前给朴成                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
86'转移，左侧找奥古斯托，，低球斜传                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
86'中路比埃拉得球，回敲                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
86'于大宝跟上，挑传禁区                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
86'左侧争顶，，巴顿乱战中得球，，一个低射                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
86'张翀没收                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
86'前场右侧大连的进攻                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
86'横敲，，直接送给对方于大宝脚下了啊                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
87'转身大步流星的推进                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
87'前场左侧给身前比埃拉                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
87'直塞在给巴顿，，被解围出去                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
87'中圈附近给到孙铂，交给身后的王亮                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
87'连续的传递，大禁区左侧，，拼抢，哨响了                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
87'吹了大连的犯规                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
87'国安用完最后一个名额，王子铭替下比埃拉                   84'第84分钟，比埃拉中路带球被抢断，替补出场的于大宝迅速反抢，李磊左路传中至禁区后点空档，朴成头球攻门顶偏
