2'郑铮右路横传                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
72'韩鹏受伤被抬出？是被迫下场                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
73'巴里奥斯右路突破直传给了郜林                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
73'郜林突破，金敬道犯规                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
73'广州恒大队前场位置不错的任意球！                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
73'安帅对这一判罚也不太满意                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
74'任意球发到禁区，巴里奥斯头球高出！                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
74'后场安塔尔断球，转移到右路进攻                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
75'金敬道的速度也够快的                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
75'后场广州恒大队抢到球！金敬道背后犯规，破坏了对方的快速反击                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
75'穆里奇左路突破没能成功                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
75'郑铮左路直传球，张琳芃破坏出边线                   72'第72分钟，郜林前场右路突破赢得任意球机会，孔卡主罚到禁区内，巴里奥斯抢点头球攻门，可惜高出了横梁
76'郑铮把球交给杨旭，回传后再由安塔尔横传到右路                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
76'杨旭在在禁区线上得球，横拨被破坏                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
77'郑铮左路横传球，可惜传得大了，杨旭禁区内看着皮球从头顶过去                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
77'张琳芃右路快速突破下底，吕征铲球犯规，放倒了张琳芃                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
77'从慢镜来看，吕征并没有铲到人！                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
78'主裁判询问了助理裁判！改判啦！                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
78'给了广州恒大队角球？                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
78'广州恒大队换人：荣昊上场                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
78'还是判了任意球！吹了吕征的犯规                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
79'孔卡发任意球直接打在了吕征头上出边线                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
79'鲁能泰山队在前场围逼抢！没能成功                   76'第76分钟，郑智中场中路转移到右路空挡，张琳M接连利用个人技术摆脱吕征防守压入底线，吕征背后有个犯规动作，主裁判给了广州恒大一个任意球机会
80'广州恒大队快速反击，巴里奥斯传球，孔卡越位                   80'第80分钟，广州恒大快速反击，孔卡中场斜塞右路空挡，穆里奇高速插上横敲门前，麦克格文快速回防飞铲出底线，否则门前巴里奥斯直接面对守门员了
80'如果巴里奥斯直接传球的话就好了！自己停了一下再传，就有两人越位                   80'第80分钟，广州恒大快速反击，孔卡中场斜塞右路空挡，穆里奇高速插上横敲门前，麦克格文快速回防飞铲出底线，否则门前巴里奥斯直接面对守门员了
80'耿晓锋大脚开球到前场，张琳芃护球出底                   80'第80分钟，广州恒大快速反击，孔卡中场斜塞右路空挡，穆里奇高速插上横敲门前，麦克格文快速回防飞铲出底线，否则门前巴里奥斯直接面对守门员了
82'穆里奇！右路接队友直传球反越位成功！突破横传，只要巴里奥斯能碰到球就进了！！这时铁闸又出现了！麦克格文把球破坏！！！                   80'第80分钟，广州恒大快速反击，孔卡中场斜塞右路空挡，穆里奇高速插上横敲门前，麦克格文快速回防飞铲出底线，否则门前巴里奥斯直接面对守门员了
82'角球发到禁区，张琳芃色抢受伤倒在地上                   80'第80分钟，广州恒大快速反击，孔卡中场斜塞右路空挡，穆里奇高速插上横敲门前，麦克格文快速回防飞铲出底线，否则门前巴里奥斯直接面对守门员了
83'张琳芃是在禁区内倒勾，危险动作啊！自己还受伤了，也犯规啦！                   80'第80分钟，广州恒大快速反击，孔卡中场斜塞右路空挡，穆里奇高速插上横敲门前，麦克格文快速回防飞铲出底线，否则门前巴里奥斯直接面对守门员了
88'广州恒大队左路攻到前场，横传中路                   88'第88分钟，中场王永珀与金英权拼抢后有抽筋现象，山东鲁能已经进行了3人换人无法调整了，只能坚持下去了
89'荣昊左路突破下底，在对方的逼抢下横传，打在对方身上出底线                   88'第88分钟，中场王永珀与金英权拼抢后有抽筋现象，山东鲁能已经进行了3人换人无法调整了，只能坚持下去了
89'郜林发角球到前点，安塔尔解围                   88'第88分钟，中场王永珀与金英权拼抢后有抽筋现象，山东鲁能已经进行了3人换人无法调整了，只能坚持下去了
89'王永珀后场右路控球，直接被荣昊从背后抱住了                   88'第88分钟，中场王永珀与金英权拼抢后有抽筋现象，山东鲁能已经进行了3人换人无法调整了，只能坚持下去了
90'王永珀抽筋坐在地上！                   88'第88分钟，中场王永珀与金英权拼抢后有抽筋现象，山东鲁能已经进行了3人换人无法调整了，只能坚持下去了
90'有拿1分的想法？                   88'第88分钟，中场王永珀与金英权拼抢后有抽筋现象，山东鲁能已经进行了3人换人无法调整了，只能坚持下去了
91'穆里奇前场接球，横传到左路                   88'第88分钟，中场王永珀与金英权拼抢后有抽筋现象，山东鲁能已经进行了3人换人无法调整了，只能坚持下去了
93'张琳芃似乎对裁判进行了国骂！不礼貌啊，当然只是看口形                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
93'郑铮左路横传球，大了，直接到另一侧                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
93'郜林地传禁区，被破坏                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
94'孔卡挑传禁区！铁闸把球破坏出底线                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
94'还有2分钟左右的补时时间                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
94'黄博文来开角球                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
95'角球发到禁区内，张琳芃头球顶门！！穆里奇站在了球前，把球挡出来！广州恒大队再打门被郑铮挡出！！！                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
95'好悬，鲁能泰山队应该谢谢穆里奇                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
95'郑铮吃到了黄牌                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
96'吕征快速反击！！前场形成单刀！曾诚快到中场了把球破坏                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
96'鲁能泰山队的禁区内一片混乱！！巴里奥斯打门，耿大将侧扑把球扑住！                   93'第93分钟，黄博文主罚左路角球到中路，张琳M抢点球攻门，球打在门线前穆里奇身上弹出
