1'比赛开始了，国安率先开球                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
57'苏宁右侧角球，，汪嵩开起来                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
57'半高球，，被破坏                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
57'禁区外右侧，汪嵩得球，横敲                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
57'谢鹏飞想远射，动作慢了                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
57'雷腾龙一脚解围                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
58'后场李昂拿球，横向转移右路                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
58'汪嵩得球，横切，，再给吴曦                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
58'挑传到禁区，，，埃德尔争顶倒地，，裁判没表示                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
58'国安后场给到比埃拉                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
58'推进过来，前场右侧索里亚诺得球                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
58'停球，，右侧盘带，，走底线                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
58'倒三角送到点球点                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
59'张稀哲停了一下，再想起，被李昂破坏了                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
59'吉翔拿球，右路的转移                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
59'杨笑天左侧推进，快步向前                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
59'身边给到吴曦，，再分，，谢鹏飞左侧拿球                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
59'再给汪嵩，禁区外围弧顶给吴曦                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'再分边右路，，吉翔上来                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'面对奥古斯托，，，左脚送到禁区                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'谢鹏飞插上，垫射，，，踢偏了                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'侯森大脚开起来                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'奥古斯托第一点一蹭                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'摆渡给池忠国，，再分奥古斯托                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'左侧斜传，，姜涛跟上                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
60'再分右侧于大宝，，回敲奥古斯托                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'转移左侧给金泰延，，左路推进                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'倒三角，，中路找比埃拉                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'又是李昂，关键的解围                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'中圈附近连续的争抢，，池忠国争顶犯规                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'苏宁定位球，，李昂后场控制                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'给谢鹏飞，，左侧挑传                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'张瑀禁区内头球解围                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
61'吴曦外围拼抢，被比埃拉放倒                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'比埃拉吃到黄牌                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'苏宁位置不错的定位球                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'吉翔主罚，，直接射，被人墙挡回                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'吉翔右侧再起，，，吊入后点                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'田依浓头球摆渡，，，被张瑀解围                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'国安反击，，，前场左侧给比埃拉                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'强吃，，杀底线                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
62'冲击力很强，，底线冲进去，，面对门将                   59'第59分钟，吉翔右路摆脱奥古斯托后送出传中，苏宁禁区中路多人抢点，谢鹏飞攻门未踢正部位
64'苏宁定位球，右路给吉翔                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
64'在横向的转移，，给到吴曦                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
65'吴曦左侧跟进找杨笑天，，再给谢鹏飞                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
65'稍作调整，，传中                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
65'第一点还是被解围                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
65'苏宁左侧继续拼抢，，还是强行的传中                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
65'这次博阿基耶抢到了                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
65'并且打进，，但是不算                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
65'这次是博阿基耶犯规在先，，，进球无效                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
66'这次进攻也给国安提个醒，，强力黑又硬，随时埋伏啊                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
66'国安后场定位球                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
66'给右路奥古斯托，，停球，回敲姜涛                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
66'再给比埃拉，一记直塞                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
66'送入禁区内，，，索里亚诺跟上                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
66'接球面对顾超，，，一个挑射，，但是，，哨响了                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
66'比埃拉送直塞的时候，越位在先                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'国安换人，，朴成替下张稀哲                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'现在场上延边籍的球员很多了啊                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'顾超后场发球                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'右侧找到杨博宇，，长传冲吊                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'前场博阿基耶头球摆渡给埃德尔                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'埃德尔接球，在分右路                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'金泰延上抢拦截                   64'第64分钟，苏宁持续冲击中汪嵩斜传禁区，博阿基耶与雷腾龙手臂撕扯中头球破门，两人双双倒地，裁判判定博阿基耶进攻犯规在先，入球无效，博阿基耶显得非常不满
67'国安换人，，朴成替下张稀哲                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
67'现在场上延边籍的球员很多了啊                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
67'顾超后场发球                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
67'右侧找到杨博宇，，长传冲吊                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
67'前场博阿基耶头球摆渡给埃德尔                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
67'埃德尔接球，在分右路                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
67'金泰延上抢拦截                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'前场再给奥古斯托，，继续分边                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'左路朴成过来，，传中进去                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'门前中路，奥古斯托拍马赶到                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'头球一蹭，，偏出了一些                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'顾超后场大脚开起来                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'中圈附近，，吴曦顶到                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'后场李昂拿球，给吉翔，，向前                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
68'雷腾龙抢在博阿基耶之前，把球拦截                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
69'博阿基耶拼抢放倒了雷腾龙，犯规                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
69'侯森定位球开起来                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
69'前场中路，，比埃拉得球                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
69'比埃拉机敏的送出直塞                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
69'索里亚诺跟进，单刀了                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
69'面对顾超，，推射得手，但是又越位了                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
69'裁判示意要确认一下VAR                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'VAR里给了裁判明确的建议，，确实越位                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'比赛继续，苏宁后场定位球                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'左侧给杨笑天，左路直接甩                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'传中到禁区，，，第一点被解围                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'外围右侧吉翔，，，带球45度再起                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'侯森门前把球摘下                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'侯森后场交给金泰延，短传比埃拉                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
70'不着急，，控制                   67'第67分钟，朴成左路传中，奥古斯托头球攻门顶偏
73'后点李昂跟上，扫射，，，被后卫挡出底线                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
73'左侧角球，，吉翔再起                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
73'还是前点，奥古斯托解围，                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
73'中圈附近杨笑天拿球，回敲顾超，，长传                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
73'禁区内雷腾龙的解围                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
73'苏宁外围右侧给汪嵩                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
73'横向转移，，，左侧杨笑天拿球                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
74'推进，，突破，，撞翻了跟防他的于大宝，，吹了苏宁的犯规                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
74'国安后场定位球，短传到中圈                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
75'谢鹏飞上抢，，在横敲                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
75'索里亚诺把球拦截                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
75'外围40米，突然的起脚冷射                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
75'顾超注意力集中，把球没收                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
75'顾超发球，给中路杨博宇                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
75'再分右侧，吉翔推进                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
75'高球传中，，，还是被门将没收                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'侯森发球给右路姜涛                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'推进，身前给奥古斯托，护球                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'右路交给于大宝，带球推进                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'杀入禁区右侧，，横敲                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'门前中路，李昂解围出边线                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'右侧界外球，给到比埃拉                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'自己狂突，杀入禁区右肋                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'自己大力施射，，击中边网                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
76'比埃拉这战斗力，惊人啊                   73'第73分钟，苏宁角球冲击在禁区内由吴曦形成摆渡，李昂后点攻门被金泰延挡出
77'顾超后场开起来                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
77'左侧前场找博阿基耶                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
77'护球，，再分左路谢鹏飞                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
77'自己带球，于大宝回防把球断下                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
77'于大宝向前，试图反击                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
77'但是被田依浓断下                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
77'田依浓横敲，右路找埃德尔                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
78'埃德尔右路突破，横敲送到门前                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
78'这次博阿基耶门前瞅准机会，推射                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
78'这次有了，没问题这次                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
78'博阿基耶为苏宁扳回一城                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
78'但慢镜头来看，貌似是乌龙啊                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
79'田依浓前场抢下皮球，斜传送右路埃德尔，埃德尔门前送出横传，国安中卫张瑀在防守时不慎将球攻入自家大门                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
79'苏宁看到扳平希望，继续猛攻                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
79'比赛时间还是够的                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
79'前场右侧吉翔，，横敲吴曦                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
79'再给身边汪嵩，直接被金泰延放倒在地                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
79'苏宁前场右侧定位球机会                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
79'汪嵩虚晃，，吉翔开起来                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
80'任意球吊入禁区，，张瑀解围出来                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
80'外围中路田依浓在垫进去                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
80'侯森把球没收                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
80'侯森手抛，，禁区外给到比埃拉                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
80'后场左侧拿球，推进，给到身边金泰延                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
80'金泰延左侧护球，遭遇逼抢，，横向的转移                   77'第77分钟，比埃拉突然启动杀入禁区右侧，他的小角度攻门打偏在边网上
82'分左侧金泰延，，中路再找比埃拉                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
82'带球杀入禁区，分给右侧索里亚诺                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
82'在回做，，比埃拉跟上，，推射有了                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
82'比埃拉，破门了。。。这球两个外援玩的666啊                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
83'比埃拉自己策动，分球到禁区内，被杨笑天挡了一下，但没有挡住比埃拉和皮球的路线，比埃拉收到大礼，禁区内中路推射得手                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
83'比埃拉和后卫来了一个禁区内的配合啊，，乌龙助攻了                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
84'杨笑天为了挡住索里亚诺，铲抢送上乌龙助攻                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
84'苏宁右侧给谢鹏飞                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
84'国安再次抢断，，反击再来                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
84'比埃拉左路横切，，田依浓大脚破坏                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
84'前场拼抢，埃德尔越位了                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
84'国安进攻，，给到奥古斯托脚下                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
85'横敲右路接应的比埃拉                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
85'再给池忠国，连续盘带，，博阿基耶回防断下                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
85'给到汪嵩，斜传右路谢鹏飞                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
85'金泰延奋力拼抢，，把球逼住                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
85'谢鹏飞手上有动作，吹了拉人                   82'第82分钟，国安再度将比分扩大：苏宁前场运转受阻，皮球反弹中被裁判挡下，就在苏宁球员对裁判有所抱怨时，国安快攻已起，比埃拉将球塞入禁区，李昂倒地解围不远，快速前插的比埃拉低射破门，国安3-1领先
