4'争抢球，吴曦犯规了                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
67'被颜骏凌稳稳抱住                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
68'吕文君直传球，找埃弗拉，力量大了，出了底线                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
69'顾超大脚将球开出来，上港将球控制下来                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
69'中场特谢拉将球断回来，传球谢鹏飞，直接出界了                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
69'谢鹏飞感觉体力有点不支了                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
72'马丁内斯助跑                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
72'打门，球被扑出来了                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
72'不过谢鹏飞将球补进                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
72'哎呀，裁判哨响，越位了                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
72'这什么情况，马丁内斯的射门被颜骏凌判断出来                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
72'中场上港有人倒地了                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
72'于海倒地了                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
73'不好意思，看错了是付欢                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
74'比赛继续                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
74'上港进攻                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
74'埃弗拉带球突破，吉祥犯规了，再次吃到黄牌                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
74'武磊拿球，给埃弗拉，横传球，球被解围出来                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
74'苏宁大脚传球前场，马丁内斯拿球，被付欢放倒了                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
75'拉米雷斯这边倒地了                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
75'队医进来处理下                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
75'苏宁这边准备换人了，塞恩斯伯里准备登场                   72'第72分钟吉翔拉倒埃弗拉吃到黄牌
81'张晓彬直传球，球被拦截下来                   81'第81分钟谢鹏飞抽筋倒地被抬出
81'孙祥中场的传球，被断了                   81'第81分钟谢鹏飞抽筋倒地被抬出
81'不过上港将球断回来                   81'第81分钟谢鹏飞抽筋倒地被抬出
81'埃弗拉直接挑传身后，找武磊                   81'第81分钟谢鹏飞抽筋倒地被抬出
82'塞恩斯伯里将球解围出来                   81'第81分钟谢鹏飞抽筋倒地被抬出
82'这边又有人倒地了                   81'第81分钟谢鹏飞抽筋倒地被抬出
82'苏宁这边有人抽筋了                   81'第81分钟谢鹏飞抽筋倒地被抬出
83'谢鹏飞被担架抬下去了                   81'第81分钟谢鹏飞抽筋倒地被抬出
83'场边又要换人了                   81'第81分钟谢鹏飞抽筋倒地被抬出
83'OK，比赛先继续                   81'第81分钟谢鹏飞抽筋倒地被抬出
83'上港进攻                   81'第81分钟谢鹏飞抽筋倒地被抬出
83'胡尔克拿球，直传球，球被李昂解围出来                   81'第81分钟谢鹏飞抽筋倒地被抬出
84'谢鹏飞没事呀，回来了                   81'第81分钟谢鹏飞抽筋倒地被抬出
84'埃弗拉拿球，躺球过人吗，被吴曦犯规了                   81'第81分钟谢鹏飞抽筋倒地被抬出
84'吴曦吃到了黄牌                   81'第81分钟谢鹏飞抽筋倒地被抬出
84'上港前场定位球机会                   81'第81分钟谢鹏飞抽筋倒地被抬出
50'慢镜头回放，两人刚才争抢球，碰到了一起                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
51'付欢去场边接受一下治疗，问题应该不大                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
51'比赛继续                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
52'拉米雷斯传球吴曦，调整下，直接打门                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
52'球进了！！！！！！！！！！！！！！！                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
52'世界波，wow，吴曦                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
53'吴曦拿球，带一步，直接果断射门，将球打进                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
53'胡尔克禁区前沿拿球，被犯规了                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
53'前场任意球机会                   50'本场补时5分钟，第90分钟马丁内斯右路连续过人，但最后被蔡慧康在禁区外一点踢翻在地，蔡吃到黄牌
92'就在右侧禁区后面一点点                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
92'特谢拉站在皮球前                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
92'给李昂，外围的打门，直接高射炮                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
92'这球处理的不好                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
93'胡尔克前场拿球，被犯规了                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
93'快发任意球，塞恩斯伯里断球，胡尔克反抢犯规了                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
93'还吃到了黄牌                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
94'马丁内斯前场拿球，内切，张晓彬过来，把马丁内斯的球，踢到了                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
94'哎呀这队友无语                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
95'上港后场控球，最后1分钟了                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
95'中场争抢球，胡尔克对吴曦犯规了                   92'第92分钟塞恩斯伯里拖延时间吃到黄牌
