1'随着主裁一声哨响，比赛正式开始                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
76'王云龙上，姚翰林下                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
76'姚翰林跑得抽筋了，在场上也是真拼啊                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
76'杨昊在抢球                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
76'李行从身后放倒了米西                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
77'闫相闯接队友长传内切                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
77'可惜柯钊站住了位置，将球解围                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
77'卓尔反击，本特利带球下底                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
78'斯托扬禁区腹地左脚打门                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
78'球稍稍高出横梁                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
78'斯托扬这脚打门没有把握住呀                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
78'本特利刚刚晃开了张成林传的非常漂亮                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
78'闫相闯又陷入了越位线                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
79'闫相闯的速度足以震慑任何一个对手                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
79'况且他刚上场，体能充沛                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
79'卓尔第三次换人                   76'第76分钟，武汉队前场抢断，14号本特利边路起球传中，32号斯托扬诺维奇左脚射门，可惜皮球高出球门
80'斯托扬下，登贝莱上                   80'第80分钟，本特利回追的时候犯规
80'全场球迷为斯托扬起立鼓掌                   80'第80分钟，本特利回追的时候犯规
80'黑贝久违了绿茵，一上场球迷都报以热烈的掌声                   80'第80分钟，本特利回追的时候犯规
81'本特利一对一，突破不成                   80'第80分钟，本特利回追的时候犯规
81'还是选择背身传球交给李行                   80'第80分钟，本特利回追的时候犯规
81'黑贝顶在了最前面                   80'第80分钟，本特利回追的时候犯规
81'比赛目前已经过了80分钟，比分还是1-1                   80'第80分钟，本特利回追的时候犯规
82'这个时候对于双方都是最后一波攻势                   80'第80分钟，本特利回追的时候犯规
82'贵州人和换人                   80'第80分钟，本特利回追的时候犯规
82'拉法上，穆斯利下                   80'第80分钟，本特利回追的时候犯规
82'拉法第一次触球就越位在先                   80'第80分钟，本特利回追的时候犯规
83'两个教练一前一后把所有的进攻牌都打出去了                   80'第80分钟，本特利回追的时候犯规
83'于海左路内切后选择传中                   80'第80分钟，本特利回追的时候犯规
83'球被邱添一解围                   80'第80分钟，本特利回追的时候犯规
83'登贝莱趟球过大                   80'第80分钟，本特利回追的时候犯规
82'这个时候对于双方都是最后一波攻势                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
82'贵州人和换人                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
82'拉法上，穆斯利下                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
82'拉法第一次触球就越位在先                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
83'两个教练一前一后把所有的进攻牌都打出去了                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
83'于海左路内切后选择传中                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
83'球被邱添一解围                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
83'登贝莱趟球过大                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
84'只当他自己活动活动筋骨                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
84'吴龑手抛球给了法蒂                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
84'目前天气非常闷热，队员们大汉淋漓                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
85'人和好机会，闫相闯突然杀入禁区                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
85'随后一脚横敲，幸好邱添一把球勉强挡出                   82'第82分钟，登贝莱得球后大步趟向前场，可惜最后一步趟球力量稍大，皮球被对方后卫抢先截获
91'目前比赛进行到90分钟                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
91'伤停补时4分钟                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
91'登贝莱卸下高球，把球控制在自己脚下                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
91'选择回传给队友，李行分给了本特利                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
92'进攻有利，朱挺还是把球踢出界外                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
92'王云龙在抢球时被闫相闯提到脚踝                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
92'没有大碍，比赛继续                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
93'登贝莱在前场没能拿住球                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
93'登贝莱面对两名后卫酿跄带球                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
94'王云龙机敏地从身后断球斜插入禁区                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
94'下地候选择传中，登贝莱没能打上                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
94'卓尔队浪费了一次绝好的破门良机啊                   91'第91分钟，王云龙在争抢时受伤，正在进攻的武汉卓尔队将球踢出界外
92'进攻有利，朱挺还是把球踢出界外                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
92'王云龙在抢球时被闫相闯提到脚踝                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
92'没有大碍，比赛继续                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
93'登贝莱在前场没能拿住球                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
93'登贝莱面对两名后卫酿跄带球                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
94'王云龙机敏地从身后断球斜插入禁区                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
94'下地候选择传中，登贝莱没能打上                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
94'卓尔队浪费了一次绝好的破门良机啊                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
95'本特利在左路带球，球被饶伟辉大脚解围                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
95'裁判哨响，本场比赛结束                   92'第92分钟，武汉卓尔队错失绝杀良机，登贝莱掩护王云龙带球到底线附近横传，中路的登贝莱面对门将倒地铲射可惜没有碰到皮球
