2'右侧找到姜积弘，再给陈伟铭                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
41'比赛继续                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
41'左侧张晨龙拿球快速突破                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
41'往禁区内杀，，低球传中                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
41'万厚良解围出去                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
41'左侧拼抢，，裁判哨响了                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
42'朱宝杰被唐淼绊倒在地                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
42'唐淼吃到黄牌                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
42'人和后场左侧长传，被断                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
42'富力后场控制，姜积弘给到托西奇                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
42'分左侧李提香，，带球推进                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
42'半场过来，，，向前给到扎哈维                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
43'接球转身，，遭遇逼抢，出界了                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
43'边线球，给了人和球权                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
43'扎哈维不服，，，跟裁判投诉                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
43'裁判不理会                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
43'人和后场发出来，，在推进向前，被马俊亮拦截                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
43'回敲给到托西奇，斜长传                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
43'前场左侧，，直接出了边线                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
44'人和后场界外球，给过来                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
44'李提香一碰，到了中路陈志钊脚下                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
44'挑传到禁区，万厚良解围出去                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
44'中圈附近，，托西奇得球，，分到了右侧                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
44'姜积弘拿球，短传给身前的唐淼                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
44'横敲，，马俊亮拿球，分左侧给大了                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
44'出界，，，边线球                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
46'上半场补时2分钟                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'富力不急于向前，连续的传递                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'富力挑传到前场左侧，给丢了                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'陈杰拦截，短传到了右侧                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'迪奥普拿球，转左路史亮                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'再给前插的迪奥普，突破下底                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'传中球，，，给大了，，飞出了底线                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'富力门球，，程月磊开起来                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'中圈拼抢，，，陈志钊得球                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'控制一下，还是回敲，，给右侧姜积弘                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'短传给身前的唐淼                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'再横敲一下，朱宝杰拦截把球拿到                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'朱宝杰斜传到右路                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'裁判哨响了，上半场结束                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'富力主场作战先丢一球的不利情况下，连入2球，上半场实现了反超                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'富力优势还是比较明显的，人和主要的进攻都集中在反击，而富力的传控打法踢的很顺畅                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'下半场回来                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'下半场开始，人和开球                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'回敲给史亮，，长传到右路给向汉天                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'低球传中，前点，，无人跟进啊                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'程月磊把球没收                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'大脚开起来                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
46'前场左侧拼抢，，，陈杰踢出边线                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'左侧界外球，右侧给到唐淼                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'横敲马俊亮，，中圈位置拿球，，短传身前                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'陈杰把球拦截                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'马俊亮反抢，，犯规了                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
47'定位球，给出来，连续的传递，到右侧                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'向汉天，，转移                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'迪奥普，杀入禁区右侧，，抬脚射门                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'被姜积弘挡出了底线                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'右侧角球机会，，人和把球开出                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'到了禁区中路，，，裁判哨响。。。                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'穆坎乔禁区内拼抢犯规                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'后场富力大脚开起来                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
48'中场右侧，，向汉天得球。。。短传给到身前                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
49'迪奥普接球，，连续晃动，，转到了左侧                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
49'姜积弘把球拦截                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
49'断下来，低球向前给                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
49'唐淼把球得到，，斜长传，，，找前面的扎哈维                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
49'直塞肖智，，被罗歆断下                   46'第46分钟，前场右侧向汉天把球得到低平球传中，禁区内门将程月磊把球抱住
54'高球送入禁区，，，争顶起跳                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
54'迪奥普头球解围                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
54'外围左侧李提香拿球，横敲一下                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
54'再分左侧雷纳尔迪尼奥，，，王刚破坏出去                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
54'中圈附近托西奇拿球，分右侧给张晨龙                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
54'再回敲，，托西奇拿球，观察一下                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
54'裁判哨响，，比赛暂停，，有人受伤                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
55'马西卡替下了受伤无法坚持的穆坎乔                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
55'比赛继续，富力马上组织一次进攻                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
55'左侧扎哈维拿球，自己内切                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
56'一记爆射，，，张烈把球没收                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
56'大脚开起来                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
56'中圈右侧，王刚得球，低球斜传到身前                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
56'向汉天接球，遭到对手逼抢，，李提香犯规了                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'前场右侧，人和定位球机会                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'开起来，，，直接吊入禁区后点                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'马西卡跟上，，倒地铲射，，偏出底线                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'富力，程月磊大脚开起来                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'中圈附近陈杰拿球，短传到身前                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'斜传左侧找朱宝杰，，横敲，被破坏                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'中圈附近史亮得球，分后场左侧                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'饶伟辉，，低球向前给一下                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
57'被防守队员挡回来，，再来                   54'第54分钟，马西卡替下了受伤无法坚持的穆坎乔
56'一记爆射，，，张烈把球没收                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
56'大脚开起来                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
56'中圈右侧，王刚得球，低球斜传到身前                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
56'向汉天接球，遭到对手逼抢，，李提香犯规了                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'前场右侧，人和定位球机会                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'开起来，，，直接吊入禁区后点                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'马西卡跟上，，倒地铲射，，偏出底线                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'富力，程月磊大脚开起来                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'中圈附近陈杰拿球，短传到身前                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'斜传左侧找朱宝杰，，横敲，被破坏                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'中圈附近史亮得球，分后场左侧                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'饶伟辉，，低球向前给一下                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
57'被防守队员挡回来，，再来                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
58'中圈内给到陈杰，，斜传左侧马西卡                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
58'一脚传中，，，禁区内无人接应，，李提香把球解围                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
58'李提香的解围不远，，，外围马西卡继续拿球                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
58'横敲到前场右侧，被拦截                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
58'后场富力大脚开出来                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
59'前场中路陈志钊拿球，短传给身前，禁区内左侧找到扎哈维                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
59'扎哈维假射，真扣，，晃开防守                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
59'右脚小禁区前沿的爆射，，，进了                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
59'扎哈维非常漂亮的一球                   56'第56分钟，李提香犯规送给人和前场右侧定位球机会，皮球吊入禁区，马西卡跟上倒地铲射偏出底线
60'扎球王戏耍万厚良，轻松打进                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
60'前场左侧陈志钊助攻传球到了禁区左侧内！扎哈维把球得到！！假动作晃开万厚良，右脚抽射入网                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
61'人和场边有换人调整                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
61'向汉天被尼木扎丁替下                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
62'人和的进攻，右侧迪奥普，，胸口卸球                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
62'外围直接来，，被门将没收                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'大脚开起来，，中场左侧拼抢                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'托西奇把球破坏出边线                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'人和界外球，史亮横敲一下，，陈杰再给到左侧                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'饶伟辉拿球，，低球向前，马西卡拿球                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'横向内切，，晃开角度，，直接就射，击中边网                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'富力门球开起来                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'中圈左侧找到雷纳尔迪尼奥，，横敲                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
63'扎哈维拿球，再转移到了右路                   60'第60分钟，人和换人调整，向汉天被尼木扎丁替下
65'大脚开出来，前场拼抢，，，裁判哨响，，扎哈维的犯规                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
65'人和后场定位球，，短传给到身前                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
65'陈杰中圈附近分到右侧给王刚                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
65'短传，身前同伴接到，，再横敲                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
65'托西奇把球破坏，中圈位置，万厚良得球                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
65'斜传左侧，饶伟辉把球拦下                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'低球斜传到身前，陈杰再次把球拦截                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'给到了前场右侧，向汉天横敲一下                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'弧顶位置，，托西奇把球大脚解围                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'前场中路，扎哈维得球                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'回敲到身后，雷纳尔迪尼奥一记长传                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'前场右侧唐淼跟进，，45度弧线传中                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'被对方破坏出来                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'出了底线，，角球                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
66'富力右侧角球，，开出来，找前点                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
67'扎哈维鬼魅的跑位，，，前点跟上，一个推射                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
67'张烈近距离把球扑出啊，，厉害了                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
67'外围右侧富力再起                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
67'禁区内倒钩，，没踢上，，人和禁区内大脚解围                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
67'右侧迪奥普的反击机会                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
68'吹响反击号角                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
68'自己突破向前，李提香把球破坏出去                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
68'又到了补水时间                   65'第65分钟，富力获得右侧角球机会，角球开出找前点，扎哈维鬼魅跑位前点跟上一个推射被张烈封堵出来
75'遭遇围堵，，被对手放倒在地                   75'第75分钟
75'富力定位球，回敲托西奇，，斜传                   75'第75分钟
75'右路唐淼拿球，再横敲中圈附近                   75'第75分钟
75'陈杰把球拦截，，斜传右路插上的王刚                   75'第75分钟
75'王刚往前一拨，，，人球分过，，没有成功                   75'第75分钟
76'富力换人了，肖智被卢琳替下                   75'第75分钟
77'人和右侧进攻，短传给迪奥普                   75'第75分钟
77'再分到边路，王刚插上，把球领走                   75'第75分钟
77'再起传中，禁区内找到马西卡                   75'第75分钟
77'马西卡后点被包夹，，球被破坏                   75'第75分钟
77'外围雷纳尔迪尼奥接球遭遇侵犯                   75'第75分钟
77'富力后场定位球，挑传到前场                   75'第75分钟
78'陈杰把球拦截，斜传右路                   75'第75分钟
78'王刚继续插上，不知疲倦啊                   75'第75分钟
78'突破，，一路杀到右侧底线附近                   75'第75分钟
78'起球传中，，，还是传大了                   75'第75分钟
78'外围左侧马西卡得球，回敲，，陈杰外围拿球                   75'第75分钟
78'再送进来，，，托西奇解围出去                   75'第75分钟
80'前场右侧富力定位球，横敲                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
80'再往禁区内送                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
80'万厚良把球解围                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
80'前场马西卡得球，分到右侧，，王刚                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
80'再起球传中，，，禁区内被破坏出去                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
80'到了中圈左侧，拼抢中又是哨响了                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
81'富力定位球挑传向前                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
81'雷纳尔迪尼奥跟上，越位了                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
81'后场张烈大脚开起来                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
81'前场中路，，争顶，，，出界                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
81'史亮被张宇峰替下                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
81'后场李提香持球，，短传到身前                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
82'尼木扎丁再次犯规                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
82'尼木扎丁替补登场犯规次数不少啊，球风比较彪悍                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
82'左路定位球，横敲身前卢琳                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
82'遭遇张宇峰的爆铲                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
83'张宇峰上来就吃一张黄牌                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
83'富力定位球再来                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
83'身前直塞，被张宇峰断下，，短传身前给陈杰                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
83'送一脚长传，，前场右侧王刚插上                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
83'托西奇跟住，，两个人冲撞在一起，王刚倒地                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
83'裁判给了角球                   80'第80分钟，人和完成换人调整，史亮被张宇峰替下
83'张宇峰上来就吃一张黄牌                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
83'富力定位球再来                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
83'身前直塞，被张宇峰断下，，短传身前给陈杰                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
83'送一脚长传，，前场右侧王刚插上                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
83'托西奇跟住，，两个人冲撞在一起，王刚倒地                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
83'裁判给了角球                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
84'人和右侧角球开出                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
84'到后点，，，是陈杰，头球冲顶，力量不足，太远。。被程月磊没收                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
84'大脚开起来                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
84'中圈位置张宇峰控制，给到身前陈杰                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
84'在挑传到弧顶，，姜积弘把球解围                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
85'中圈内还是人和拿球，斜长传                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
85'前场右侧王刚跟进，，带球突破下底                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
85'杀到底线，，低球传中，，，直接出了底线                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
85'王刚今天右路很活跃，但是传中质量堪忧                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
85'富力门球，，程月磊大脚开起来                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'中圈左侧张晨龙拿球，横敲                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'陈志钊再分右路，斜传                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'送到左侧，万厚良头球顶出来                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'中圈位置拼抢，，飞出了边线，，富力球权                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'界外球给到唐淼                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'横敲陈志钊，，继续回敲                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'陈志钊给到身后，，托西奇分边                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
86'李提香拿球，推进向前                   83'第83分钟，人和角球开出，陈杰头球冲顶力量不足，被程月磊没收
89'中圈位置，陈杰得球                   89'第89分钟，富力后场断球，大脚把球开出前场右路雷纳迪尼奥把球得到，再分到禁区，卢琳跟上抽射把球打进
89'短传到了右侧，，在给到王刚                   89'第89分钟，富力后场断球，大脚把球开出前场右路雷纳迪尼奥把球得到，再分到禁区，卢琳跟上抽射把球打进
89'王刚边路拿球，选择回敲                   89'第89分钟，富力后场断球，大脚把球开出前场右路雷纳迪尼奥把球得到，再分到禁区，卢琳跟上抽射把球打进
89'万厚良后场拿球，挑传到身前                   89'第89分钟，富力后场断球，大脚把球开出前场右路雷纳迪尼奥把球得到，再分到禁区，卢琳跟上抽射把球打进
89'李提香把球大脚解围                   89'第89分钟，富力后场断球，大脚把球开出前场右路雷纳迪尼奥把球得到，再分到禁区，卢琳跟上抽射把球打进
90'前场中路富力的反击                   89'第89分钟，富力后场断球，大脚把球开出前场右路雷纳迪尼奥把球得到，再分到禁区，卢琳跟上抽射把球打进
90'右路雷纳尔迪尼奥奔袭到禁区边缘                   89'第89分钟，富力后场断球，大脚把球开出前场右路雷纳迪尼奥把球得到，再分到禁区，卢琳跟上抽射把球打进
