1'上半场比赛开始！！                   1'第1分钟主队优势明显，把申花压在半场打
77'曹赟定横传中路再给莫雷诺                   76'第76分钟莫雷诺直接禁区外远射高出
77'莫雷诺停球远射，打飞！！！                   76'第76分钟莫雷诺直接禁区外远射高出
78'申花中场抢断，毛剑卿的左路反击，被赵宇豪放倒在地                   76'第76分钟莫雷诺直接禁区外远射高出
78'申花获得前场左路的任意球机会！！                   76'第76分钟莫雷诺直接禁区外远射高出
78'瓜林任意球斜传禁区，混战中，球被华夏幸福球员解围！！                   76'第76分钟莫雷诺直接禁区外远射高出
79'李行前场拿球，分球右路找赵明剑                   76'第76分钟莫雷诺直接禁区外远射高出
79'王林上抢，将球破坏出边线！！！                   76'第76分钟莫雷诺直接禁区外远射高出
79'赵宇豪中圈争抢头球，撞翻了特维斯，犯规！！                   76'第76分钟莫雷诺直接禁区外远射高出
88'瓜林左路拿球，横传给到中间的莫雷诺                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
88'莫雷诺再给特维斯，特维斯回传莫雷诺                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
88'莫雷诺分球曹赟定，曹赟定中路强突                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
88'分球禁区左侧，被回防的高准翼拦截！！                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
89'拉维奇左路背身拿球，熊飞上抢犯规！！                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
89'华夏幸福获得前场左路的任意球机会！！                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
89'华夏幸福换人：9号董学升上，换下22号拉维奇                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
90'李行左路拿球，内切被王寿挺破坏出边线！                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
90'下半场比赛补时3分钟！！                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
91'董学升前场中路拿球，分球右侧找张呈栋                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
91'王林的放铲，将球破坏出边线！！                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
91'华夏幸福换人：15号尹鸿博下，换上35号车世伟！！                   88'握有两球优势的主队，注重控球权，打得不急不慢，第88分钟董学升换下有些跑不动的拉维奇
