12'朴成组织，，回敲给吕鹏                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
84'向前一记直塞，，找杨旭                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
84'插上，，被对手推倒在地了                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
84'禁区前沿的定位球                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
85'这个球国安的球员围住了裁判，认为对手假摔                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
85'孙可被替下了，换上了刘越                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
85'权健这个定位球，位置非常好啊                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
85'这是帕托擅长的地方                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
85'弧顶外正面                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
86'帕托助跑，，，打门，，偏了                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
86'侯森大脚开出门球                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
86'前场左侧，直接出界了                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
86'权健界外球给出，右路杨旭得球                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
87'在塞给跟上的同伴，被断了                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
87'国安大脚解围到前场                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
87'左侧郑达伦把球拦截                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
87'巴坎布反抢犯规了                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
87'刚才慢镜头来看，帕托这脚任意球，球速非常快，而且偏出的不多                   84'第84分钟，杨旭斜向跑动时与雷腾龙接触倒地，裁判判给权健禁区弧前任意球，国安球员一时围住裁判表示了异议；帕托大力弧线球擦立柱外侧偏出
