2'鲁能泰山队长传球，好机会啊！！！吕征反越位，可惜把球带大了                   2'第2分钟，鲁能队后场送出长传球，吕征反越位拿球，可惜把球带大了
65'吕征右路横传，被郑涛挡出底线，角球                   62'第62分钟，辽宁队获得任意球机会，王亮发任意球直接打门，皮球高出横梁
69'王永珀左跌接球，被推倒                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
69'任意球发出来，鲁能泰山队转移球到右路，交给王彤                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
69'王永珀在前场接球时手球犯规                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
70'辽宁宏运队长传球，刘金东把球回顶给杨程                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
70'李松益中路突破突然插上，最后没能拿住球                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
70'现在的形势对鲁能泰山队来说非常不利                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
71'王彤右路直传球，吕征被紧逼，回传球到后场                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
71'洛夫中路突破没能成功                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
71'辽宁宏运队回退加强防守                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
72'洛夫在前场断球，回传王永珀，直传找吕征，被断                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
72'鲁能泰山队换人：刘彬彬上场                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
72'换下了吕征                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
72'詹姆斯左路突破，被刘金东把球破坏出边线                   69'第69分钟，鲁能队任意球发出，转移球到右路交给王彤，王永珀在前场接球时手球犯规
74'战术角球发出来，王亮左路斜传门前，杨程打出底线                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
74'辽宁宏运队继续角球                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
75'王亮发角球到禁区内后点，布兰丹抢点侧身打门，偏出                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
75'鲁能泰山队进球啦，刘彬彬，1-1                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
75'李松益长传前场左路，刘彬彬横向突破到禁区内打门！！球进                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
76'辽宁宏运队并没有把刘彬彬放在眼里！！如果王永珀拿球的话他们肯定扑出来贴身防守                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
77'布兰丹左路斜传禁区被破坏出来，郑涛停球时手球犯规                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
77'辽宁宏运队后场得球反击，到中场把球回传                   74'第74分钟，辽宁队获得角球机会，战术角球发出来，王亮左路斜传门前，杨程打出底线
75'王亮发角球到禁区内后点，布兰丹抢点侧身打门，偏出                   75'第75分钟，鲁能队李松益长传前场左路，刘彬彬突破到禁区，横向调整后起脚打门，皮球直入网窝，场上比分1-1平
75'鲁能泰山队进球啦，刘彬彬，1-1                   75'第75分钟，鲁能队李松益长传前场左路，刘彬彬突破到禁区，横向调整后起脚打门，皮球直入网窝，场上比分1-1平
75'李松益长传前场左路，刘彬彬横向突破到禁区内打门！！球进                   75'第75分钟，鲁能队李松益长传前场左路，刘彬彬突破到禁区，横向调整后起脚打门，皮球直入网窝，场上比分1-1平
76'辽宁宏运队并没有把刘彬彬放在眼里！！如果王永珀拿球的话他们肯定扑出来贴身防守                   75'第75分钟，鲁能队李松益长传前场左路，刘彬彬突破到禁区，横向调整后起脚打门，皮球直入网窝，场上比分1-1平
77'布兰丹左路斜传禁区被破坏出来，郑涛停球时手球犯规                   75'第75分钟，鲁能队李松益长传前场左路，刘彬彬突破到禁区，横向调整后起脚打门，皮球直入网窝，场上比分1-1平
77'辽宁宏运队后场得球反击，到中场把球回传                   75'第75分钟，鲁能队李松益长传前场左路，刘彬彬突破到禁区，横向调整后起脚打门，皮球直入网窝，场上比分1-1平
78'蒿俊闵右路强突，被放倒，前场右路任意球机会                   75'第75分钟，鲁能队李松益长传前场左路，刘彬彬突破到禁区，横向调整后起脚打门，皮球直入网窝，场上比分1-1平
82'辽宁宏运队中路进攻，分给左路的郑涛                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
82'郑涛左路斜传禁区！！越位了，张野还是把球打进，当然无效！                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
82'这是个吃牌的举动啊                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
83'郑铮左路斜传禁区！！！洛夫洛夫，头球顶门，险些破门，被刘洋挡出底线！                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
84'王彤遭暗算！！趴在地上                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
84'詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作，打在了王彤后脑                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
84'双方发生了一些争执                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
85'埃杜上前有打人的动作                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
85'主裁判给詹姆斯出示了黄牌                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
85'辽宁宏运队的主教练着急了！！上前在与主裁判争执！                   82'第82分钟，辽宁队中路进攻，郑涛左路斜传禁区越位了，张野把球打进但进球无效
84'王彤遭暗算！！趴在地上                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
84'詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作，打在了王彤后脑                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
84'双方发生了一些争执                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
85'埃杜上前有打人的动作                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
85'主裁判给詹姆斯出示了黄牌                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
85'辽宁宏运队的主教练着急了！！上前在与主裁判争执！                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
86'补吹一个王彤的犯规                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
86'辽宁宏运队发任意球到前场，对方争顶出来                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
87'布兰丹左路斜传禁区，詹姆斯越位                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
87'张野抢球时主裁判哨响                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
87'杨程大脚开球到前场，对方争顶下来                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
87'李松益前场右翼抢球出界                   84'第84分钟，詹姆斯后场得球后王彤上前拚抢，詹姆斯手上有动作吃到黄牌
88'王永珀前场右翼接球，张野紧紧地拉住了他                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
88'王永珀发出任意球，洛夫横带到中路回传                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
88'球到左路，刘彬彬把球交给蒿俊闵                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
88'蒿俊闵斜传禁区，王永珀头球过渡，对方破坏                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
89'李松益右路突破，造成了沙夫卡特的犯规                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
89'王永珀发出任意球，队友回传，王永珀又被放倒                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
90'鲁能泰山队继续前场右路任意球                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
90'下半场的比赛要补时4分钟                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
90'洛夫右路想人球分过，没能成功                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
90'辽宁宏运队大脚长传，李松益把球争顶下来                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
91'刘彬彬真牛！！左路带球突破到禁区内，冷静打门，可惜被刘洋封住了角度！                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
91'刘彬彬在前场抢球犯规                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
91'辽宁宏运队长传前场右路，埃杜接球，被对方破坏                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
91'界外球发出来，埃杜抢球推倒了郑铮                   88'第88分钟，王永珀右路拿球和队友做配合，沙夫卡特防守的时候犯规了
